Unnamed: 0,48. Simple Verbs,48.மூலக்ரியா பதா3ன்,मूलक्रिया पदान,ꢪꢹꢭꢒ꣄ꢬꢶꢫꢵ ꢦꢣꢵꢥ꣄
ஆறு (இன்)  ,be cooled,நிவள்ளெ,निवळ्ळ॑,ꢥꢶꢮꢳ꣄ꢳꢾ
இகழ் (ந்த்)  ,despise,து4வேஷ்கேர்,धुवेष्केर्,ꢤꢸꢮꢿꢰ꣄ ꢒꢿꢬ꣄
இசை (ந்த்)  ,agree,செரிஜா,च॑रिजा,ꢗꢾꢬꢶ ꢙꢵ
இசை (த்த்)  ,tune,ஸுதி தாய்(கா3வ்),सुति ताय (गाव),ꢱꢸꢡꢶ ꢡꢵꢫ꣄ (ꢔꢵꢮ꣄)
இடறு (இன்)  ,stumble,தெ2ட்கி போட்,थ॑ट्कि पोट,ꢢꢾꢜ꣄ꢒꢶ ꢦꣁꢜ꣄
இடி (ந்த்)  ,be demolished,பு2ட்டி போட்,फुट्टि पोट,ꢦꢸꢜ꣄ꢜꢶ ꢦꣁꢜ꣄
இடி (த்த்)  ,demolish,பொ2டி3தாய்,फा॑डिताय,ꢧꣁꢞꢶꢡꢵꢫ꣄
இடு (ட்)  ,"put, wear",தோ2வ்/க4ள்ளே,"थोव्, घळ्ळे","ꢢꣂꢮ꣄, ꢕꢳ꣄ꢳꢿ"
இடுக்கு (இன்)  ,sqeeze,நெஸ்கிலிஜா,न॑स्किलिजा,ꢥꢾꢱ꣄ꢒꢶꢭꢶ ꢙꢵ
இணங்கு (இன்)  ,accept,ஓர்புகெர்லே/ஒப்பிலே,"ओर्पुकेर्ले, आ॑प्पिले","ꢐꢬ꣄ꢦꢸꢒꢾꢬ꣄ꢭꢿ, ꢏꢦ꣄ꢦꢶꢭꢿ"
இணை (ந்த்)  ,be joined,சேர்,चेर्,ꢗꢿꢬ꣄
இணை (த்த்)  ,join,செர்சி,चेर्च्चि,ꢗꢾꢬ꣄ꢗ꣄ꢗꢶ
இமை (த்த்)  ,closing eyes for a second,மிஸ்கி,मिस्कि,ꢪꢶꢱ꣄ꢒꢶ
இயக்கு (இன்)  ,"direct, operate",காம்கெராட்/த4மாட்,"काम्क॑राट्, धमाट्","ꢒꢵꢪ꣄ ꢒꢾꢬꢵꢜ꣄, ꢤꢪꢵꢜ꣄"
இயங்கு (இன்)  ,"be moved, be operated",காம்கேர்/தா4ம்,"काम्केर्, धाम्","ꢒꢵꢪ꣄ ꢒꢿꢬ꣄, ꢤꢵꢪ꣄"
இயம்பு (இன்)  ,tell,ஸங்கி3,सङगि,ꢱꢖ꣄ꢔꢶ
இயல் (ன்ற்)  ,can,மூஸ்,मूस,ꢪꢹꢱ꣄
இயற்று (இன்)  ,compose,உருவ்கேர்,उरुव्केर्,ꢆꢬꢸꢮ꣄ ꢒꢿꢬ꣄
இயை (ந்த்)  ,agree,ஓர்புகெர்லே,ओर्प्पुकेर्ले,ꢐꢬ꣄ꢦ꣄ꢦꢸ ꢒꢾꢬ꣄ꢭꢾ
இர (ந்த்)  ,beg,பீ4க்மாய்,भीग् माय्,ꢩꢷꢔ꣄ ꢪꢵꢫ꣄
இரங்கு (இன்)  ,show mercy,த3யொகேர்,दया॑केर्,ꢣꢫꣁ ꢒꢿꢬ꣄
இரசி (த்த்)  ,enjoy,ஸொம்புபொந்தி3,सा॑म्पुपा॑न्दि,ꢱꣁꢪ꣄ꢦꢸ ꢦꣁꢥ꣄ꢣꢶ
இரட்சி (த்த்)  ,"to protect, save",கபா3ட்/ ரக்ஷணொ கேர்,"कबाट, रक्षणा॑केर","ꢒꢨꢵꢜ꣄, ꢬꢒ꣄ꢰꢠꣁꢒꢿꢬ꣄"
இரட்டி (த்த்)  ,double,தீ3வடொ கேர்,दीवटा॑ केर,ꢣꢷꢮꢜꣁ ꢒꢿꢬ꣄
இரு (ந்த்)  ,be,ரா:,र्हा,ꢬꢴꢵ
இருட்டு (இன்)  ,be dark,ஹந்தா3ர்போட்,हन्दार्पोट्,ꢲꢥ꣄ꢣꢵꢬ꣄ ꢦꣂꢜ꣄
இருத்து (இன்),make sit,ர:வாட்,र्हवाट्,ꢬꢴꢮꢵꢜ꣄
இருமு (இன்)  ,cough,கொ2வ்லி,खा॑व्लि,ꢕꣁꢮ꣄ꢭꢶ
இருள் (ண்ட்)  ,be dark,ஹந்தா3ர்கனி ரா:,हन्दार्कनि र्हा,ꢲꢥ꣄ꢣꢵꢬ꣄ꢒꢥ ꢶꢬꢴꢵ
இரை (ந்த்)  ,get angry,ராக்அவள்ளே/ராக் அண்லே,"राक अवळ्ळे, राक अण्ले","ꢬꢵꢒ꣄ ꢂꢮꢳ꣄ꢳꢾ, ꢬꢵꢒ꣄ ꢂꢠ꣄ꢭꢿ"
