Unnamed: 0,48. Simple Verbs,48.மூலக்ரியா பதா3ன்,मूलक्रिया पदान,ꢪꢹꢭꢒ꣄ꢬꢶꢫꢵ ꢦꢣꢵꢥ꣄
குதி (த்த்)  ,jump,து4ங்கி,धुङ्कि,ꢤꢸꢖ꣄ꢒꢶ
குதூகலி (த்த்)  ,enjoy,குஷால்கேர்,कुषाल्केर्,ꢒꢸꢰꢵꢭ꣄ ꢒꢿꢬ꣄
கும்மு (இன்)  ,pound gently,ஹள்ளுகு3த்3தி3,हळ्ळु गुद्दि,ꢲꢳ꣄ꢳꢸ ꢔꢸꢣ꣄ꢣꢶ
குமட்டு (இன்)  ,feel vomiting,ஒக3ரிகேர்,आ॑गरि केर्,ꢏꢔꢬꢶ ꢒꢿꢬ꣄
குமி (த்த்),pile up,கொ3பு3ர்கெரஸ்தே,गा॑पुर्केरस्ते,ꢔꣂꢦꢸꢬ꣄ ꢒꢾꢬꢱ꣄ꢡꢾ
குத்து (இன்)  ,beat with fist,கு3த்3தி3,गुद्दि,ꢔꢸꢣ꣄ꢣꢶ
குமுறு (இன்)  ,Spurt out,மொன்னும்ஹுளொபெவ்ட3யி ரா:,मा॑न्नुम्हुळा॑ पेव्डयि र्हा,ꢪꣁꢥ꣄ꢥꢸꢪ꣄ ꢲꢸꢳꣁ     ꢦꢾꢮ꣄ꢞꢫ ꢶꢬꢴꢵ
குமை (ந்த்)  ,be confused (int.),லும்பிலே,लुम्पिले,ꢭꢸꢪ꣄ꢦ꣄ꢶꢭꢿ
குமை (த்த்)  ,to confuse (tr.),லும்பாட்,लुम्पाट,ꢭꢸꢪ꣄ꢦꢵꢜ꣄
குரு (த்த்)  ,show pimples,பு2லாபு2லிதெ3க்காட்,फुलाफुलि द॑क्काट,ꢧꢸꢭꢵꢧꢸꢭꢶꢣꢾꢒ꣄ꢒꢵꢜ꣄
குலாவு (இன்)  ,rejoice,ஸொந்தோஷ் பொந்தி3/ குதூஹல்பொந்தி3,"सा॑न्तोष्पा॑न्दि, कुतूहल्पा॑न्दि","ꢱꣁꢥ꣄ꢡꣁꢰ꣄ ꢦꣁꢥ꣄ꢣꢶ, ꢒꢸꢣꢹꢲꢭ꣄ ꢦꣁꢥ꣄ꢣꢶ"
குலுக்கு (இன்)  ,shake (tr.),ஹல்வாட்,हल्वाट,ꢂꢭ꣄ꢮꢵꢜ꣄
குலுங்கு (இன்)  ,shake (int.),ஹல்லி,हल्लि,ꢂꢭ꣄ꢭꢶ
குலை (ந்த்)  ,Be shuffled (int.),ஸம்மிஶ்ரணொ ஹொய் ரா:/ முல்லப2ல்லொ ஹொய் ரா:/ கவ்லயி ரா:,"सम्मिश्रणा॑ हा॑य र्हा, मुल्लफल्ला॑ हा॑य र्हा, कव्लयि र्हा ","ꢱꢪ꣄ꢪꢶꢯ꣄ꢬꢠꣁ ꢲꣁꢫ꣄ꢬꢴꢵ, ꢪꢸꢭ꣄ꢭ ꢧꢭ꣄ꢭꣁ ꢲꣁꢫ꣄ ꢬꢴꢵ, ꢒꢮ꣄ꢭꢫꢶ ꢬꢴꢵ"
குலை (த்த்)  ,Shuffle up (tr.),மிஶ்ரணொ கேர் / முல்ல ப2ல்லொ கேர்/ கவ்லி தாய்,"मिश्रणा॑ केर, मुल्ल फल्ला॑ केर, कव्लि ताय","ꢪꢶꢱ꣄ꢬꢠꣁ ꢒꢿꢬ꣄, ꢪꢸꢭ꣄ꢭ ꢧꢭ꣄ꢭꣁ ꢒꢿꢬ꣄, ꢒꢮ꣄ꢭꢶ ꢡꢵꢫ꣄ "
குவி (ந்த்)  ,be heaped up (int.),குமிஞ்சயி ரா:,कुमिञ्चियि र्हा,ꢒꢸꢥꢪꢶꢖ꣄ꢗꢶꢫꢶ ꢬꢴꢵ
குவி (த்த்)  ,heap up (tr.),குமிஞ்சிதோ2வ்,कुमिञ्चि थोव्,ꢒꢸꢪꢶꢖ꣄ꢗꢶ ꢢꣁꢮ꣄
குழப்பு (இன்)  ,confuse (tr.),லும்பி,लुम्पि,ꢭꢸꢪ꣄ꢦꢶ
குழம்பு (இன்)  ,Be confused (int.),லும்பயி ரா:,लुम्पयि र्हा,ꢭꢸꢪ꣄ꢦꢫꢶ ꢬꢴꢵ
குழறு (இன்)  ,Babble(int.),கொ3ளகொ3ளயி வத்தொ கேர்,गोळगोळयि वत्ता॑ केर,ꢔꣁꢳꢔꣁꢳꢫꢶ ꢮꢡ꣄ꢡꣁ ꢒꢾꢬ꣄
குழி (ந்த்)  ,become hole (int.),பொல்லம்போட்,पोल्लम्पोट्,ꢦꣁꢭ꣄ꢭꢪ꣄ ꢦꣂꢜ꣄
குழி (த்த்)  ,dig (tr.),பொல்லம்கேர்/ பொல்லம் கொவ்ரி,"पा॑ल्लम्केर्, पा॑ल्लम का॑व्रि","ꢦꣁꢭ꣄ꢭꢪ꣄ ꢒꢾꢬ꣄, ꢦꣁꢭ꣄ꢭꢪ꣄ ꢒꣁꢮ꣄ꢬꢶ"
குழுமு (இன்)  ,assemble,ஜெதசேர்,ज॑तचेर्,ꢙꢾꢡ ꢗꢿꢬ꣄
குழை (ந்த்)  ,mix (int.),கவ்லயிரா:,कव्लयि र्हा,ꢒꢮ꣄ꢭꢫꢶ ꢬꢴꢵ
குழை (த்த்)  ,mix (tr.),கவ்லி,कव्लि,ꢒꢮ꣄ꢭꢶ
குளி (த்த்)  ,take bath,ஸ்நான்கேர்/ ஆங்கு3தூ4வ்,"स्नान्केर्, आङ्गुधूव","ꢱ꣄ꢥꢵꢥ꣄ ꢒꢿꢬ꣄, ꢃꢖ꣄ꢔꢸ ꢤꢹꢮ꣄"
குளிர் (ந்த்)  ,become cold,ஸிள்ளபோட்,सिळ्ळपोट,ꢱꢶꢳ꣄ꢳꢦꣂꢜ꣄
குற்று ,Pound/thrash,தேஸ்,गुद्दि,ꢔꢸꢣ꣄ꢣꢶ
குறி (த்த்)  ,"mark, note",குர்சிலே,कुर्चिले,ꢒꢸꢬ꣄ꢗꢶꢭꢾ
குறுக்கு ,Shorten/lessen,ந:ன்னொகேர்/ உன்னொ கேர்,"न्हन्ना॑केर, उन्ना॑ केर","ꢥꢴꢥ꣄ꢥ ꢒꢿꢬ꣄, ꢆꢥ꣄ꢥꣁ ꢒꢿꢬ꣄"
குறுகு (இன்)  ,become small,ந:ன்னொஹோ,न्हन्न॑हो,ꢥꢴꢥ꣄ꢥꢲꣁ
குறுகுறு (இன்)  ,pricked by conscience,மொன்னும்குஸ்கயி ரா:,मा॑न्नुम्कुस्कयि र्हा,ꢪꣁꢥ꣄ꢥꢸꢪ꣄ꢒꢸꢱ꣄ꢒꢫꢶ ꢬꢴꢵ
குறை (ந்த்)  ,decrease (int.),உன்னொ ஹொய் ரா:,उन्ना॑ हा॑य र्हा ,ꢆꢥ꣄ꢥꣁ ꢲꣁꢫ꣄ꢬꢴꢵ
குறை (த்த்)  ,decrease (tr.),உன்னொகேர்,उन्ना॑केर्,ꢆꢥ꣄ꢥꣁ ꢒꢿꢬ꣄
குனி (ந்த்)  ,bend (int.),ஒங்கி3,आ॑ङ्गि,ꢏꢖ꣄ꢔꢶ
குனிய வை (த்த்)  ,bend (tr.),ஒங்கா3ட்,आ॑ङ्गाट्,ꢏꢖ꣄ꢔꢵꢜ꣄
கூசு (இன்)  ,feel shame,லாஜ்/லாஸ்/லஜ்ஜொ பொந்தி3,"लाज, लास, लज्जा॑ पा॑न्दि","ꢭꢵꢙ꣄, ꢭꢵꢱ꣄, ꢭꢙ꣄ꢙꣁ ꢦꣁꢥ꣄ꢣꢶ"
கூட்டு ,add,செர்சி,चेर्चि,ꢗꢾꢬ꣄ꢗꢶ
கூடு (இன்)  ,"join, increase",செர்லே,चेर्ले,ꢗꢾꢬ꣄ꢭꢿ
கூப்பு (இன்)  ,fold hands (to worship),ஹாத்ஜெதசெர்சி,हात्ज॑त च॑र्च्चि,ꢲꢵꢡ꣄ ꢙꢾꢡ ꢗꢾꢬ꣄ꢗ꣄ꢗꢶ
கூவு (இன்)  ,shout,ரெச்சொதாய்,र॑च्चताय्,ꢬꢾꢗ꣄ꢗ ꢡꢵꢫ꣄
கூறு (இன்)  ,say,மேன்/ஸங்கி3,"मेन, सङ्गि","ꢪꢿꢠ꣄, ꢱꢖ꣄ꢔꢶ"
கூனு (இன்)  ,bend (int.),ஒங்கி3,आ॑ङ्गि,ꢏꢖ꣄ꢒꢶ 
கொக்கரி (த்த்)  ,Boast/brag,ஸ்வப்ரதாப் கெர்லே,स्वप्रताप क॑र्ले,ꢱ꣄ꢮꢦ꣄ꢬꢡꢵꢦ꣄ ꢒꢾꢬ꣄ꢭꢿ
கெஞ்சு (இன்)  ,plead for favour,கெஞ்ஜி/மகி3லே,"क॑ञ्जि, मगिले","ꢒꢾꢖ꣄ꢙꢶ, ꢪꢔꢶꢭꢾ"
கெடு (த்த்)  ,spoil (tr.),நாஶ்,नाश,ꢥꢵꢯ꣄
கெடு (ட்)  ,be spoiled (int.),நாஶனொஹோ,  नाशना॑ हो,ꢥꢯꢥꣁ ꢲꣂ
கெல்லு (இன்)  ,win,ஜெகி3ஞ்சி/ஜீக்3,"जेगिञ्चि, जीग","ꢙꢾꢔꢸꢖ꣄ꢗꢶ, ꢙꢷꢔ꣄"
கேவு (இன்)  ,sob,பு3ஸ்குட்டிரோட்,बुस्कुट्टि रोट्,ꢨꢸꢱ꣄ꢒꢸꢜ꣄ꢜꢶ ꢬꣂꢜ꣄
கேள் (ட்ட)  ,hear,ஐகி,ऐकि,ꢎꢒꢶ
கை (த்த்)  ,be sour(int.),அம்ப3ட் ரா:/ஹோ,"अम्बट र्हा, हो","ꢂꢪ꣄ꢨꢜ꣄ ꢬꢴꢵ, ꢲꣁ"
கொட்டு (இன்)  ,beat,குட்டுதாய்,कुट्टुताय,ꢔꢸꢜ꣄ꢜꢸꢡꢵꢫ꣄
கொடு (த்த்)  ,give,தே3,दे,ꢣꢿ
கொத்து ,carve,டங்கனொ கேர்/ கொத்தி,"टङ्कना॑ केर, का॑त्ति","ꢜꢖ꣄ꢒꢥꣁ ꢒꢿꢬ꣄, ꢒꣁꢡ꣄ꢡꢶ"
கொதி (த்த்)  ,boil up,தபயி ஜா,तपयि जा,ꢡꢦꢫꢶ ꢙꢵ
கொந்தளி (த்த்)  ,"swell up, boil up",ஹுப்3பி3/ஸுஜ்ஜி,"हुब्बि, सुज्जि","ꢲꢸꢨ꣄ꢨꢶ, ꢱꢸꢙ꣄ꢙꢶ"
கொப்பளி (த்த்)  ,gargle,தோணும் கொ3ளொ கேர்/ தோண் கொ3ளொ கேர்,"तोणुम गोळा॑ केर, तोण गोळा॑ केर","ꢡꣂꢠꢸꢪ꣄ ꢔꣁꢳꣁ ꢒꢿꢬ꣄, ꢡꣂꢠ꣄ ꢔꣁꢳꣁ ꢒꢿꢬ꣄"
கொய் (த்)  ,pluck,தோட்,तोट्,ꢡꣂꢜ꣄
கொல் (ன்ற்)  ,kill,மார்/மொராட்,"मार्, मा॑राट्","ꢪꢵꢬ꣄, ꢪꣁꢬꢵꢜ꣄"
கொழி/களை(த்த்)  ,winnow,ப2ங்கி3ட்,फङ्गिट्,ꢧꢖ꣄ꢔꢶꢜ꣄
கொழு (த்த்)  ,become fat,மந்தொ3சேட்,मन्दा॑चेट्,ꢪꢥ꣄ꢣꣁ ꢗꢿꢜ꣄
கொள் (ண்ட்)  ,have,தொ2வ்லே,था॑व्ले,ꢢꣁꢮ꣄ꢭꢾ
கொளுத்து (இன்)  ,lit fire,பொ4ர்வி/லகா3ட்,"भा॑र्वि, लगाट","ꢩꣁꢬ꣄ꢮꢶ, ꢭꢔꢵꢜ꣄"
கொறி (த்த்)  ,munch,சாவ்/செவ்ஞ்சி,"चाव्, च॑वञ्चि","ꢗꢵꢮ꣄, ꢗꢾꢮ꣄ꢛ꣄ꢗꢶ"
கோது (இன்)  ,comb head,ஒர்பி,आ॑र्पि,ꢏꢬ꣄ꢦꢶ
கோபி (த்த்)  ,get angry,ராக்அன்லே,राक अन्ले,ꢬꢵꢒ꣄ ꢂꢥ꣄ꢭꢾ
கோர் (த்த்)  ,string,போம்,पोम्,ꢨꣁꢪ꣄
கோரு (இன்)  ,request,மகி3லே/மென்லே,"मगिले, म॑न्ले","ꢪꢔꢶꢭꢿ, ꢪꢾꢥ꣄ꢭꢿ"
சகி (த்த்)  ,tolerate,க்ஷமொ கெர்லே,क्षमा॑ क॑र्ले,ꢒ꣄ꢰꢪꣁ ꢒꢾꢬ꣄ꢭꢿ
சஞ்சரி (த்த்)  ,wander,உலாஸ்கேர்,उलास्केर्,ꢆꢭꢵꢱ꣄ ꢒꢿꢬ꣄
சடசட (த்த்)  ,make crackling sound,சிடு3சிடா3ட்,चिटुचिडट्,ꢗꢶꢜꢸꢗꢶꢞꢵꢜ꣄
சிதை (ந்த்)  ,crush (int.)/deform,ஶிதிலி ஜா/ செதி3லி ஜா,"शितिलि जा, चेदिलि जा","ꢯꢶꢡꢶꢭꢶ ꢙꢵ, ꢗꢾꢣꢶꢭꢶꢙꢵ"
சந்தி (த்த்)  ,meet,தெ3க்கி/ மீள்,"द॑क्कि, मील","ꢣ꣄ꢒ꣄ꢒꢶ, ꢪꢷꢭ꣄"
சந்தேகி (த்த்)  ,doubt,ஸெந்தே3வ்போட்,स॑न्देव्पोट,ꢱꢾꢥ꣄ꢣꢿꢮ꣄ꢦꣂꢜ꣄
சப்பு (இன்)  ,Lick/suckle,சாட்/ஜூ2ர்,"चाट, झूर","ꢗꢵꢜ꣄, ꢚꢹꢬ꣄"
சபி (த்த்)  ,curse,ஸபி3ஞ்சி,सबिञ्चि,ꢱꢨꢶꢖ꣄ꢗꢶ
சம்பவி (த்த்)  ,happen,சால்,चाल,ꢗꢵꢭ꣄
சம்பாதி (த்த்)  ,earn,ஜொடு3ஞ்சி,जा॑डुञ्चि,ꢙꣁꢞꢸꢖ꣄ꢗꢶ
சம்மதி (த்த்)  ,agree,ஒப்பிலே,आ॑प्पिले,ꢏꢦ꣄ꢦꢶꢭꢾ
சமர்ப்பி (இன்)  ,Submit/send in,தீ3 செர்சி/த4ட்3டே3,"दी चेर्चि, धड्डे","ꢣꢷ ꢗꢾꢬ꣄ꢗꢶ, ꢤꢞ꣄ꢞꢿ"
சமாளி (த்த்)  ,manage,நிர்வாஹ் கேர்/ ஸஞ்சாலனொ கேர்,"निर्वाह केर, सञ्चालना॑ केर","ꢥꢶꢬ꣄ꢮꢵꢲ꣄ ꢒꢿꢬ꣄, ꢱꢛ꣄ꢗꢵꢭꢥꣁ ꢒꢿꢬ꣄"
சமீபி (த்த்)  ,go near,லெகு3த்தொஜா/ லந்தி3,"ल॑गुत्ता॑जा, लन्दि","ꢭꢾꢔꢸꢡ꣄ꢡꣁ ꢙꢵ, ꢭꢥ꣄ꢣꢶ"
சமை (ந்த்)  ,Become mature(int.),சால்ஹோ/ருது ஹோ,"चाल्हो, रुतुहो","ꢗꢵꢭ꣄ꢲꣁ, ꢬꢸꢡꢸꢲꣁ"
சமை (த்த்)  ,cook,ஹந்தி3,हन्दि,ꢲꢥ꣄ꢣꢶ
சரி (ந்த்)  ,tilt (int.)/slant,ஒண்ட்யபோகு3ம் ஒங்கி3,आ॑ण्ट्यपोगुम आ॑ङ्गि,ꢏꢠ꣄ꢜ꣄ꢫꢦꣁꢔꢸꢪ꣄  ꢏꢖ꣄ꢔꢶ
சரி (த்த்)  ,tilt (tr.)slant,ஒண்ட்யபோகு3ம் ஒங்கா3ட்,आ॑ण्ट्यपोगुम् आ॑ङ्गाट्,ꢏꢠ꣄ꢜ꣄ꢫꢦꣂꢔꢸꢪ꣄ ꢏꢖ꣄ꢔꢵꢜ꣄
சருக்கு (இன்)  ,slip,ஜி2ர்கி,झिर्कि,ꢚꢶꢬ꣄ꢒꢶ
சல்லாபி (த்த்)  ,talk amorously,கொஞ்சினி வசன் கேர் / ஸல்லாபு வசன் கேர்,"का॑ञ्चिनि वचन्केर, सल्लापु वचन केर","ꢒꣁꢛ꣄ꢗꢶꢥ ꢶꢮꢗꢥ꣄ ꢒꢿꢬ꣄, ꢱꢭ꣄ꢭꢵꢦꢸ  ꢮꢗꢥ꣄ ꢒꢿꢬ꣄"
சலி (ந்த்)  ,be tired,ஶினயி ஜா,शिनयि जा,ꢱꢶꢥꢫꢶ ꢙꢵ
சறுக்கு (இன்)  ,slip,ஜி2ர்கி போட்,झिर्कि पोट,ꢚꢶꢬ꣄ꢒꢶ ꢦꣂꢜ꣄
சா (த்த்)  ,die,மோர்,मोर्,ꢪꣂꢬ꣄
சாட்டு (இன்)  ,charge with/accuse,சூக்ஸங்கி3/ தோ3ஷ ஆரோபணொ,"चूक्सङ्गि, दोष आरोपणा॑","ꢗꢸꢒ꣄ꢱꢖ꣄ꢔꢶ, ꢣꣂꢰ ꢃꢬꣂꢦꢠꣁ"
சாத்து (இன்)  ,close,ஜா2ய்,झाय्,ꢚꢵꢫ꣄
சாதி (த்த்)  ,establish (a fact),ஸ்தி2ரொகேர்,स्थिरा॑ केर,ꢱ꣄ꢢꢶꢬꣁ ꢒꢿꢬ꣄
சாப்பிடு (ட்)  ,eat,கா2,खा,ꢓꢵ
சாய் (ந்த்)  ,incline (int.),போக்ஒங்கி3,पोक्ओङ्गि,ꢦꣂꢒ꣄ ꢏꢖBꢔꢶ
சாய் (த்த்)  ,incline (tr.),போக்ஒங்கா3ட்,पोक्आ॑ङ्गाट्,ꢦꣂꢒ꣄ ꢏꢖBꢔꢵꢜ꣄
சார் (ந்த்)  ,depend on,நொம்மிலிரா:,ना॑म्मिलि र्हा,ꢥꣁꢪ꣄ꢪꢶꢭꢶ ꢬꢴꢵ
சார்த்து (இன்)  ,cause to lean,ஒர்கா3ட்,आ॑र्गाट्,ꢏꢬ꣄ꢔꢵꢜ꣄
சாற்று (இன்)  ,announce,களாட்/ ப்ரகடனொ கேர்,"कळाट, प्रकटना॑ केर","ꢒꢳꢵꢜ꣄, ꢦ꣄ꢬꢒꢜꢥꣁ ꢒꢿꢬ꣄"
சிக்கு (இன்)  ,be caught,ஸம்டினி போட்/ ஸம்டி,"सम्टिनि पोट, सम्टि","ꢱꢪ꣄ꢜꢶꢥꢶ ꢦꣂꢜ꣄, ꢱꢪ꣄ꢜꢶ"
சிடு (த்த்)  ,frown in anger,ராக்தெ3க்காட்,राक्द॑क्काट्,ꢬꢵꢒ꣄ ꢣꢾꢒ꣄ꢒꢵꢜ꣄
சிணுக்கு (இன்)  ,cause to moan,மொண்கா3ட்/ ஹாவபா4வ் கேர்,"मा॑ण्गाट्, हावभाव केर","ꢪꣁꢠ꣄ꢔꢵꢜ꣄, ꢲꢵꢮꢩꢵꢮ꣄ ꢒꢿꢬ꣄"
சிணுங்கு (இன்)  ,"whine, moan",மொண்கி3,मा॑ण्गि,ꢪꣁꢠ꣄ꢔꢶ
சித்திரி (த்த்)  ,picturise,ரூப்கேர்/சித்தர் கேர்,"रूप्केर, चित्तर केर","ꢬꢹꢦ꣄ꢒꢾꢬ꣄, ꢗꢶꢡ꣄ꢡꢬ꣄ ꢒꢿꢬ꣄"
சித்தி (த்த்)  ,"occur, got",அப்3ப3ட்3லே அப3ட்3லே,अब्बड्ले  अबड्ले,ꢂꢨ꣄ꢨꢞ꣄ꢭꢿ ꢂꢨꢞ꣄ꢭꢿ
சிதறு (இன்)  ,scatter (int.),செது3ர்/விகீர்ணு ஹொய் ஜா,"च॑दुर, विकीर्णु हा॑य्जा","ꢗꢾꢣꢸꢬ꣄, ꢮꢶꢒꢷꢬ꣄ꢠꢸ ꢲꣁꢫ꣄ ꢙꢵ"
சிதற வை,scatter (tr.),செது3ராட்/ விகீர்ணு கேர்,"च॑दुराट, विकीर्णु केर","ꢗꢾꢣꢸꢬꢵꢜ꣄, ꢮꢶꢒꢷꢬ꣄ꢠꢸ ꢒꢾꢬ꣄"
சிதை (த்த்)  ,crush (tr.),நெஸ்கி,न॑स्कि,ꢥꢾꢱ꣄ꢒꢶ
சிந்தி (த்த்)  ,think,யோசனொகேர்,योसना॑ केर्,ꢫꣂꢱꢥꣁ ꢒꢿꢬ꣄
சிந்து (இன்)  ,shed,லுச்சாட்,लुच्चाट्,ꢭꢸꢗ꣄ꢗꢵꢜ꣄
சிமிட்டு (இன்)  ,winkle,மிஸ்கி,मिस्कि,ꢪꢶꢱ꣄ꢒꢶ
சிராய் (ந்த்)  ,be scratched,சிரய்னிபோட்,चिरय्निपोट्,ꢗꢶꢬꢵꢫ꣄ꢥꢶ ꢦꣂꢜ꣄
சிரி (த்த்)  ,laugh,ஹாஸ்,हास,ꢲꢵꢱ꣄
சிரை (த்த்)  ,shave,ஸொவ்ரம்கேர்,सा॑व्रम्केर्,ꢱꣁꢮ꣄ꢬꢪ꣄ ꢒꢾꢬ꣄
சிலிர் (த்த்)  ,bristle up the hair/get the goosebumps,ரோமாஞ்சொ ஹொய்லே,रोमाञ्चा॑ हा॑य्ले,ꢬꣂꢪꢵꢛ꣄ꢗꣁ ꢲꣁꢫ꣄ꢭꢿ
சிலுப்பு (இன்)  ,talk without restraint,தொணொ தொணொ கேர்,तोणो तोणो केर,ꢡꣁꢠꣁ ꢡꣁꢠꣁ ꢒꢿꢬ꣄
சிவ (ந்த்)  ,become red,லொ:வொபோட்,ल्हा॑वा॑ पोट्,ꢭꢴꣁꢮꣁ ꢦꣂꢜ꣄
சிறு (த்த்)  ,become small,ந:ன்னொஹோ,न्हन्न हो,ꢥꢴꢥ꣄ꢥ ꢲꣂ
சீண்டு ,Provoke (tr),ராக் அவாட் / உஸ்பி ஸோட்,"राक अवाट, उस्पि सोट","ꢬꢵꢒ꣄ ꢂꢮꢵꢜ꣄, ꢆꢱ꣄ꢦꢶ ꢱꣂꢜ꣄"
சீந்து (இன்)  ,care,க3வ்ஞ்சி,गवञ्चि,ꢔꢮ꣄ꢖ꣄ꢗꢶ
சீரணி (த்த்)  ,digest,ஜீர்ணுகேர்,जीर्णुकेर,ꢙꢷꢬ꣄ꢠꢸꢒꢿꢬ꣄
சீவு (இன்)  ,sharpen,மொனொ கேர்,मा॑ना॑ केर्,ꢪꣁꢥꣁ ꢒꢿꢬ꣄
சீறு (இன்)  ,Hiss/get angry,ராக்அவட்3ளே,राक अवडळे,ꢬꢵꢒ꣄ ꢂꢮꢞꢳꢿ
சுட்டு (இன்)  ,point out,கு3ர்து களாட்,गुर्तु कळाट,ꢔꢸꢬ꣄ꢡꢸ ꢒꢳꢵꢜ꣄
சுடு (ட்)  ,"roast, shoot",பு4ஞ்ஜி/லாவ்,"भुञ्जि, लाव","ꢩꢸꢛ꣄ꢙꢶ, ꢭꢵꢮ꣄"
சுண்டு (இன்)  ,flipping,மிட்டி,मिट्टि,ꢪꢶꢜ꣄ꢜꢶ
சுணக்கு (இன்)  ,hesitate (tr.),பஸ்தொக்கி,पस्ता॑क्कि,ꢦꢱ꣄ꢡꣁꢒ꣄ꢒꢶ
சுணங்கு (இன்)  ,hesitate (int.),பஸ்தொக்கி,पस्ता॑क्कि,ꢦꢱ꣄ꢡꣁꢒ꣄ꢒꢶ
சுத்திகரி (த்த்)  ,purify,ஶுத்3தி4கேர்,शुद्दि केर्,ꢯꢸꢣ꣄ꢣꢶ ꢒꢿꢬ꣄
சும (ந்த்)  ,carry,துக்கி/வாவ்,"तुक्कि, वाव","ꢡꢸꢒ꣄ꢒꢶ, ꢮꢵꢮ꣄"
சுமத்து (இன்)  ,make carry,துக்காட்,तुक्काट,ꢡꢸꢒ꣄ꢒꢵꢜ꣄
சுரண்டு (இன்)  ,scrape,கொவ்ரி,का॑व्रि,ꢒꣁꢮ꣄ꢬꢶ
சுருக்கு (இன்)  ,"shrink, shorten (tr.)",குங்கி/அக்குரொகேர்,"कुङ्कि, अक्कुरा॑ केर्","ꢒꢸꢖ꣄ꢒꢶ, ꢂꢒ꣄ꢒꢸꢬꣁꢒꢿꢬ꣄"
சுருங்கு (இன்)  ,"shrink, shorten (int.)",குங்க3யி ஜா/ அக்குரொ ஹோ,"कुङ्गयि जा, अक्कुरा॑ हो","ꢒꢸꢖ꣄ꢔꢫꢶ ꢙꢵ, ꢂꢒ꣄ꢒꢸꢬꣁ ꢲꣁ"
சுருசுரு (த்த்)  ,Hasten/hurry up,அவ்ஸர் போட்,अव्सर पोट,ꢂꢮ꣄ꢱꢬ꣄ ꢦꣁꢜ꣄
சுருட்டு (இன்)  ,roll (tr.),கு3வ்ணி/கொ3ளொ கேர்,"गुव्णि, गा॑ळा॑ केर","ꢔꢸꢮ꣄ꢠꢶ, ꢔꣁꢳꣁ ꢒꢿꢬ꣄"
சுருள்டு (ண்ட்)  ,roll (int.),கு3ண்வயிரா:/ கொ3ளொ ஹொய் ரா:,"गुण्वयि र्हा, गा॑ळा॑ हा॑य र्हा","ꢔꢸꢠ꣄ꢮꢫꢶ ꢬꢴꢵ, ꢔꣁꢳꣁ ꢲꣁꢫ ꣄ꢬꢴꢵ"
சுவாசி (த்த்)  ,breathe,ஶ்வாஸொகேர்,श्वासा॑ केर,ꢯ꣄꣄ꢮꢵꢱꣁ ꢒꢿꢬ꣄
சுவை (த்த்)  ,taste,ருச்சிஸா,रुच्चि सा,ꢬꢸꢗ꣄ꢗꢶ ꢱꢵ
சுழல் (ன்ற்)  ,rotate (int.),பீ2ர்,फीर्,ꢧꢷꢬ꣄
சுழற்று (இன்)  ,rotate (tr.),பி2ர்வி/பி2ராட்,"फिव्रि, फिराट","ꢧꢶꢬ꣄ꢮꢶꢶ, ꢧꢶꢬꢵꢜ꣄"
சுளுக்கு (இன்)  ,sprain,இண்கி,इण्कि,ꢅꢠ꣄ꢒꢶ
சுற்று (இன்)  ,"wander, rotate",ஹிண்டி3/சுட்டுபீ2ர்,"हिण्डि, चुट्टुफीर्","ꢲꢶꢠ꣄ꢞꢶ, ꢗꢸꢜ꣄ꢜꢸ ꢧꢷꢬ꣄"
சுறண்டு (இன்)  ,scratch,கொவ்ரி,का॑व्रि,ꢒꣁꢮ꣄ꢬꢶ
சூட்டு (இன்)  ,crown,க்ரீடிகா4ல்,क्रीटि घाल,ꢒ꣄ꢬꢷꢜꢶ ꢕꢵꢭ꣄
சூடு (இன்)  ,put (garland),(மாலொ) கா4ல்,(माला॑) घाल्,(ꢪꢵꢭꣁ) ꢕꢵꢭ꣄
சூப்பு (இன்)  ,suck,செவுஞ்சி,च॑वुञ्चि,ꢗꢾꢮꢸꢛ꣄ꢗꢶ
சூம்பு (இன்)  ,become thin,நா:ன்ஹோ,न्हान्हा॑,ꢥꢴꢵꢥ꣄ ꢲꣁ
சூழ்(ந்த்)  ,surround,சுட்டுர்ரா:,चुट्टुर् र्हा,ꢗꢸꢜ꣄ꢜꢸꢬ꣄ ꢬꢴꢵ
செத்து (இன்)  ,chop,செக்கி,च॑क्कि,ꢗꢾꢒ꣄ꢒꢶ
செதுக்கு (இன்)  ,carve,ட2ங்கி,ढङ्कि,ꢟꢖ꣄ꢒꢶ
செப்பு (இன்)  ,tell,ஸங்கி3,सङ्गि,ꢱꢖ꣄ꢔꢶ
செபி (த்த்)  ,pray,நாம ஜபொ கேர்/ ப்ரார்த2னொ கேர்,"नाम जपा॑ केर, प्रार्थना॑ केर","ꢥꢵꢪ ꢙꢦꣁ ꢒꢿꢬ꣄, ꢦ꣄ꢬꢵꢬ꣄ꢢꢥꣁ ꢒꢿꢬ꣄"
செமி (த்த்)  ,digest,ஜீர்ணுஹோ,जीर्णुहो,ꢙꢷꢬ꣄ꢠꢸꢲꣁ
செய் (த்)  ,do,கேர்,केर्,ꢒꢿꢬ꣄
செரி (த்த்)  ,digest,ஜிர்மான்ஹோ,जिर्मान्हो,ꢙꢶꢬ꣄ꢪꢵꢥ꣄ ꢲꣂ
