Unnamed: 0,7. Dress and Ornaments,Unnamed: 2,Unnamed: 3,Unnamed: 4
மாணிக்கம் ,carbuncle,மாணிக்கம்,माणिक्कम्,ꢪꢵꢠꢶꢒ꣄ꢒꢪ꣄
மாலை ,garland,"ஹாரம், மாலெ","हारम्, माल॑","ꢃꢬꢪ꣄, ꢪꢵꢭꢾ"
மிஞ்சி ,toe ring,"விஞ்சு, பாஞிமுத்3தி3","विञचु, पाञिमुद्दि","ꢮꢶꢛ꣄ꢗꢸ, ꢦꢵꢛꢶꢪꢸꢣ꣄ꢣꢶ"
முண்டு ,dhoti,தொ4வத்,धा॑वत्,ꢤꣁꢮꢡ꣄
முத்து ,pearl,மொதி,मा॑ति,ꢪꣁꢡꢶ
மூக்குக் கண்ணாடி ,spectacles,"முக்ரொ, சா2ஸ்மொ","मुक्रा॑, छास्मा॑","ꢪꢸꢒ꣄ꢬꣁ, ꢘꢵꢱ꣄ꢪꣁ"
மூக்குத்தி ,nose stud,முக்குர்,मुक्कुर्,ꢪꢸꢒ꣄ꢒꢸꢬ꣄
மோதிரம் ,ring,முத்3தி3,मुद्दि,ꢪꢸꢣ꣄ꢣꢶ
லோலக்கு ,ear ornament (for old woman),லொலாக்,ला॑लाक्,ꢭꣁꢭꢵꢒ꣄
வளை ,bangle,கைந,कैन,ꢒꣀꢥ
வளையல் ,bangle,கைநொ,कैना॑,ꢒꣀꢥꣁ
வேட்டி ,dhoti,தொ4வத்,धा॑वत्,ꢤꣁꢮꢡ꣄
வைடூரியம் ,turquoise,ஹரித்ஶம்,हरितशम्,ꢂꢬꢶꢡ꣄ꢯꢪ꣄
ஜிமிக்கி ,ear drops,ஜு2ங்கல்,झुङकल्,ꢚꢸꢖ꣄ꢒꢭ꣄
