Unnamed: 0,49. Compound Verbs,மிஶ்ர க்ரியான்,मिश्र क्रियान,ꢪꢶꢯ꣄꣄ꢬ ꢒ꣄ꢬꢶꢫꢵꢥ꣄
ஆர்ப்பரி  ,clamour,உத்குரோஶொ கேர்/ ரெச்சா ரெச்சொ தாய்,"उत्कुरोशा॑केर, र॑च्चा॑ र॑च्चो ताय","ꢆꢡ꣄ꢒꢸꢬꣂꢯꣁ ꢒꢿꢬ꣄,      ꢬꢾꢗ꣄ꢗꢵ ꢬꢾꢗ꣄ꢗꣁ ꢡꢵꢫ꣄"
ஆரூடம்கூறு  ,predict,ஜோஸ்யம் ஸங்கி3/ பு2ல்லாம் ஸங்கி3,"जोस्यम सङ्गि, फुल्लाम सङ्गि","ꢙꣁꢱ꣄ꢫꢪ꣄ ꢱꢖ꣄ꢔꢶ, ꢧꢸꢭ꣄ꢭꢵꢪ꣄ ꢱꢖꢔꢶ"
ஆலோசனைகூறு   ,Advise/ counsel,ஆலோசனொஸங்கி3,आलोचना॑ सङ्गि,ꢃꢭꣂꢗꢥꣁ ꢱꢖ꣄ꢔꢶ
ஆறுதலளி  ,console,தெ4ய்ரியம்ஸங்கி3/ ஶாந்தி தே3/ ஸாந்த்வனொ கேர்,"धेय्रियम सङ्गि, शान्ति दे, सान्त्वना॑ केर","ꢤꢾꢫ꣄ꢬꢶꢫꢪ꣄ ꢱꢖ꣄ꢔꢶ, ꢯꢵꢥ꣄ꢡꢶ ꢣꢾ, ꢱꢵꢥ꣄ꢡ꣄ꢮꢥꣁ ꢒꢿꢬ꣄"
இசைவுகொடு  ,allow,ஸம்மத் தே3,सम्मत् दे,ꢱꢪ꣄ꢪꢡ꣄ ꢣꢿ
இடமொதுக்கு  ,allocate,தா2ம்தகி3 தோ2வ்,थाम्तगि थोव,ꢢꢵꢪ꣄ꢡꢔꢶ ꢢꣁꢮ꣄
இடம்கொடு  ,give place,தா2ம்தே3,थाम्दे,ꢢꢵꢪ꣄ ꢣꢿ
இடம்பெயர்  ,Migrate/ dislocate,தா2ம்மர்சி ஜா/ தா2ம் மர்சி தோ2வ்,"थाम्मर्चि जा, थाम मर्चि थोव","ꢢꢵꢪ꣄ ꢪꢬ꣄ꢗꢶ ꢙꢵ, ꢢꢵꢪ꣄ ꢪꢬ꣄ꢗꢶ ꢢꣁꢮ꣄"
இடமாற்று  ,shift,தா2ம்மர்சி,थाम्मर्चि,ꢢꢵꢪ꣄ꢪꢬ꣄ꢗꢶ
இடருண்டாக்கு  ,Create obstacle,கெஷ்டம் அட்3ட3ம் அவாட்,केष्टम अड्डम अवाट,ꢒꢾꢰ꣄ꢜꢪ꣄ ꢂꢞ꣄ꢞꢪ꣄ ꢂꢮꢵꢜ꣄
இடிபடு  ,be crushed,நெஸ்கினி போட்,न्स्किनि पोट,ꢥꢾꢱ꣄ꢒꢶꢥꢶ ꢦꣁꢜ꣄
இடைமறி  ,obstruct,அட்3ட3ம் போட்,अड्डम पोट,ꢂꢞ꣄ꢞꢪ꣄ ꢦꣂꢜ꣄
இடையிடு  ,interfere,அவ்டொ3போட்,अव्डो पोट,ꢂꢮ꣄ꢞꣁꢦꣂꢜ꣄
இடையூறுசெய்  ,disturb,தொந்த3ரவ் கேர்,त्न्दरव्केर,ꢡꣁꢥ꣄ꢣꢬꢮ꣄ ꢒꢿꢬ꣄
இணங்கவை  ,Make one accept/ yield,ஒப்பஸ்திஸொ கேர்,आ॑प्पतिसा॑ केर,ꢏꢦ꣄ꢦꢱ꣄ꢡꢶꢱꣁ ꢒꢿꢬ꣄
இரங்கல் தெரிவி   ,condole,அனுதாப் களாட்,अनुताप्कलाट्,ꢂꢥꢸꢡꢵꢦ꣄ ꢒꢭꢵꢜ꣄
இருட்டடிப்பு செய்   ,"black out, hide",ம:வ்லி தாய்,म्हव्लि ताय,ꢪꢴꢮ꣄ꢭꢶ ꢡꢵꢫ꣄
இருட்டாக்கு  ,darken,ஹந்தா3ர்கேர்,हन्दार्केर्,ꢲꢥ꣄ꢢꢵꢬ꣄ ꢒꢿꢬ꣄
இரைச்சலிடு  ,shout,ப4வாட்தாய்,भवाट्ताय्,ꢩꢮꢵꢜ꣄ ꢡꢵꢫ꣄
இலக்கமிடு  ,to number,ஸங்க்2யொதே3,सङ्ख्या॑दे,ꢱꢖ꣄ꢓ꣄ꢫꣁꢣꢿ
