Unnamed: 0,49. Compound Verbs,மிஶ்ர க்ரியான்,मिश्र क्रियान,ꢪꢶꢯ꣄꣄ꢬ ꢒ꣄ꢬꢶꢫꢵꢥ꣄
தலைமறைவாகு  ,abscond,லுக்கி ரா:,लुक्कि र्हा,ꢭꢸꢒ꣄ꢒꢶ ꢬꢴꢵ
தலைமைதாங்கு  ,preside,அக்3ராஸனொ க2ள்ளே,अग्रासना॑ खळ्ळे,ꢂꢔ꣄ꢬꢵꢱꢥꣁ ꢓꢳ꣄ꢳꢿ
தலைமைவகி  ,preside,அக்3ரபன் வவிலே,अग्रपन वविले,ꢂꢔ꣄ꢬꢦꢥ꣄ ꢮꢮꢶꢭꢿ
தலையசை  ,nod,தொ3ஸ்கொ ஹல்வி,दा॑स्का॑ हल्वि,ꢣꣁꢱ꣄ꢒꣁ ꢲꢭ꣄ꢮꢶ
தலையீடு  ,interfere, தொ3ஸ்கொ தே3,दा॑स्का॑ दे,ꢣꣁꢱ꣄ꢒꣁ ꢣꢿ
தலைவணங்கு  ,bow head,தொ3ஸ்கொநம்லே,दा॑स्का॑ नम्ले,ꢣꣁꢱ꣄ꢒꣁ ꢥꢪ꣄ꢭꢿ
தவறிழை  ,do mistake,குண்டுகேர்,कुण्टु केर्,ꢒꢸꢠ꣄ꢜꢸ ꢒꢿꢬ꣄
தள்ளிவை  ,postpone,தொ3ப்3பி3தோ2வ்,दोब्बि थोव,ꢣꣁꢨ꣄ꢦꢶ ꢢꣂꢮ꣄
தனிப்படுத்து  ,alienate,பெத்தெ கேர்,पेत्ते केर,ꢦꢾꢡ꣄ꢡꢾ ꢒꢿꢬ꣄
தாக்குப்பிடி  ,manage,ஸ்ரமொ ஸெகிலே,स्रमा॑ स॑किले,ꢱ꣄ꢬꢪꣁ ꢱꢾꢒꢶꢭꢿ
தாழிடு  ,close,கீ2ள்தாய்,खीळय्,ꢓꢷꢳ꣄ ꢡꢵꢫ꣄
திக்குமுக்காடு  ,suffocate,ஹுப்3ப3ஸ் போட்,हुब्बस पोट,ꢲꢸꢨ꣄ꢨꢱ꣄ ꢦꣂꢜ꣄
திகிலடை  ,Be astonished,பெ3தி3ர்போட்,बेदिर्पोट,ꢨꢾꢣꢶꢬ꣄ꢦꣂꢜ꣄
திகைப்புறு  ,stun,ஆஶ்சர்யு போட்,आश्चर्यु पोट,ꢃꢯ꣄꣄ꢗꢬ꣄ꢫꢸ ꢦꣂꢜ꣄
திட்டம்தீட்டு  ,plan,யோஜனொ கேர்,योजना॑ केर,ꢫꣂꢙꢥꣁ ꢒꢿꢬ꣄
திறன்படை  ,have skill,ஸமர்தவான் ஹோ,समर्तवान हो,ꢱꢪꢬ꣄ꢡꢮꢵꢥ꣄ ꢲꣂ
தீங்கிழை  ,do harm,ஹீன் கேர்,हीन केर,ꢅꢥ꣄ ꢒꢿꢬ꣄
தீர்ப்பளி  ,give judgement,நிர்ணயொகேர்,निर्णया॑ केर,ꢥꢶꢬ꣄ꢠꢫꣁ ꢒꢿꢬ꣄
தீர்வுகாண்  ,find a solution,முடி3வ் தெ3க்கி/ ஸமாதா4ன்  கேர்,"मुडिव द॑क्कि, समाधान केर","ꢪꢸꢞꢶꢮ꣄ ꢣꢾꢒ꣄ꢒꢶ, ꢱꢪꢵꢤꢵꢥ꣄ ꢒꢿꢬ꣄"
துணைபுரி  ,help,ஒத்தாஸ்கேர்,आ॑त्तास्केर,ꢏꢡ꣄ꢡꢵꢱ꣄ ꢒꢿꢬ꣄
துரிதப்படுத்து  ,hasten,பி3ஸ்ஸொ ஹொவாட்,बिस्सा॑ हा॑वाट,ꢨꢶꢱ꣄ꢱꣁ ꢲꣁꢮꢵꢜ꣄
துருப்பிடி  ,rust,துருதே4ர்,तुरु धेर्,ꢡꢸꢬꢸ ꢤꢿꢬ꣄
துளையிடு  ,perforate,புட்டொதாய்,पुट्टा॑ताय्,ꢦꢸꢜ꣄ꢜꣁ ꢡꢵꢫ꣄ 
துன்பப்படு  ,suffer,கெஷ்டம்போட்,खेष्टम्पोट्,ꢓꢾꢰ꣄ꢜꢪ꣄ ꢦꣂꢜ꣄
தூண்டிவிடு  ,"encourage, instigate",செட்3வி ஸோட்,च॑ड्वि सोट,ꢗꢾꢞ꣄ꢮꢶ ꢱꣂꢜ꣄
தூளாக்கு  ,make powder,பு4ர்கொ கேர்/ சூர்ணு கேர்,"भुर्का॑ केर, चूर्णु केर ","ꢩꢸꢬ꣄ꢒꣁ ꢒꢿꢬ꣄, ꢗꢹꢬ꣄ꢠꢸ ꢒꢿꢬ꣄"
தெரிந்தெடு  ,select the best,வெக்கிஹேட்,वेक्किहेट्,ꢮꢾꢒ꣄ꢒꢶ ꢲꢿꢜ꣄
தெரியப்படுத்து  ,convey,(ஸந்தே3ஶ்) லே ஜா,सन्देश ले जा,ꢱꢥ꣄ꢣꢾꢯ꣄ ꢭꢿ ꢙꢵ
தெளிவடை  ,be clear,ஸெந்தே3வ் நீ:த்தொ ரா:,स॑न्देव न्हीत्ता॑ र्हा,ꢱꢾꢥ꣄ꢣꢿꢮ꣄ ꢥꢴꢷꢡ꣄ꢡꣁ ꢬꢴꢵ
தெளிவுப்படுத்து  ,make clear,ஸெந்தே3வ் ஜவாட்,स॑न्देव जवाट,ꢱꢾꢥ꣄ꢣꢿꢮ꣄ ꢙꢮꢵꢜ꣄
தென்படு  ,appear,தெ3க்கினி போட்,द॑क्किनि पोट,ꢣꢾꢒ꣄ꢒꢶꢥꢶ ꢦꣂꢜ꣄
தேவைப்படு  ,"require, need",பஜெஹோ,पज॑ हो,ꢦꢙꢾ ꢲꣂ
தொடங்கிவை  ,begin,ஹரும்ப3ம்கெரிதோ2வ்,हरुम्बम्क॑रि थोव,ꢲꢬꢸꢪ꣄ꢨꢪ꣄ ꢒꢾꢬꢶ ꢢꣁꢮ꣄
தொடர்புகொள்  ,correspond,ஸம்பர்கு கேர்/ ஸந்தி4ம் தொ2வ்லே,"सम्पर्कु केर, सन्धिम था॑व्ले","ꢱꢪ꣄ꢦꢬ꣄ꢒꢸ ꢒꢿꢬ꣄, ꢱꢥ꣄ꢤꢶꢪ꣄ ꢢꣁꢮ꣄ꢭꢿ"
தொண்டாற்று  ,serve,ஸேவொகேர்,सेवा॑ केर्,ꢱꢿꢮꣁ ꢒꢿꢬ꣄
தொந்தாவு செய்   ,disturb,ஹிம்ஸொ கேர்,हिम्सा॑ केर्,ꢲꢶꢪ꣄ꢱꣁꢒꢿꢬ꣄
தொலைத்துக்கட்டு  ,destroy,நாஶனொ கேர்,नाशना॑ केर,ꢥꢵꢯꢥꣁ ꢒꢿꢬ꣄
தோல்வியடை  ,fail,ஒடி3 ஜா,आ॑डि जा,ꢏꢞ ꢶꢙꢵ
தோற்கடி  ,defeat,ஒட3டி3 ஜவாட்,आ॑डडि जवाट,ꢏꢞꢞꢶ ꢙꢮꢵꢜ꣄
நச்சரி  ,annoy,ஹோருஹோர்ஹிம்ஸொகேர்,होरु होर् हिम्सा॑ केर्,ꢲꣂꢬꢸ ꢲꣂꢬ꣄ ꢲꢶꢪ꣄ꢗꣁ ꢒꢿꢬ꣄
நஞ்சிடு  ,empoison,விக்கு கா4ல்,विक्कु घाल्,ꢮꢶꢒ꣄ꢒꢸ ꢕꢵꢭ꣄
நட்புகொள்  ,Make friends,ஸிங்க3தி கெர்லே,सिङ्कति केर्ले,ꢱꢶꢖ꣄ꢒꢡꢶ ꢒꢾꢬ꣄ꢭꢾ
நடமாடு  ,wander,ஹிண்டி3 பி2ரிலேத் ரா:,हिण्टि फिरिलेत् र्हा,ꢲꢶꢠ꣄ꢞꢶ ꢧꢶꢬꢶꢭꢿꢡ꣄ ꢬꢴꢵ
நடைபெறு  ,occur,சல்த ஹோ,चल्त हो,ꢗꢭ꣄ꢡ ꢲꣂ
நடைபோடு  ,Walk triumphantly,(ஸிம்ஹுசால்) சால்,(सिम्हुचाल) चाल,(ꢱꢶꢪ꣄ꢲꢸ ꢗꢵꢭ꣄) ꢗꢵꢭ꣄
நம்பிக்கையூட்டு  ,make believe,நொம்கெபொடா3ட்,ना॑म्क॑ पा॑डाट्,ꢥꣁꢪ꣄ꢒꢾ ꢦꣁꢞꢵꢜ꣄
நம்பிக்கையளி  ,Give hope,நொம்கெ தே3,ना॑म्क॑ दे,ꢥꣁꢪ꣄ꢒꢾ ꢣꢿ
நம்பிக்கைவை  ,Place trust,நொம்கெ தோ2வ்,ना॑म्क॑ थोव,ꢥꣁꢪ꣄ꢒꢾ ꢢꣂꢮ꣄
நல்வரவு கூறு   ,welcome,ஸ்வாக3த் கேர்,स्वागत केर,ꢱ꣄ꢮꢵꢔꢡ꣄ ꢒꢿꢬ꣄
நன்றிசொல்  ,give thanks,த4ன்னு ஸங்கி3,धन्नु सङ्कि,ꢤꢥ꣄ꢥꢸ ꢱꢖ꣄ꢒꢶ
நாட்டம்செலுத்து  ,Give attention,க3வுன் தே3,गवुन दे,ꢔꢮꢸꢥ꣄ ꢣꢿ
நாட்டியமாடு  ,dance,நர்தனொ கேர்,नर्तना॑ केर,ꢥꢬ꣄ꢡꢥꣁ ꢒꢿꢬ꣄
நாடுகடத்து  ,exile,கா3ம்ஸொடி த4ட்3டெ3,गाम् सा॑टि धड्डे,ꢔꢵꢪ꣄ ꢱꣁꢜꢶꢤꢞ꣄ꢞꢾ
நிர்மூலமாக்கு  ,annihilate,த்4வம்ஸு கேர்,ध्वम्सु केर,ꢤ꣄ꢮꢪ꣄ꢱꢸ ꢒꢿꢬ꣄
நினைவுகூர் ,recollect,ஹட்வன்கெர்லே,हट्वन क॑र्ले,ꢲꢜ꣄ꢮꢥ꣄ ꢒꢾꢬ꣄ꢭꢿ
நினைவுபடுத்து  ,remind,ஹட்வன் கேர்,हट्वन्केर्,ꢲꢜ꣄ꢮꢥ꣄ ꢒꢿꢬ꣄
நேரிடு  ,happen,சல்தஹோ,चल्त हो,ꢗꢭ꣄ꢡ ꢲꣂ
நோட்டமிடு  ,look,க3ம்சி ஸா,गम्चि सा,ꢔꢪ꣄ꢗꢶ ꢱꢵ
நோய்வாய்ப்படு  ,Fall sick,ரோகு3ம் போட்,रोगुम पोट,ꢬꣂꢔꢸꢪ꣄ ꢦꣂꢜ꣄
நோன்பிரு  ,fast,ஒக3த்ரா:,आ॑गत्रा:,ꢏꢔꢡ꣄ꢬꢵ
பங்குகொள்  ,participate,வடொக2ள்ளே,वटा॑ खळ्ळे,ꢮꢜꣁ ꢓꢳ꣄ꢳꢾ
பசியாறு  ,eat,பூ4க்அண்சிலே,भुक अण्चिले,ꢩꢹꢒ꣄ ꢂꢠ꣄ꢗꢶꢭꢿ
பட்டியலிடு  ,list,ஜப்தொ கேர்,जप्ता॑ केर,ꢙꢦ꣄ꢡꣁ ꢒꢿꢬ꣄
படையெடு  ,invade,ஆக்ரமணொ கேர்,आक्रमणा॑ केर,ꢃꢒ꣄ꢬꢪꢠꣁ ꢒꢿꢬ꣄
பணியாற்று  ,Perform duty,கர்தவ் சல்தொ கேர்,कर्तव चल्ता॑ केर,ꢒꢬ꣄ꢡꢮ꣄ ꢗꢭ꣄ꢡꣁ ꢒꢿꢬ꣄
பதவிநீக்கம் செய்   ,dismiss,பத3விதொகன் ஹுத்ராட்,पदविता॑कन हुत्राट,ꢦꢣꢮꢶꢡꣁꢒꢥ꣄ ꢲꢸꢡ꣄ꢬꢵꢜ꣄
பதவி விலகு   ,resign,பத3விஸொடி3ஹுத்திர்,पदविसा॑डिहुत्तिर,ꢦꢣꢮꢶꢱꣁꢞꢶ ꢲꢸꢡ꣄ꢡꢶꢬ꣄
பதிலளி  ,reply,ப4ர்தி கேர்/ ஜெவாப் தே3,"भर्ति केर, ज॑वाप दे","ꢩꢬ꣄ꢡꢶ ꢒꢿꢬ꣄, ꢙꢾꢮꢵꢨ꣄ ꢣꢿ"
பதிலீடு செய்   ,substitute,ப4ர்திகேர்,भर्ति केर,ꢩꢬ꣄ꢡꢶ ꢒꢿꢬ꣄
பதுக்கிவை  ,hoard,சொட்3ட3கனி ஸம்சயொ கேர்,चा॑ड्डकनि सम्चया॑ केर,ꢗꣁꢞ꣄ꢞꢒꢥꢶ ꢱꢪ꣄ꢗꢫꣁ ꢒꢿꢬ꣄
பந்தயம் கட்டு   ,bet,பொணெப4ந்தி3,पा॑ण॑ भन्दि,ꢦꣁꢠꢾ ꢩꢥ꣄ꢣꢶ
பயன்படு  ,be of use,பிர்ஜனம்போட்,पिर्जनम्पोट,ꢦꢶꢬ꣄ꢙꢥꢪ ꣄ꢦꣂꢜ꣄
பயிர் செய்   ,cultivate,பெயிர் கா4ல்,प॑यिर घाल,ꢦꢾꢫꢶꢬ꣄ ꢔꢵꢭ꣄
பரபரப்படை  ,hurry,த4மாதா4ம் பொந்தி3,धमाधाम पा॑न्दि,ꢤꢪꢵꢤꢵꢪ꣄ ꢦꣁꢥ꣄ꢣꢶ
பரிகாரம்தேடு  ,redeem,பரிஹார்வெக்கி,परिहार व॑क्कि,ꢦꢬꢶ ꢲꢵꢬ꣄ ꢮꢾꢒ꣄ꢒꢶ
பரிசளி  ,give award,ஜேம் தே3/ பாரிதோஸ் தே3/ பொ4கு3மான் தே3,"जेम दे, पारितोस दे, भा॑गुमान दे","ꢙꢿꢪ꣄ ꢣꢿ, ꢦꢵꢬꢶꢡꣂꢱ꣄ ꢣꢿ, ꢩꣁꢔꢸꢪꢵꢥ꣄ ꢣꢾ"
பரிசீலனை செய்   ,scrutinize,பரிஶீலனொகேர்,परिशीलना॑ केर्,ꢦꢬꢶꢯꢷꢭꢥꣁ ꢒꢿꢬ꣄
பரிவுகாட்டு  ,show sympathy,பரிதாப் போட்,परिताप पोट,ꢦꢬꢶꢡꢵꢦ꣄ ꢦꣂꢜ꣄
பலிகொடு  ,Kill as a sacrifice,பொ3லிதே3,बा॑लि दे,ꢨꣁꢭꢶ ꢣꢿ
பழித்துக்காட்டு  ,censure,க2ண்ட3ணொ கேர்,खण्डणा॑ केर,ꢓꢠ꣄ꢞꢠꣁ ꢒꢿꢬ꣄
பழிவாங்கு  ,take revenge,பொ3லி கா2ட்/ ப்ரதி ஹிம்ஸொ கேர்,"बा॑लि खाट, प्रति हिम्सा॑ केर","ꢨꣁꢭꢶ ꢓꢵꢜ꣄, ꢦ꣄ꢬꢡꢶ ꢲꢶꢪ꣄ꢱꣁ ꢒꢿꢬ꣄"
பழுதாக்கு  ,impair,கொளார் கேர்,का॑ळार केर,ꢒꣁꢳꢵꢬ꣄ ꢒꢿꢬ꣄
பறிகொடு  ,Give away/ go without,கம்ட3ன் தே3,कम्डन दे,ꢒꢪ꣄ꢞꢥ꣄ ꢣꢿ
பறிமுதல் செய்   ,snatch,உக்கிலிஜா,उक्किलि जा,ꢆꢒ꣄ꢒꢶꢭꢶ ꢙꢵ
பாகுபடுத்து  ,classify,வகொ3கேர்,वĩĩगा॑ केर्,ꢮꢔꣁ ꢒꢿꢬ꣄
பாசாங்கு செய்   ,"feign, pretend",பா3வலொ கேர்,बावला॑ केर,ꢨꢵꢮꢭꣁ ꢒꢿꢬ꣄
பாட்டுக்கட்டு  ,compose,கவிதொகேர்/ கீ3த் லிகி2/ஸ்வரான் தாய்,"कविता॑ केर, गीत्लखि, स्वरान ताय","ꢒꢮꢶꢡꣁ ꢒꢿꢬ꣄, ꢔꢷꢡ꣄ ꢭꢶꢓꢶ, ꢱ꣄ꢮꢬꢵꢥ꣄ ꢡꢵꢫ꣄"
பாடம்கற்பி  ,teach lesson,பாடொ2 ஸிக்காட்,पाठो सिक्काट,ꢦꢵꢝꣁ ꢱꢶꢒ꣄ꢒꢵꢜ꣄
பிரச்சாரம் செய்   ,propagate,ப்ரசார் கேர்,प्रचार केर,ꢦ꣄ꢬꢗꢵꢬ꣄ ꢒꢿꢬ꣄
பின்னிணை  ,annex,அனுப3ந்து4 செர்சி,अनुबन्धु च॑र्चि,ꢂꢥꢸꢨꢥ꣄ꢤꢸ ꢗꢾꢬ꣄ꢗꢶ
பீடிக்கபடு  ,be affected,பீட3ணொ ஹோ,पीडणा॑ हो,ꢨꢷꢞꢠꣁ ꢲꣂ
பீதியுறு  ,Be desperate,தா4க்  லக3ட்3ளே,धाक लगड्ळे,ꢤꢵꢒ꣄ ꢭꢔꢞ꣄ꢳꢿ
புகழடை  ,become famous,கீர்தி பொந்தி3,कीर्ति पा॑न्दि,ꢒꢷꢬ꣄ꢡꢶ ꢦꣁꢥ꣄ꢣꢶ
புண்படுத்து  ,wound (mind),மொன்னு து3வ்னொ கேர்,मा॑न्नु दुव्ना॑ केर,ꢪꣁꢥ꣄ꢥꢸ ꢣꢸꢮ꣄ꢥꣁ ꢒꢿꢬ꣄
புறங்கூறு  ,backbite,பஸ்கடும் வத்தொ கேர்,पस्कटुम्वत्त केर्,ꢦꢱ꣄ꢒꢜꢸꢪ꣄ ꢮꢡ꣄ꢡ ꢒꢿꢬ꣄
புன்னகை செய்   ,smile,ந:ன் ஹஸொ கேர்,न्हन् हसा॑ केर,ꢥꢴꢥ ꣄ꢲꢱꣁ ꢒꢿꢬ꣄
பெருமிதம்கொள்  ,be proud of,கெ4னம்கனி ஹட்விலே,घेनम्कनि हट्विले,ꢕꢾꢥꢪ꣄ꢒꢥꢶ ꢲꢜ꣄ꢮꢶꢭꢿ
பெரூமூச்சுவிடு  ,sigh,மொ:ட  ஹுப்3ப3ஸ் தே3,म्हा॑ट हुब्बस्दे,ꢪꢴꣁꢜ ꢲꢸꢨ꣄ꢨꢱ꣄ ꢣꢿ
பேரம்பேசு  ,bargain,மோல்ஹனி வத்தொ கேர்,मोल्हनि वत्ता॑  केर,ꢪꣂꢭ꣄ꢲꢥꢶ ꢮꢡ꣄ꢡꣁ ꢒꢿꢬ꣄
பைத்தியமாக்கு   ,madden,பிஸொ தெ4ராட்,पिसा॑ धेराट,ꢦꢶꢱꣁ ꢤꢾꢬꢵꢜ꣄
பொய்பேசு  ,bluff,சொட்3ட3வத்தொகேர்,चा॑ड्ड वत्ता॑ केर्,ꢗꣁꢞ꣄ꢞ ꢮꢡ꣄ꢡꣁ ꢒꢿꢬ꣄
பொருட்படுத்து  ,consider,ப்ரதா4ன்கனி லக3ள்ளே,प्रधान्कनि लगळ्ळे,ꢏꢬꢤꢵꢥ꣄ꢒꢥꢶ ꢭꢔꢳ꣄ꢳꢿ
போதையூட்டு  ,intoxicate,போ3தொ3 ஹிங்கா3ட்,बोदा॑ हिङ्गाट,ꢨꣂꢣꣂ ꢲꢶꢖ꣄ꢔꢵꢜ꣄
மண்டியிடு  ,kneel,கு3ட்3க தைலிபீ3ஸ்,गुड्क तैलि बीस्,ꢔꢸꢞ꣄ꢒ ꢡꣀꢭꢶ ꢨꢷꢱ꣄
மதிப்பிடு  ,"assess, evaluate",கு3ண்ணு நிர்தா4ரணொ கேர்,गुण्णु निर्धारणा॑ केर,ꢔꢸꢠ꣄ꢠꢸ ꢥꢶꢬ꣄ꢤꢵꢬꢠꣁ ꢒꢿꢬ꣄
மறுமொழிகூறு  ,respond,ப4ர்திகேர்/ ஜெவாப் கேர்,"भर्ति केर, ज॑वाप केर","ꢩꢬ꣄ꢡꢶꢒꢿꢬ꣄, ꢙꢾꢮꢵꢦ꣄ ꢒꢿꢬ꣄"
மாலைபோடு  ,put garland,ஹார் கா4ல்,हार्घाल,ꢲꢵꢬ꣄ ꢕꢵꢭ꣄
முடிவடை  ,be over,முடி3வ் ஹோ,मुडिव्हो,ꢪꢸꢞꢶꢮ꣄ ꢲꣂ
முதலிடு  ,invest,த4ன் தோ2வ்,दन्थोव,ꢤꢥ꣄ꢢꣁꢮ꣄
முதுமையடை  ,become old,தொ3வ்ரொபோட்,दा॑व्रा॑ पोट,ꢣꣁꢮ꣄ꢬꣁ ꢦꣂꢜ꣄
முன்செல்  ,lead,ஸொம்மர் வாட் தெ3க்காட்,सा॑ममर् वाट् द॑क्काट्,ꢱꣁꢪ꣄ꢪꢬ꣄ ꢮꢵꢜ꣄ ꢣꢾꢒ꣄ꢒꢵꢜ꣄
மேடையேற்று  ,to perform first time on the stage,மஞ்சுர் ஹிங்கா3ட்/ மிட்டர் ஹிங்கா3ட்,"मञ्चुर हिङ्गाट, मिट्टर हिङ्गाट","ꢪꢶꢛ꣄ꢗꢸꢬ꣄ ꢲꢶꢖ꣄ꢔꢵꢜ꣄, ꢪꢶꢜ꣄ꢜꢬ꣄ ꢲꢶꢖ꣄ꢔꢵꢜ꣄"
வழிகாட்டு  ,guide,வாட் தெ3க்காட்,वाट्द॑क्काट्,ꢮꢵꢜ꣄ ꢣꢾꢒ꣄ꢒꢵꢜ꣄
வழிநடத்து  ,lead,ஸொம்மர் ஜா,सा॑म्मर् जा,ꢱꣁꢪ꣄ꢪꢬ꣄  ꢙꢵ
வழிபடு  ,worship,புஜெகேர்,पुज॑ केर्,ꢦꢸꢙꢾ ꢒꢿꢬ꣄
வழிவிடு  ,give way,வாட்ஸோட்,वाट्सोट्,ꢮꢵꢜ꣄ ꢱꣂꢜ꣄
வழிமொழி  ,second,ப2ல்லொஆது3ரவொ தே3 / அனுஸரி ஸங்கி3,"फल्ला॑ आदुरवा॑ दे, अनुसरि सङ्गि","ꢧꢭ꣄ꢭꣁ ꢃꢣꢸꢬ꣄ꢮꣁ ꢣꢿ, ꢂꢥꢸꢱꢬꢶ ꢱꢖ꣄ꢔꢶ"
வாய்பிள  ,gape,ஆ கேர்/ தோண் பெஸாவ்கனி ஹூட் ,"आ केर, ता॑ण प॑साव्कनि हूट","ꢃ ꢒꢿꢬ꣄, ꢡꣂꢠ꣄ ꢦꢾꢱꢵꢮ꣄ꢒꢥꢶ ꢲꢹꢜ꣄"
விட்டுவிடு  ,forsake,ஹாத் ஸோட்,हाट सा॑ट,ꢲꢵꢜ꣄ ꢱꣂꢜ꣄
விடையளி  ,give answer,ஜெவாப் தே3,ज॑वाप दे,ꢙꢾꢮꢵꢦ꣄ ꢣꢾ
விரிவுபடுத்து  ,expand,விஸாலொகேர்,विसाला॑ केर,ꢮꢶꢱꢵꢭꣁ ꢒꢿꢬ꣄
விருந்தளி  ,Arrange feast,ஜெமன்கா4ல்,ज॑मन्घाल्,ꢙꢾꢪꢥ꣄ ꢩꢵꢭ꣄
விரைவுபடுத்து  ,quicken,வேக்3 கேர்,वेग केर,ꢮꢾꢔ꣄ ꢒꢾꢬ꣄
விலக்களி  ,exempt,அலக்3க3 தோ2வ்,अलग्ग थोव,ꢂꢭꢔ꣄ꢔ ꢢꣂꢮ꣄
விழிப்பூட்டு  ,awaken,ஜாக்3ரதொ பொடா3ட்,जाग्रता॑ पा॑डट,ꢙꢵꢔ꣄ꢬꢡꣁꢦꣁꢞꢜ꣄
வெளியாகு  ,be published,ப்ரஸுர் ஹோ,प्रसुर्हो,ꢦ꣄ꢬꢱꢸꢬ꣄ ꢲꣂ
வெளியிடு  ,"disclose, publish",ப்ரஸுர் கேர்,प्रसुर्केर,ꢦ꣄ꢬꢱꢸꢬ꣄ ꢒꢿꢬ꣄
வெளியேற்று  ,expel,ப4ராட் தொ3ப்3பி3,भराट दा॑ब्बि,ꢩꢬꢵꢜ꣄ ꢣꣁꢨ꣄ꢨꢶ
வெளியேறு  ,go out,ஹுத்திர் ப4ராட்,हूत्तिर्भराट्,ꢲꢹꢡ꣄ꢡꢶꢬ꣄ ꢩꢬꢵꢜ꣄
வெற்றிகொள்  ,overcome,ஜீக்3 பொந்தி3,जूग पा॑न्दि,ꢙꢷꢔ꣄ ꢦꣁꢥ꣄ꢣꢶ
வெறியூட்டு  ,madden,ஆவேஶ் பொடா3ட்,आवेश्पा॑डाट्,ꢃꢮꢿꢯ꣄ ꢦꣁꢞꢵꢜ꣄
வெறுப்பூட்டு  ,displease,த்3வேஶ் கா4ல்,द्वेश्घाल,ꢣ꣄ꢮꢾꢯ꣄ꢕꢵꢭ꣄
வேட்டையாடு  ,hunt,வேடகா2ள்,वेटखाळ,ꢮꢿꢜꢵ ꢓꢵꢳ꣄
வேறுபடு  ,differ,பே4த்ஹோ,भेतहो,ꢩꢾꢡ꣄ ꢲꣂ
வேறுபடுத்து  ,separate,பே4த் ஹொவாட்,भेत हा॑वाट,ꢩꢾꢡ꣄ ꢲꣁꢮꢵꢜ꣄
 ,,,,
