அங்குசம்  ,iron rod of mahout,அங்கு3ஸொ,अङ्गुसा॑,ꢂꢖ꣄ꢔꢸꢱꣁ
கதிரடிக்கும் களம்  ,thrashing floor,ஸூடு3தா2ம்,सूडु थाम,ꢱꢹꢞꢸ ꢢꢵꢪ꣄
கன அளவு   ,volume,க4னமிதி,गनमिति,ꢕꢥꢪꢶꢡꢶ
காய்கறிக்காரி  ,vegetable vendor (f),கய்லகெஸுரு கெரி,कय्लक॑सुरु क॑रि,ꢒꢫ꣄ꢭꢒꢾꢱꢸꢬꢸ ꢒꢾꢬꢶ
காலணி  ,chappal,செபினி/பவ்கள்/ பவ்ஸுல்,"च्पिनि, पव्कल, पव्सुल","ꢱꢾꢦꢶꢥꢶ, ꢦꢮ꣄ꢒꢭ꣄, ꢦꢮ꣄ꢱꢸꢭ꣄"
காவல்காரன்  ,watchman,தா3ர்வான்/ ர:க்கைத்/ சவ்கீதா3ர்,"दार्वान, र्हक्कित, चव्कीदार","ꢣꢵꢬ꣄ꢮꢵꢥ꣄, ꢬꢴꢒ꣄ꢒꣀꢡ꣄, ꢗꢮ꣄ꢒꢷꢣꢵꢬ꣄"
காவலாளி  ,policeman,போலீஸ்/ கவல்கெரொ/ த2ணைத்,"पा॑लीस, कवल्क॑रा॑, थणैत","ꢦꣂꢭꢷꢱ꣄, ꢒꢮꢭ꣄ꢒꢾꢬꣁ, ꢢꢠꣀꢡ꣄"
காளவாய் /சூளை,kiln,விட்3க்3யா உஷ்ளொ/ சுன்னா உஷ்ளொ,"विद्ग्या उष्ळा॑, चुन्ना उष्ळा॑","ꢮꢶꢞ꣄ꢔ꣄ꢫꢵ ꢆꢰ꣄ꢳꣁ, ꢗꢸꢥ꣄ꢥꢵ ꢆꢰ꣄ꢳꣁ"
குடியானவன்  ,farmer,ஜுணத்வான்,जूणत्वान,ꢙꢹꢠꢡ꣄ꢮꢵꢥ꣄
குயவன்  ,potter,கு2ம்பா3ர்,खुम्बार्,ꢓꢸꢪ꣄ꢨꢵꢬ꣄
குறடு  ,plier,கொரட்,का॑रट,ꢒꣁꢬꢜ꣄
கூடை  ,basket,புட்கி/படி,"पुट्कि, पटि","ꢦꢸꢜ꣄ꢒꢶ, ꢦꢜꢶ"
கூலி  ,"coolie, wage",கூலி,कूलि,ꢒꢹꢭꢶ
கூலிக்காரர்,coolie (m/f),கூலிகெரி  ,कूलिक॑रि,ꢒꢹꢭꢶꢒꢾꢬꢶ
கைத்தொழில்  ,handicraft,ஹாதுகாம்,हातुकाम्,ꢲꢵꢡꢸꢒꢵꢪ꣄
கையாள்  ,helper (mason),ஸஹாயகொ/ ஸிகுடொ3,"शाहायका॑, सिकुडा॑","ꢱꢲꢵꢫꢒꣁ, ꢱꢶꢔꢸꢞꣁ"
கையுறை ,gloves,ஹாது ஒரொ,हातु आ॑रा॑,ꢲꢵꢡꢸ ꢏꢬꣁ
கைவினை  ,handicraft,ஹாது காம்,हातु काम्,ꢲꢵꢡꢸ ꢒꢵꢪ꣄
கொக்கி  ,hook,கொல்கி/ஸம்டாவ்,"का॑ल्कि, सम्टाव","ꢒꣁꢭ꣄ꢒꢶ, ꢱꢪ꣄ꢜꢵꢮ꣄"
கொத்தளம்  ,rampart,ரவுளு பீ4த்,रवुलु भीत,ꢬꢮꢸꢭꢸ ꢩꢷꢡ꣄
