Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢥꢵꢩꢶ,नाभि,நாபி4,naabhi,nAbhi,nābhi,n̪ɑːbʰɪ,Navel,தொப்புள்
ꢬꢾꢔꢡ꣄,र॑गत्,ரெக3த்,re'gat,rEgat,rĕgat,ɾegət̪,blood,குருதி  
ꢓꢿꢱ꣄,खेस्,கே2ஸ்,khes,khes,khes,kʰeːs̪,long hair on head of woman,கூந்தல்  
ꢲꢵꢡ꣄,हात्,ஹாத்,haat,hAt,hāt,ɦɑːt̪,hand,கை  
ꢒꣁꢠ꣄ꢞꢾ,का॑ण्ड॑,கொண்டெ3,ko'nd'e',kONDE,kŏṇḍĕ,koɳɖe,hair-do of woman,கொண்டை  
ꢓꣁꢨꣁ,खा॑बा॑,கொ2பொ3,kho'bo',khObO,khŏbŏ,kʰobo,hair-do of woman,கொண்டை  
ꢙꢾꢜꣁ,जा॑डा॑,ஜொ2டொ3,je't'o',jETO,jĕṭŏ,d͡ʒeʈo,matted hair,சடை  
ꢮꢾꢥꢶ,व॑नि,வெனி,ve'ni,vEni,vĕni,ʋen̪ɪ,plaited hair,சடை  
ꢒꢾꢠ꣄ꢜꣁ,क॑ण्डा॑,கெண்டொ,ke'nt'o',kENTO,kĕṇṭŏ,keɳʈo,muscle,சதை  
ꢃꢖ꣄ꢔꢸ,आङगु,ஆங்கு,aangu,AGgu,āṅgu,ɑːŋgu,body,சரீரம்
ꢥꢴꢥ꣄ꢥ ꢂꢥ꣄ꢡꢬꣁ,न्हन्नअन्तरा॑,ந:ன் ந அந்த்ரொ,nhanna antaro',nhanna antarO,nhanna antarŏ,n̪ɦən̪n̪ə ən̪t̪əɾo,small intestine,சிறுகுடல்  
ꢪꢹꢡ,मूत्,மூத்,moota,mUta,mūta,muːt̪ə,urine,சிறுநீர்  
꣄ ꢮꢠ꣄ꢠꢶ,वण्णि,வண்ணி, vanni, vaNNi, vaṇṇi, ʋəɳɳɪ,urine,சிறுநீர்  
ꢒꢶꢳꢖ꣄ꢔꢳꢶꢶ,किळङगिळि,கிளங்கி3ளி,kil'angal'ii,kiLaGgaLii,kil̤aṅgal̤ii,kɪɭəŋgəɭɪɪ,little finger,சிறுவிரல்  
ꢣꢬ꣄ꢙꢥꢶ ꢂꢖ꣄ꢔꢶꢳꢶ,दर्जनि अङगिळि,தர்ஜனிஅங்கி3ளி,darjani angil'i,darjani aGgiLi,darjani aṅgil̤i,d̪əɾd͡ʒən̪ɪ əŋgɪɭɪ,Index finger,சுட்டுவிரல்  
ꢔꢸꢬ꣄ꢣꢸ ꢂꢖ꣄ꢔꢶꢳꢶ,गुर्तु अङगिळि,கு3ர்துஅங்கி3ளி,gurdu angil'i,gurdu aGgiLi,gurdu aṅgil̤i,guɾd̪u əŋgɪɭɪ,Index finger,சுட்டுவிரல்  
ꢣꣁꢱ꣄ꢒꣁ,दा॑स्का॑,தொ3ஸ்கொ,do'sko',dOskO,dŏskŏ,d̪os̪ko,head,தலை  
ꢒꢦꢵꢭ꣄,कपाल,கபால்,kapaal,kapAl,kapāl,kəpɑːl,skull,தலையோடு  
ꢗꢶꢥ꣄ꢲꢸ,सिनहु,சின்ஹு,chinhu,cinhu,cinhu,t͡ʃɪn̪ɦu,scar,தழும்பு  
ꢂꢞꣁ,अडा॑,அடொ3,ad'o',aDO,aḍŏ,əɖo,vagina,பெண்குறி
ꢔꢸꢳ꣄ꢳꢸ,गुळ्ळु,கு3ள்ளு,gul'l'u,guLLu,gul̤l̤u,guɭɭu,penis,ஆண்குறி
ꢔꣁꢡꣁ,गा॑ता॑,கொ4தொ,go'to',gOtO,gŏtŏ,got̪o,penis,ஆண்குறி
ꢮꢶꢥ꣄ꢡꢸꢭ꣄,विन्तुल्,விந்துல்,vintul,vintul,vintul,ʋɪn̪t̪ul,penis,ஆண்குறி
ꢦꢶꢙꢵꢮꢸ,पिजावु,பிஜாவு,pijaavu,pijAvu,pijāvu,pɪd͡ʒɑːʋu,penis,ஆண்குறி
ꢣꢵꢞꢶ,दाडि,தா3டி3,daad'i,dADi,dāḍi,d̪ɑːɖɪ,beard,தாடி  
ꢗꢷꢦꢸ,चिपु,சீபு,cheepu,cIpu,cīpu,t͡ʃiːpu,jaw,தாடை  
ꢱꢬꢷꢬ꣄,शरीर्,ஶரீர்,sareer,sarIr,sarīr,s̪əɾiːɾ,body,உடம்பு
ꢃꢖ꣄ꢔꢸ,आङ्गु,ஆங்கு3,aangu,AGgu,āṅgu,ɑːŋgu,body,உடம்பு
ꢪꢞꢶ,मडि,மடி3,mad'i,maDi,maḍi,məɖɪ,thigh,தொடை  
ꢂꢖ꣄ꢔꢪ꣄,अङगम्,அங்க3ம்,angam,aGgam,aṅgam,əŋgəm,thigh,தொடை  
ꢕꢞꢶ,घडि,க4டி3,ghad'i,ghaDi,ghaḍi,gʰəɖɪ,throat,தொண்டை  
ꢨꣁꢙ꣄ꢙꢾ,बा॑ज्ज॑,பொ3ஜ்ஜெ,bo'jje',bOjjE,bŏjjĕ,bod͡ʒd͡ʒe,big belly,தொந்தி  
ꢨꣁꢪ꣄ꢨꢶ,बा॑म्बि,பொ3ம்பி3,bo'mbi,bOmbi,bŏmbi,bombɪ,,
ꢒꢾꢱꢥ꣄,क॑सन्,கெஸன்,ke'san,kEsan,kĕsan,kes̪ən̪,skin,தோல்
ꢒꢾꢠ꣄ꢞꣁ,क॑ण्डा॑,கெண்டொ3,ke'nd'o',kENDO,kĕṇḍŏ,keɳɖo,skin,தோல்
ꢓꢵꢥ꣄ꢣꢸ,खान्दु,கா2ந்து3,khaandu,khAndu,khāndu,kʰɑːn̪d̪u,shoulder,தோள்  
ꢬꢾꢜ꣄ꢜꢾ,र॑ट्ट॑,ரெட்டெ,re't't'e',rETTE,rĕṭṭĕ,ɾeʈʈe,shoulder blade,தோள்பட்டை  
ꢥꢾꢒ꣄ꢒꢸ,न॑क्कु,நெக்கு,ne'kku,nEkku,nĕkku,n̪ekku,nail,நகம்  
ꢥꢾꢬꢪ꣄,न॑रम्,நெரம்,ne'ram,nEram,nĕram,n̪eɾəm,nerve,நரம்பு  
ꢙꢷꢦ꣄,जीप्,ஜீப்,jeep,jIp,jīp,d͡ʒiːp,tongue,நாக்கு  
ꢬꢾꢔꢡ꣄ꢤꢸꢖ꣄ꢒꢭ꣄,रेगत्धुङ्कल,ரெக3த்து4ங்கல்,re'gatdhunkal,rEgatdhuGkal,rĕgatdhuṅkal,ɾegət̪d̪ʰuŋkəl,pulse,நாடி  
ꢥꢵꢞꢶ,नाडि,நாடி3,naad'i,nADi,nāḍi,n̪ɑːɖɪ,pulse,நாடி  
ꢒꢮ꣄ꢭꣁ,कव्ला॑,கவ்லொ,kavlo',kavlO,kavlŏ,kəʋlo,chin,கன்னம்
ꢮꢥꢶ,वनि,வனி,vani,vani,vani,ʋən̪ɪ,complexion,நிறம்  
ꢒꣁꢮ꣄ꢱꣁ,का॑व्सा॑,கொ2வ்ஸொ,ko'vso',kOvsO,kŏvsŏ,koʋs̪o,lungs,நுரையீரல் 
ꢲꢿꢪ꣄,हेम्,ஹேம்,hem,hem,hem,ɦeːm,chest,நெஞ்சு  
ꢒꢦꢵꢳ꣄,कपाळ,கபா3ள்,kapaal',kapAL,kapāl̤,kəpɑːɭ,forehead,நெற்றி  
ꢣꢵꢡ꣄,दात्,தா3த்,daat,dAt,dāt,d̪ɑːt̪,tooth,பல்  
ꢦꢔꢸꢭ꣄,पगुल्,பகு3ல்,pagul,pagul,pagul,pəgul,foot,பாதம்  
ꢦꢨꢶꢥꢶ,पबिनि,பபி3நி,pabini,pabini,pabini,pəbɪn̪ɪ,eyebrow,புருவம்  
ꢦꢮ꣄ꢥꢶ,पव्नि,பவ்நி,pavni,pavni,pavni,pəʋn̪ɪ,eyebrow,புருவம்  
ꢂꢥ꣄ꢡꢶꢬꣁ,अन्तिरा॑,அந்த்ரொ,antiro',antirO,antirŏ,ən̪t̪ɪɾo,large intestine,பெருங்குடல்  
ꢲꢔꢸꢠ꣄ꢜꣁ,हगुण्टा॑,ஹகு3ண்டொ3,hagunt'o',haguNTO,haguṇṭŏ,ɦəguɳʈo,thumb,பெருவிரல்  
ꢔꢨꢵꢳ꣄,गबाळ्,க3பா3ள்,gabaal',gabAL,gabāl̤,gəbɑːɭ,temple,பொட்டு  
ꢔꢨꢵꢳ꣄,गबाळ्,கபா3ள்,gabaal',gabAL,gabāl̤,gəbɑːɭ,temple,பொருத்து  
ꢪꢞꢶ,मडि,மடி3,mad'i,maDi,maḍi,məɖɪ,lap,மடி  
ꢂꢖ꣄ꢔꢪ꣄,अङगम्,அங்க3ம்,angam,aGgam,aṅgam,əŋgəm,lap,மடி  
ꢡꣁꢱ꣄ꢒꣁ,ता॑स्का॑,தொஸ்கொ,to'sko',tOskO,tŏskŏ,t̪os̪ko,,
ꢪꣁꢠ꣄ꢞꢾ,मा॑ण्ड॑,மொண்டெ3,mo'nd'e',mONDE,mŏṇḍĕ,moɳɖe,,
ꢪꣁꢠ꣄ꢜꢾ ꢔꢹꢞ꣄,मा॑ण्ड॑ गूड्,மொண் டெ3 கூட்3,mo'nt'e' good',mONTE gUD,mŏṇṭĕ gūḍ,moɳʈe guːɖ,,
ꢒꢖ꣄ꢒꢸꢬꣁ,कङकुरा॑,கங்கு3ரொ,kankuro',kaGkurO,kaṅkurŏ,kəŋkuɾo,wrist,மணிக்கட்டு  
ꢪꣁꢗ꣄ꢗꣁ,मा॑च्चा॑,மொச்சொ,mo'chcho',mOccO,mŏccŏ,mot͡ʃt͡ʃo,mole,மரு  
ꢓꢿꢯ꣄,खेश्,கே2ஶ்,khesh,khez,kheś,kʰeːʃ,hair,மயிர்  
ꢪꢙ꣄ꢙꣁ,मज्जा॑,மஜ்ஜொ,majjo',majjO,majjŏ,məd͡ʒd͡ʒo,marrow,மஜ்ஜை  
ꢲꢿꢪ꣄,हेम्,ஹேம்,hem,hem,hem,ɦeːm,chest,மார்பு  / மார்
ꢪꢸꢱꢶꢥ꣄,मुसिन्,முஸின்,musin,musin,musin,mus̪ɪn̪,moustache,மீசை
ꢪꢸꢱꢸꢖ꣄ꢔꢸ,मुसुङगु,முஸுங்கு3,musungu,musuGgu,musuṅgu,mus̪uŋgu,moustache,மீசை
ꢡꣂꢠ꣄,दोण्,தோண்,ton,toN,toṇ,t̪oːɳ,face,முகம்  
ꢪꢹꢜ꣄,मुट्,மூட்,moot',mUT,mūṭ,muːʈ,fist,முட்டி  
ꢔꢸꢜ꣄ꢒꣁ,गुट्का॑,கு3ட்3கொ3,gut'ko',guTkO,guṭkŏ,guʈko,knee cap,முட்டு  
ꢓꢿꢯ꣄,केश्,கே2ஶ்,khesh,khez,kheś,kʰeːʃ,hair,முடி  
ꢪꢸꢠ꣄ꢞꣁ,मुण्डा॑,முண்டொ3,mund'o',muNDO,muṇḍŏ,muɳɖo,trunk,முண்டம்  
ꢦꢵꢜ꣄,पाट्,பாட்,paat',pAT,pāṭ,pɑːʈ,back,முதுகு  
ꢦꢵꢜꢸꢲꢜ꣄ꢒꣁ,पाटु हट्का॑,பாடு3ஹட்கொ,paat'uhat'ko',pATuhaTkO,pāṭuhaṭkŏ,pɑːʈuɦəʈko,backbone,முதுகெலும்பு  
ꢣꢸꢣ꣄ꢡꢸ,दुद्तु,து3த்3து,dudtu,dudtu,dudtu,d̪ud̪t̪u,breast,முலை  
ꢣꢹꢡ꣄ ꢲꣁꢮꢶ,दूत हा॑वि,தூ3த்ஹொவி,doot ho'vi,dUt hOvi,dūt hŏvi,d̪uːt̪ ɦoʋɪ,breast,முலை  
ꢔꢸꢜ꣄ꢒꣁ,गुटको,கு3ட்3கொ3,gut'ko',guTkO,guṭkŏ,guʈko,knee,முழங்கால்  
ꢗꢾꢪ꣄ꢪꢬ꣄ ꢲꢵꢡ꣄,चेम्मर्हात्,ஸொம்மருஹாத்,che'mmar haat,cEmmar hAt,cĕmmar hāt,t͡ʃemməɾ ɦɑːt̪,elbow,முழங்கை  
ꢓꣁꢨꣁ,खोबो,கொ2வொ,kho'bo',khObO,khŏbŏ,kʰobo,elbow,முழங்கை  
ꢥꢵꢒ꣄,नाक्,நாக்,naak,nAk,nāk,n̪ɑːk,nose,மூக்கு  
ꢥꢵꢔꢸꢦꢸꢜ꣄ꢜꣁ,नागुपुट्टा॑,நாகு3புட்டொ,naaguput't'o',nAgupuTTO,nāgupuṭṭŏ,n̪ɑːgupuʈʈo,nostril,மூக்கு ஓட்டை   
ꢩꢥ꣄ꢣꢶ,भन्दि,ப4ந்தி3,bhandi,bhandi,bhandi,bʰən̪d̪ɪ,joint,மூட்டு  
ꢪꢾꢣꢸꢞ꣄,म॑दुड,மெது3ட்3,me'dud',mEduD,mĕduḍ,med̪uɖ,brain,மூளை  
ꢪꢱ꣄ꢡꢶꢱ꣄ꢒꣁ,मस्तिस्का॑,மஸ்திஸ்கொ,mastisko',mastiskO,mastiskŏ,məs̪t̪ɪs̪ko,brain,மூளை  
ꢩꢶꢣꢸꢜ꣄,भिदुट,பி4து3ட்,bhidut',bhiduT,bhiduṭ,bʰɪd̪uʈ,brain,மூளை  
ꢆꢛ꣄ꢗꢵ ꢏꢡꢜ꣄,उञ्चा हा॑ट,உஞ்சாஹோட்,unchaa o'tat',uJcA OtaT,uñcā ŏtaṭ,uɲt͡ʃɑː ot̪əʈ,upper lip,மேலுதடு  
