Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢩꢵꢬꢡ ꢣꢠ꣄ꢞꢥꢵ ꢱꢵꢱꢥꣁ,भारत दण्डना सासना॑,பா4ரத த3ண்ட3னா ஸாஸனொ,bhaarata dand'anaa saasano',bhArata daNDanA sAsanO,bhārata daṇḍanā sāsanŏ,bʰɑːɾət̪ə d̪əɳɖən̪ɑː s̪ɑːs̪ən̪o,Indian Penal Code,இந்தியக் குற்றவியல் சட்டம்    
ꢱꢖ꣄ꢒꢪ꣄,सङकम्,ஸங்க3ம்,sankam,saGkam,saṅkam,s̪əŋkəm,movement,இயக்கம்  
ꢱꢪ꣄ꢱ꣄ꢡꢵꢥ꣄,सम्स्तान्,ஸம்ஸ்தான்,samstaan,samstAn,samstān,s̪əms̪t̪ɑːn̪,movement,இயக்கம்  
ꢒꢸꢭꢥꢵꢱ꣄,कुलनास्,குலநாஸ்,kulanaas,kulanAs,kulanās,kulən̪ɑːs̪,genocide,இனப்படுகொலை  
ꢆꢗ꣄ꢗ ꢥ꣄ꢫꢵꢫꢵꢭꢫꣁ,उच्च न्यायालया॑,உச்ச ந்யாயாலயொ,uchcha nyaayaalayo',ucca nyAyAlayO,ucca nyāyālayŏ,ut͡ʃt͡ʃə n̪jɑːjɑːləjo,Supreme Court,உச்சநீதிமன்றம்   
ꢆꢦꢮꢵꢱ꣄,उपवास,உபவாஸ்,upavaas,upavAs,upavās,upəʋɑːs̪,hunger strike,உண்ணாவிரதம்  
ꢆꢡ꣄ꢡꢵ,उत्तर्,உத்தா,uttaa,uttA,uttā,ut̪t̪ɑː,,
ꢆꢛ꣄ꢗꢵ ꢥ꣄ꢫꢵꢫꢵꢭꢫꣁ,उञ्चा न्यायालया॑,உஞ்சா ந்யாயாலயொ,unchaa nyaayaalayo',uJcA nyAyAlayO,uñcā nyāyālayŏ,uɲt͡ʃɑː n̪jɑːjɑːləjo,High Court,உயர்நீதிமன்றம்   
ꢄꢗ꣄ꢗꢵ ꢦꢡ꣄ꢬꢸ,इच्चा पत्रु,இச்சா பத்ரு,ichchaa patru,iccA patru,iccā patru,ɪt͡ʃt͡ʃɑː pət̪ɾu,will,உயில்  
ꢂꢥꢸꢪꢡꢶꢨꢶꢭ꣄ꢭꣁ,अनुमतिबिल्ला॑,அனுமதி பி3ல்லொ,anumatibillo',anumatibillO,anumatibillŏ,ən̪umət̪ɪbɪllo,licence,உரிமம்  
ꢨꢵꢣ꣄ꢫꢡꣁ,बाद्यता॑,பா3த்3யதொ,baadyato',bAdyatO,bādyatŏ,bɑːd̪jət̪o,licence,உரிமம்  
ꢨꢵꢣ꣄ꢫꢡꣁ,बाद्यता॑,பா3த்3யதொ,baadyato',bAdyatO,bādyatŏ,bɑːd̪jət̪o,right,உரிமை  
ꢂꢤꢶꢒꢵꢬ꣄,अधिकार,அதி4கார்,adhikaar,adhikAr,adhikār,əd̪ʰɪkɑːɾ,right,உரிமை  
ꢗꢵꢬꢠꣁ,चारणा॑,சாரணொ,chaarano',cAraNO,cāraṇŏ,t͡ʃɑːɾəɳo,spy,உளவாளி/ ஒற்றன்  
ꢕꢹꢜꢗꢵꢬꢶ,घूटचारि,கூ4டசாரி,ghoot'achaari,ghUTacAri,ghūṭacāri,gʰuːʈət͡ʃɑːɾɪ,spy,உளவாளி/ ஒற்றன்  
ꢒꢬ꣄ꢡꢮ꣄,कर्तव,கர்தவ்,kartav,kartav,kartav,kəɾt̪əʋ,duty,கடமை  
ꢒꢬ꣄ꢡꢮ꣄ꢫꣁ,कर्तव्या॑,கர்தவ்யொ,kartavyo',kartavyO,kartavyŏ,kəɾt̪əʋjo,duty,கடமை  
ꢒꢵꢬꢵꢒꢵꢬ꣄,काराकार,காராகார்,kaaraakaar,kArAkAr,kārākār,kɑːɾɑːkɑːɾ,rigorous imprisonment,கடுஞ்சிறை  
