Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢪꢶꢛ꣄ꢗꢶ ꢪꣁꢮꢸ,मिञ्चिमोवु,மிஞ்சிமோவு,minchi mo'vu,miJci mOvu,miñci mŏvu,mɪɲt͡ʃɪ moʋu,a measuere of capacity,முகத்தல் அளவை   
ꢪꣁꢳꢪꢸ (ꢓꢜ꣄ꢜꢶ) ꢮꢳ꣄꣄ꢜꢶ,मा॑ळमु (खट्टि) वळ्टि,மொளமு (க2ட்டி) வள்டி,mo'l'amu (khat't'i) val't'i,mOLamu (khaTTi) vaLTi,mŏl̤amu (khaṭṭi) val̤ṭi,moɭəmu (kʰəʈʈɪ) ʋəɭʈɪ,measuring rod,முழக் கோல்   
ꢪꢹꢬꢵ ꢒꢮ꣄ꢠ꣄ꢞꢶ,मूरा कव्ण्डि,மூரா கவ்ண்டி3,mooraa kavnd'i,mUrA kavNDi,mūrā kavṇḍi,muːɾɑː kəʋɳɖɪ,measuring rod,முழக் கோல்   
ꢪꣁꢳꢪ꣄,मा॑ळम,மொளம்,mo'l'am,mOLam,mŏl̤am,moɭəm,half an arm`s length,முழம்  
ꢲꢵꢡ꣄,हात,ஹாத்,haat,hAt,hāt,ɦɑːt̪,half an arm`s length,முழம்  
ꢂꢮ꣄ꢞꢵꢪꣁꢮꢸ,अव्डामोवु,அவ்டா3மோவு,avd'aamo'vu,avDAmOvu,avḍāmŏvu,əʋɖɑːmoʋu,diameter,விட்டம்  
ꢮ꣄ꢫꢵꢱ꣄,व्यास,வ்யாஸ்,vyaas,vyAs,vyās,ʋjɑːs̪,diameter,விட்டம்  
ꢮꢶꢱꢶ,विसि,விஸி,visi,visi,visi,ʋɪs̪ɪ,two pounds,வீசை  
ꢡꢵꢦ꣄ꢱꢥꢶ,ताप्सनि,தாப்ஸனி,taapsani,tApsani,tāpsani,t̪ɑːps̪ən̪ɪ,ther mometer,வெப்பமானி  
ꢡꢵꢦ꣄ꢪꢵꢥꢶ,ताप्मानि,தாப்மானி,taapmaani,tApmAni,tāpmāni,t̪ɑːpmɑːn̪ɪ,ther mometer,வெப்பமானி  
ꢱꢾꢬ꣄ꢒꣁ,सेर्का॑,ஸெர்கொ,se'rko',sErkO,sĕrkŏ,s̪eɾko,perfect,கச்சிதமாக
ꢙꣂꢞꢶ,जा॑डि,ஜொடி3,jod'i,joDi,joḍi,d͡ʒoːɖɪ,pair,ஜோடி  
