Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢓꣁꢮ꣄ꢱ꣄,खा॑व्स,கொ2வ்ஸ்,kho'vs,khOvs,khŏvs,kʰoʋs̪,flesh of cattle,இறைச்சி 
ꢨꣁꢱꢸꢭꣁ,बा॑सुला॑,பொ3ஸுலொ,bo'sulo',bOsulO,bŏsulŏ,bos̪ulo,flesh of cattle,இறைச்சி 
ꢯꢾꢬꢶꢬ꣄,श॑रिर,ஶெரீர்,she'rir,zErir,śĕrir,ʃeɾɪɾ,body,உடல் / மெய்
ꢃꢖ꣄ꢒꢸ,आङगु,ஆங்கு3,aanku,AGku,āṅku,ɑːŋku,body,உடல் / மெய்
ꢡꢥꢸ,तनु,தனு,tanu,tanu,tanu,t̪ən̪u,body,உடல் / மெய்
ꢒꢪ꣄ꢨ꣄ꢭꣁ,कम्बला॑,கம்ப்3ளொ,kamblo',kamblO,kamblŏ,kəmblo,wool,கம்பளிமுடி 
ꢤꢸꢮꢥ꣄,धुवन्,து4வன்,dhuvan,dhuvan,dhuvan,d̪ʰuʋən̪,rice water given to cattle,கழுநீர் 
ꢤꢸꢮꢥꢸ ꢦꢥꢶ,धुवनु पनि,து4வனு பனி,dhuvanu pani,dhuvanu pani,dhuvanu pani,d̪ʰuʋən̪u pən̪ɪ,rice water given to cattle,கழுநீர் 
ꢓꢸꢬꢶ,खुरि,கு2ரி,khuri,khuri,khuri,kʰuɾɪ,hoof,குளம்பு 
ꢓꣁꢬ꣄,खोर,கோ2ர்,kho'r,khOr,khŏr,kʰoɾ,hoof,குளம்பு 
ꢱꢶꢖ꣄ꢔꢸ,सिङगु,ஸிங்கு3,singu,siGgu,siṅgu,s̪ɪŋgu,horn,கொம்பு 
ꢯꢾꢠ꣄,शेण्,ஶேன்,she'n,zEN,śĕṇ,ʃeɳ,cowdung,சாணம் 
ꢱꣁꢠ꣄ꢜꢶ,सा॑ण्टि,ஸொண்டி,so'nt'i,sONTi,sŏṇṭi,s̪oɳʈɪ,Trunk of an elephant,துதிக்கை / தும்பிக்கை
ꢮꢶꢒ꣄ꢒꢸ ꢣꢵꢣ꣄,विक्कु दात्,விக்கு தா3த்,vikku daad,vikku dAd,vikku dād,ʋɪkku d̪ɑːd̪,Fang of snake,நச்சுப்பல் விஷப்பல்
ꢮꢶꢒ꣄ꢒꢸ,विक्कु,விக்கு,vikku,vikku,vikku,ʋɪkku,poison,நஞ்சு 
ꢮꢶꢒ꣄ꢒꢸꢣꢵꢡ꣄,विक्कुदात्,விக்குதா3த்,vikkudaat,vikkudAt,vikkudāt,ʋɪkkud̪ɑːt̪,fang ,விஷப்பல் 
ꢱꢾꢬ꣄ꢒꢶ,स॑र्कि,ஸெர்கி,se'rki,sErki,sĕrki,s̪eɾkɪ,cotton seed as cattle feed,பருத்திக் கொட்டை 
