Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢥꢴꢥ꣄ꢥꢪ꣄ꢨꣂ,न्हन्नम्बो,ந:ன்னம்போ3,nhannambo,nhannambo,nhannambo,n̪ɦən̪n̪əmboː,"mother`s younger sister, stepmother",சின்னம்மா  
ꢩꢾꢫ꣄ꢥ꣄,भ॑य्न्,பெ4ய்ன்,bhe'yn,bhEyn,bhĕyn,bʰejn̪,younger sister,தங்கை  
ꢨꣀꢫ꣄,बैय्,பை3ய்,baiy,baiy,baiy,bəɪj,elder brother,தமயன்
ꢨꢾꢫ꣄,बेय,பெ3ய்,be'y,bEy,bĕy,bej,elder sister,தமக்கை  
ꢨꢾꢜꣁ,ब॑टा॑,பெ3டொ,be't'o',bETO,bĕṭŏ,beʈo,son,தனயன்  
ꢂꢫ꣄ꢫꣂ,अय्या॑,அய்யொ,ayyo,ayyo,ayyo,əjjoː,grandfather,தாத்தா/ பாட்டன்
ꢂꢪ꣄ꢪꣁ,अम्मा॑,அம்மொ,ammo',ammO,ammŏ,əmmo,mother,தாய்  
ꢂꢙ꣄ꢙꣁ,अज्जा॑,அஜ்ஜொ,ajjo',ajjO,ajjŏ,əd͡ʒd͡ʒo,great grand father,கொள்ளுத்தாத்தா  
ꢂꢙ꣄ꢙꢶ,अज्जि,அஜ்ஜி,ajji,ajji,ajji,əd͡ʒd͡ʒɪ,mother`s mother,அம்மாச்சி / ஆச்சி
ꢡꢭ꣄ꢭꣂ,तल्ला॑,த3ல்லொ,tallo,tallo,tallo,t̪əlloː,husband,கணவன்  
ꢂꢖ꣄ꢒꢿꢬ꣄ ꢨꣁ,अङक॑र् बो,அங்கெர் போ,anker bo',aGker bO,aṅker bŏ,əŋkeːɾ bo,grandfather,தாத்தா/ பாட்டன்
ꢂꢖ꣄ꢒꢿꢬꢪ꣄ꢨꣁ꣄,अङक॑रम्बो,அங்கெரம்போ,ankerambo',aGkerambO,aṅkerambŏ,əŋkeːɾəmbo,mother`s mother,அம்மாச்சி / ஆச்சி
ꢨꢾꢫ꣄ꢭ꣄,ब॑य्ल,பெ3ய்ல்,be'yl,bEyl,bĕyl,bejl,wife,பெண்டாட்டி  
ꢨꣀꢭ꣄,बैल,பை3ல்,bail,bail,bail,bəɪl,wife,பெண்டாட்டி  
ꢩꢵꢬꢶ,भारि,பா4ரி,bhaari,bhAri,bhāri,bʰɑːɾɪ,wife,பெண்டாட்டி  
ꢩꢵꢬꢶꢫꣁ,भारिया॑,பா4ரியொ,bhaariyo',bhAriyO,bhāriyŏ,bʰɑːɾɪjo,wife,பெண்டாட்டி  
ꢱꢡꢶ,सति,ஸதி,sati,sati,sati,s̪ət̪ɪ,wife,பெண்டாட்டி  
ꢪꢴꣁꢜ꣄ꢜ ꢨꣂ,म्हा॑ट्टबो,மொ:ட்டபோ3,mho't't'a bo,mhOTTa bo,mhŏṭṭa bo,mɦoʈʈə boː,father`s elder brother,பெரியப்பா  
ꢪꣁꢜ꣄ꢜꢪ꣄ ꢨꣂ,म्हा॑ट्टम्बो,மொ:ட்டம்போ3,mo't't'am bo,mOTTam bo,mŏṭṭam bo,moʈʈəm boː,mother,பெரியம்மா  
ꢪꢵꢫ꣄ꢨꢵꢦ꣄,माय्बाप,மாய்பா3ப்,maaybaap,mAybAp,māybāp,mɑːjbɑːp,parents,பெற்றோர்  
ꢂꢪ꣄ꢨꣁ ꢨꣂ,अम्बा॑बो,அம்பொ3போ3,ambo' bo,ambO bo,ambŏ bo,əmbo boː,parents,பெற்றோர்  
ꢥꢡꢶꢥꢶ,नतिनि,நதினி,natini,natini,natini,n̪ət̪ɪn̪ɪ,grand daughter,பேத்தி  
ꢥꢡ꣄ꢡꢾ,नत्त॑,நத்தெ,natte',nattE,nattĕ,n̪ət̪t̪e,grand son,பேரன்  
ꢨꢾꢜꢶ,ब॑टि,பெ3டி,be't'i,bETi,bĕṭi,beʈɪ,daughter,மகள்  
ꢨꢾꢜꣁ,ब॑टा॑,பெ3டொ,be't'o',bETO,bĕṭŏ,beʈo,son,மகன்  
ꢱꢳꣁ,सळा॑,ஸளொ,sal'o',saLO,sal̤ŏ,s̪əɭo,brother - in - law ,மச்சான்  
ꢩꣁꢮ꣄ꢠ꣄ꢜꢶ,भोवण्टि,பொ4வ்ண்டி3,bho'vnt'i,bhOvNTi,bhŏvṇṭi,bʰoʋɳʈɪ,daughter in law,மருமகள்  
ꢙꣁꢪꣀ,जा॑मै,ஜொமை,jo'mai,jOmai,jŏmai,d͡ʒoməɪ,son in law,மருமகன்  
ꢨꢾꢫ꣄ꢭ꣄,ब॑य्ल्,பெ3யின்,be'yl,bEyl,bĕyl,bejl,sister,தங்கை
ꢪꢪꣁ,ममा॑,மமொ,mamo',mamO,mamŏ,məmo,uncle,மாமன்  
ꢱꣁꢱꢸꢬꣁ,सा॑सुरा॑,ஸொஸுரொ,so'suro',sOsurO,sŏsurŏ,s̪os̪uɾo,father in law,மாமனார்  
ꢪꢪꣁ,ममो,மமொ,mamo',mamO,mamŏ,məmo,uncle,மாமா  
ꢪꢪꢶ,ममि,மமி,mami,mami,mami,məmɪ,aunt,மாமி  
ꢱꢱꢸ,ससु,ஸஸு,sasu,sasu,sasu,s̪əs̪u,mother in law,மாமியார்  
ꢱꢭꣂ,सलो,ஸலொ,salo,salo,salo,s̪əloː,,
ꢏꢳ꣄ꢞꢸꢥ꣄,आ॑ळ्डुन्,ஒள்டு3ன்,o'l'd'un,OLDun,ŏl̤ḍun,oɭɖun̪,,முன்னோர்
