Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢬꢮꢸꢳ꣄,रवुळ्,ரவுள்,ravul',ravuL,ravul̤,ɾəʋuɭ,palace,அரண்மனை  
ꢦ꣄ꢬꢵꢱꢵꢣꣁ,प्रासादा॑,ப்ராஸாதொ3,praasaado',prAsAdO,prāsādŏ,pɾɑːs̪ɑːd̪o,palace,அரண்மனை  
ꢍꢒꢒ꣄,एकक्,ஏகக்,ekak,ekak,ekak,eːkək,unit,அலகு  
ꢄꢒꢵꢫ꣄,इकाय,இகாய்,ikaay,ikAy,ikāy,ɪkɑːj,unit,அலகு  
ꢭꢵꢜ꣄,लाट्,லாட்,laat',lAT,lāṭ,lɑːʈ,wave,அலை
ꢒꢵꢬ꣄ꢫꢵꢭꢫꣁ,कार्यालया॑,கார்யாலயொ,kaaryaalayo',kAryAlayO,kāryālayŏ,kɑːɾjɑːləjo,office,அலுவலகம்  
ꢒꢵꢬ꣄ꢫꢵꢭꢫ ꢩꢰꣁ,कार्यालय भाषा॑,கார்யாலய பா4ஷொ,kaaryaalaya bhasho',kAryAlaya bhaSO,kāryālaya bhaṣŏ,kɑːɾjɑːləjə bʰəʂo,official language,அலுவலகமொழி  
ꢂꢡ꣄ꢒꢵꢬꢶ,अत्कारि,அத்காரி,atkaari,atkAri,atkāri,ət̪kɑːɾɪ,officer,அதிகாரி
ꢂꢮ꣄ꢱꢬꢸ ꢱꢵꢱꢥꣁ,अव्सरु सासना॑,அவ்ஸரு ஸாஸனொ,avsaru saasano',avsaru sAsanO,avsaru sāsanŏ,əʋs̪əɾu s̪ɑːs̪ən̪o,emergency rule,அவசரச்சட்டம்  
ꢃꢦꢡ꣄ꢒꢵꢭꢸ ꢱꢵꢱꢥꣁ,आपत्कालु सासना॑,ஆபத்காலு ஸாஸனொ,aapatkaalu saasano',ApatkAlu sAsanO,āpatkālu sāsanŏ,ɑːpət̪kɑːlu s̪ɑːs̪ən̪o,emergency rule,அவசரச்சட்டம்  
ꢂꢮ꣄ꢱꢬ꣄ꢱ꣄ꢢꢶꢡꢶ,अव्सर्स्थिति,அவ்ஸர் ஸ்தி2தி,avsarsthiti,avsarsthiti,avsarsthiti,əʋs̪əɾs̪t̪ʰɪt̪ɪ,emergency,அவசரநிலை  
ꢨꣁꢮ꣄ꢥꢶꢕꢵꢜ꣄,बा॑व्निघाट्,பொ3வ்நி கா4ட்,bo'vnighaat',bOvnighAT,bŏvnighāṭ,boʋn̪ɪgʰɑːʈ,calling bell,அழைப்புமணி  
ꢦꢬꢶꢪꢵꢠ꣄,परिमाण,பரிமாண்,parimaan,parimAN,parimāṇ,pəɾɪmɑːɳ,size,பரிமாணம்
ꢦ꣄ꢬꢒꢜꢥꣁ,प्रकटना॑,ப்ரகடனொ,prakat'ano',prakaTanO,prakaṭanŏ,pɾəkəʈən̪o,report,அறிக்கை  
ꢃꢮꢿꢣꢥꣁ,आवेदना॑,ஆவேத3னொ,aavedano',AvedanO,āvedanŏ,ɑːʋeːd̪ən̪o,report,அறிக்கை  
ꢮꢶꢰꢫꢒꢳꢞ꣄ꢠꢶ,विषयकळट्णि,விஷயகளட்3ணி,vishayakal'ad'ni,viSayakaLaDNi,viṣayakal̤aḍṇi,ʋɪʂəjəkəɭəɖɳɪ,report,அறிக்கை  
ꢦ꣄ꢬꢒꢞ꣄ꢠꢵꢬ꣄,प्रकड्णार,ப்ரகட்3ணார்,prakad'naar,prakaDNAr,prakaḍṇār,pɾəkəɖɳɑːɾ,announcer,அறிவிப்பாளர்  
ꢦ꣄ꢬꢒꢞꢠꣁꢒꢾꢬ꣄ꢥꢵꢬ꣄,प्रकडणा॑ क॑र्नार,ப்ரகட3ணொ கெர்னார்,prakad'ano'ke'rnaar,prakaDaNOkErnAr,prakaḍaṇŏkĕrnār,pɾəkəɖəɳokeɾn̪ɑːɾ,announcer,அறிவிப்பாளர்  
ꢮꢶꢰꢫꢸ ꢒꢳꢞ꣄ꢥꢵꢬ꣄,विषयु कळड्नार,விஷயு களட்3னார்,vishayu kal'ad'naar,viSayu kaLaDnAr,viṣayu kal̤aḍnār,ʋɪʂəju kəɭəɖn̪ɑːɾ,announcer,அறிவிப்பாளர்  
ꢱꢹꢗꢥꣁ,सूचना॑,ஸூசனொ,soochano',sUcanO,sūcanŏ,s̪uːt͡ʃən̪o,"notice, announcement",அறிவிப்பு  
ꢱꢹꢗꢥꢵ ꢦꣁꢭ꣄ꢒꣁ,सूचना पा॑ल्का॑,ஸூசனாபொல்கொ,soochanaa po'lko',sUcanA pOlkO,sūcanā pŏlkŏ,s̪uːt͡ʃən̪ɑː polko,notice board,அறிவிப்புப் பலகை   
ꢂꢥꢸꢪꢡ꣄,अनुमत्,அனுமத்,anumat,anumat,anumat,ən̪umət̪,permission,அனுமதி  
ꢂꢥꢸꢪꢡ꣄ ꢱꢹꢗꢶ,अनुमत्सूचि,அனுமத்ஸூசி,anumat soochi,anumat sUci,anumat sūci,ən̪umət̪ s̪uːt͡ʃɪ,permit,அனுமதிச் சீட்டு   
ꢂꢥꢸꢩꢮ꣄,अनुभव,அனுப4வ்,anubhav,anubhav,anubhav,ən̪ubʰəʋ,experi ence,அனுபவம்  
ꢒꢨ꣄ꢙꣁ,कब्जा॑,கப்3ஜொ,kabjo',kabjO,kabjŏ,kəbd͡ʒo,encroachment,ஆக்கிரமிப்பு  
ꢃꢒ꣄ꢬꢪꢠꣁ,आक्रमणा॑,ஆக்ரமணொ,aakramano',AkramaNO,ākramaṇŏ,ɑːkɾəməɳo,encroachment,ஆக்கிரமிப்பு  
ꢱꢵꢱꢥꣁ,सासना॑,ஸாஸனொ,saasano',sAsanO,sāsanŏ,s̪ɑːs̪ən̪o,rule,ஆட்சி  
ꢱꣃꢱꢱ꣄ꢡꢾ,सौसस्ते,ஸௌஸஸ்தே,sausaste',sausastE,sausastĕ,s̪əus̪əs̪t̪e,rule,ஆட்சி  
