Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢂꢪ꣄ꢒꢶ,अम्कि,அம்கி,amki,amki,amki,əmkɪ,press,அமுக்கு
ꢂꢪ꣄ꢒꢫꢶ ꢬꢴꢵ,अम्कयिर्ह,அம்கயிரா:,amkayi rhaa,amkayi rhA,amkayi rhā,əmkəjɪ ɾɦɑː,be pressed,அமுங்கு
ꢱꢾꢥ꣄ꢡꢶ ꢢꣂꢮ꣄,स॑न्तिथोव्,ஸெந்திதோ2வ்,se'nti thov,sEnti thov,sĕnti thov,s̪en̪t̪ɪ t̪ʰoːʋ,be arranged,அமை
ꢱꢾꢥ꣄ꢡꢫꢶꢬꢴꢵ,स॑न्तयिर्ह,ஸெந்தயிரா:,se'ntayirhaa,sEntayirhA,sĕntayirhā,s̪en̪t̪əjɪɾɦɑː,arranged,அமை
ꢲꢹꢖ꣄ꢔꢶꢤꢹꢭ꣄,हुङगिधूल्,ஹுங்கி3தூ4ள்,hoongidhool,hUGgidhUl,hūṅgidhūl,ɦuːŋgɪd̪ʰuːl,become drowsy,அயர்
ꢓꢮ꣄ꢙꢸꢭꢾ,खव्जुले,க2வ்ஜுலே,khavjule',khavjulE,khavjulĕ,kʰəʋd͡ʒule,"itch, sieve",அரி
ꢤꢵꢒ꣄ꢕꢵꢭ꣄,धाक्घाल,தா4க்கா4ல்,dhaakghaal,dhAkghAl,dhākghāl,d̪ʰɑːkgʰɑːl,frighten,அரட்டு
ꢨꢾꢣꢸꢬꢶ ꢦꣂꢜ꣄,ब॑दुरिपोट्,பெ3து3ரிபோட்,be'duri pot',bEduri poT,bĕduri poṭ,bed̪uɾɪ poːʈ,to be much afraid,அரள்
ꢣꢸꢒ꣄ꢒꢸꢦꣁꢞ꣄ꢳꢾ,दुक्कुपोड्ळ॑,து3க்குபொட்3ளே,dukkupo'd'l'e',dukkupODLE,dukkupŏḍl̤ĕ,d̪ukkupoɖɭe,lament,அரற்று
ꢦ꣄ꢬꢵꢬ꣄ꢡꢥꣁꢒꢾꢬ꣄,प्रार्तना॑केर,ப்ரார்தனொகேர்,praartano'ke'r,prArtanOkEr,prārtanŏkĕr,pɾɑːɾt̪ən̪okeɾ,pray,அர்ச்சி
ꢦꢿ,पे,பே,pe,pe,pe,peː,drink,அருந்து
ꢧꢸꢭꢫꢶꢬꢴꢵ,फुलयिर्हा,பு2லயிரா:,phulayirhaa,phulayirhA,phulayirhā,pʰuləjɪɾɦɑː,blossom,அரும்பு
ꢂꢫ꣄ꢫꢬꢮ꣄ ꢦꣁꢜ꣄,अय्यरव पोट,அய்யரவ் போட்,ayyarav po't',ayyarav pOT,ayyarav pŏṭ,əjjəɾəʋ poʈ,be disgusted with,அருவரு
ꢒ꣄ꢬꢸꢦꣁ ꢒꢾꢬ꣄,क्रुपा॑ केर,க்ருபொ கேர்,krupo' ke'r,krupO kEr,krupŏ kĕr,kɾupo keɾ,bestow favour,அருள்
ꢡꢾꢱꢫꢶ ꢦꣂꢜ꣄,त॑सयि पोट,தெஸயி போட்,te'sayi pot',tEsayi poT,tĕsayi poṭ,t̪es̪əjɪ poːʈ,be crushed,அரை
ꢭꢸꢨ꣄ꢨꢶ,लुब्बि,லுப்3பி3,lubbi,lubbi,lubbi,lubbɪ,grind,அரை
ꢂꢭꢖ꣄ꢒꢵꢬ꣄ ꢒꢿꢬ꣄,अलङकार्केर्,அலங்கார்கேர்,alankaar ker,alaGkAr ker,alaṅkār ker,ələŋkɑːɾ keːɾ,beautify /decorate,அலங்கரி
ꢲꢭ꣄ꢭꢵꢜ꣄,हल्लाट्,ஹல்லாட்,hallaat',hallAT,hallāṭ,ɦəllɑːʈ,move,அலங்கு
ꢂꢭ꣄ꢗꢶ,अल्चि,அல்சி,alchi,alci,alci,əlt͡ʃɪ,rinse,அலசு
ꢯ꣄꣄ꢭꢵꢕꢠꢒꢾꢬ꣄ꢭꢿ,श्लाघणक॑र्ले,ஶ்லாக4ணகெர்லே,shlaaghanake'rle,zlAghaNakErle,ślāghaṇakĕrle,ʃlɑːgʰəɳəkeɾleː,boast,அலட்டு
ꢤꢹꢮ꣄,धूव्,தூ4வ்,dhoov,dhUv,dhūv,d̪ʰuːʋ,wash,அலம்பு
ꢩꢮꢵꢜ꣄ꢡꢵꢫ꣄,भवाट्ताय,ப4வாட்தாய்,bhavaat'taay,bhavATtAy,bhavāṭtāy,bʰəʋɑːʈt̪ɑːj,scream,அலறு
ꢭꣂꢭ꣄ ꢦꣂꢜ꣄,लोल्पोट्,லோல்போட்,lol pot',lol poT,lol poṭ,loːl poːʈ,wander,அலை
ꢭꣂꢭ꣄ ꢦꣁꢞꢜ꣄,लोल पा॑डाट,லோல் பொடா3ட்,lol po'd'at',lol pODaT,lol pŏḍaṭ,loːl poɖəʈ,make to wander,அலை/ அலைக்கழி
ꢱꢶꢬꢳ꣄꣄ꢙꢵꢜ꣄,सिरळ्जाट,ஸிரள்ஜாட்,siral'jaat',siraLjAT,siral̤jāṭ,s̪ɪɾəɭd͡ʒɑːʈ,make to wander,அலை/ அலைக்கழி
ꢥꢯꢶꢶꢥꢪ꣄ ꢲꣁ,नशिनम हो,நஶினம்ஹோ,nashiinam ho',naziinam hO,naśiinam hŏ,n̪əʃɪɪn̪əm ɦo,be destroyed,அழி
ꢥꢵꢯꢥꣁ ꢲꣁ,नाशनो हो,நாஶனொ ஹோ,naashano' ho',nAzanO hO,nāśanŏ hŏ,n̪ɑːʃən̪o ɦo,be destroyed,அழி
ꢥꢯꢶꢶꢥꢪ꣄ ꢒꢿꢬ꣄,नशिनम केर्,நஶினம்கேர்,nashiinam ker,naziinam ker,naśiinam ker,n̪əʃɪɪn̪əm keːɾ,destroy,அழி
ꢱꢶꢙ꣄ꢮꢶ,सिज्वि,ஸிஜ்வி,sijvi,sijvi,sijvi,s̪ɪd͡ʒʋɪ,boil,அவி
ꢱꢶꢮ꣄ꢙꢶ,सिव्जि,ஸிவ்ஜி,sivji,sivji,sivji,s̪ɪʋd͡ʒɪ,boil,அவி
ꢱꣁꢮ꣄ꢞꢶ,सा॑व्डि,ஸொவ்டி3,so'vd'i,sOvDi,sŏvḍi,s̪oʋɖɪ,loosen,அவிழ்
ꢬꣂꢜ꣄,रोट्,ரோட்,rot',roT,roṭ,ɾoːʈ,"cry, weap",அழு
ꢪꢸꢬ꣄ꢔꢶ,मुर्गि,முர்கி3,murgi,murgi,murgi,muɾgɪ,decay,அழுகு
ꢪꢸꢬ꣄ꢔꢫꢶꢙꢵ,मुर्गयिजा,முர்க3யிஜா,murgayijaa,murgayijA,murgayijā,muɾgəjɪd͡ʒɑː,decay,அழுகு
ꢂꢪ꣄ꢒꢶ,अम्कि,அம்கி,amki,amki,amki,əmkɪ,press,அழுத்து
ꢂꢪ꣄ꢒꢫꢶꢙꢵ,अम्कयिजा,அம்கயிஜா,amkayijaa,amkayijA,amkayijā,əmkəjɪd͡ʒɑː,be pressed,அழுந்து
ꢨꣂꢮ꣄,बोव्,போ3வ்,bov,bov,bov,boːʋ,call,அழை
ꢮꢵꢬ꣄,वार्,வார்,vaar,vAr,vār,ʋɑːɾ,take handful,அள்ளு
ꢪꣂꢮ꣄,मोव्,மோவ்,mov,mov,mov,moːʋ,measure,அள
ꢪꣁꢮ꣄ꢙꢶ,मा॑व्जि,மொவ்ஜி,mo'vji,mOvji,mŏvji,moʋd͡ʒɪ,measure,அள
ꢣꢿ,दे,தே3,de,de,de,d̪eː,give,அளி
ꢒꢮ꣄ꢭꢶ,कव्लि,கவ்லி,kavli,kavli,kavli,kəʋlɪ,meddle,அளை
ꢒꢳꣀꢭꢾ,कळैले,களைலே,kal'aile',kaLailE,kal̤ailĕ,kəɭəɪle,know,அறி
ꢒꢜꢫꢶꢙꢵ,कटयि जा,கடயி ஜா,kat'ayijaa,kaTayijA,kaṭayijā,kəʈəjɪd͡ʒɑː,be cut,அறு
ꢒꢵꢜ꣄,काट्,காட்,kaat',kAT,kāṭ,kɑːʈ,cut,அறு
ꢕꢵꢪ꣄ ꢡꢵꢫ꣄,घाम्ताय्,கா4ம்தாய்,ghaam taay,ghAm tAy,ghām tāy,gʰɑːm t̪ɑːj,beat strongly,அறை
ꢤꢵꢥꢸꢒ꣄ꢙꢵ,धानुक्जा,தா4னுக்ஜா,dhaanukjaa,dhAnukjA,dhānukjā,d̪ʰɑːn̪ukd͡ʒɑː,follow,அனுசரி
ꢂꢥꢸꢱꢬꢶ,अनुसरि,அனுஸரி,anusari,anusari,anusari,ən̪us̪əɾɪ,follow,அனுசரி
ꢤꢜ꣄ꢞꢾ,धट्डे,த4ட்டே3,dhat'd'e',dhaTDE,dhaṭḍĕ,d̪ʰəʈɖe,send,அனுப்பு
ꢂꢥꢸꢨꢮꢶꢛ꣄ꢗꢶ,अनुबविञ्चि,அனுப3விஞ்சி,anubavinchi,anubaviJci,anubaviñci,ən̪ubəʋɪɲt͡ʃɪ,experience,அனுபவி
ꢦꣁꢥ꣄ꢣꢶ,पा॑न्दि,பொந்தி3,po'ndi,pOndi,pŏndi,pon̪d̪ɪ,experience,அனுபவி
ꢂꢥꢸꢪꢡꢶ,अनुमति,அனுமதி,anumati,anumati,anumati,ən̪umət̪ɪ,permit,அனுமதி
ꢇꢲꢪ꣄ ꢒꢿꢬ꣄,ऊहम केर,ஊஹம் கேர்,ooham ker,Uham ker,ūham ker,uːɦəm keːɾ,guess,அனுமானி
