alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence
ரஸாயனொ,rasaayano,வேதியியல் பொருள்கள்,Chemicals,,,,
ரஸஶாலொ,rasassaalo,ஆய்வகம்,Laboratory,,,,
கலொ,kalo,"கலை, கலைகள்","Art, Arts",,,,
விஞான்,vinjaan,அறிவியல்,Science,,,,
க3ணித ஶாஸ்த்ரொ,gaNita ssaastro,"கணக்கியல், கணிதம்","Maths, Mathematics",,,,
பௌ4திக ஶாஸ்த்ரொ,bhautika ssaastro,இயற்பியல்,Physics,,,,
ரஸாயன ஶாஸ்த்ரொ,rasaayana ssaastro,வேதியியல்,Chemistry,,,,
வனஸ்பதினு ஶாஸ்த்ரொ,vanaspatinu ssaastro,தாவரவியல்,Botony,,,,
மூகு3னு ஶாஸ்த்ரொ,moogunu ssaastro,விலங்கியல்,Zoology,,,,
ஜீவுனு ஶாஸ்த்ரொ,jeevunu ssaastro,உயிரியல்,Biology,,,,
விவருனு ஶாஸ்த்ரொ,vivarunu ssaastro,தகவலியல்,Informatics,,,,
ஜீவு விவருனு ஶாஸ்த்ரொ,jeevu vivarunu ssaastro,உயிர் தகவலியல்,Bioinformatics,,,,
