ꢂꢖ꣄ꢔꢷꢒꢵꢬ꣄,अङ्गीकार्,அங்கீ3கார்,recognition,அங்கீகாரம்  
ꢣꢹꢬ꣄ ꢭꢶꢓꢶꢥꢶ,दूर्लिखिनि,து3ர்லிகி2னி,,
ꢡꢾꢬꢒꢸ ꢲꢥ꣄ꢥꢮ꣄,तेरकु हन्नव,தெரகு ஹன்னவ்,brokerage,தரகு  
ꢦꢒꢰꢮꢵꢥꢸꢥ꣄,पक्षवानुन,பக்ஷவானுன்,parties,தரப்பினர்  
"ꢱ꣄ꢬꢿꢠꢶ, ꢆꢥ꣄ꢥꢡꢶ","स्रेणि, उन्नति",ஸ்ரேணி/உந்நதி,"grade, standard",தரம்  
"ꢮꢶꢬ꣄ꢡꢵ ꢩꢸꢛꢶ, ꢥꢶꢱ꣄ꢡ ꢩꢸꢄ~","व्र्ताभुञि, निस्त भुइ~",விர்தாபு4ஞி/நிஸ்த பு4இ~,wasteland,தரிசு நிலம்   
"ꢣꢳꢦꢳꣁ, ꢣꢳ ꢱꢾꢥꣁ, ꢦꢣ ꢱꢿꢥꣁ","दळपळा॑, दळ सेना॑, पद सेना॑",த3ளபளொ/ த3ள ஸேனொ/பத3ஸேனொ,land army,தரைப்படை  
ꢬꢵꢙꢤꢵꢥꢶ,राजधानि,ராஜதா4னி,capital city,தலைநகரம்  
"ꢂꢔ꣄ꢬꢵꢱꢥꢸꢦꢥ꣄, ꢂꢔ꣄ꢬꢵꢱꢥꣁ","अग्रासनुपन, अग्रासना॑",அக்3ராஸனுபன்/அக்3ராஸனொ,leadership,தலைமை  
ꢂꢔ꣄ꢬꢵꢱꢥꢵꢤꢶꢦꢡꢶ,अग्रासनाधिपति,அக்3ராஸனாதி4பதி,"leader, president",தலைவர்  
"ꢬꢶꢨꢾꢜ꣄, ꢣꣁꢦ꣄ꢨꢶꢣꢾꢥꢶ, ꢆꢥ꣄ꢥ ꢒꢾꢬ꣄ꢥꢶ","रिबेट, दा॑प्बिद॑नि, उन्न क॑र्नि",ரிபே3ட்/தொ3ப்பி3தெ3னி/ உன்ன கெர்னி,"discount, rebate",தள்ளுபடி  
ꢆꢦꢒꢬꢠꣁ,उपकरणा॑,உபகரணொ,equipment,தளவாடம்  
ꢱ꣄ꢮꢫ ꢂꢟꢶꢒꢵꢬ꣄,स्वय अधिकार,ஸ்வய அதி4கார்,autonomy,தன்னாட்சி  
ꢱ꣄ꢮꢗꢭ꣄ꢥꢶ,स्वचल्नि,ஸ்வசல்னி,automation,தன்னியக்கம்  
"ꢏꢠ꣄ꢜꢶꢫꢵꢳ꣄, ꢏꢠ꣄ꢜꢮ꣄ꢫꢒ꣄ꢡꢶ","आ॑ण्टियाळ, आ॑ण्टव्यक्ति",ஒண்டியாள்/ஒண்டவ்யக்தி,individual,தனிநபர்  
ꢪꢵꢬ꣄,मार,மார்,attack,தாக்குதல்  
"ꢪꢵꢫ꣄ ꢩꢵꢰꣁ, ꢪꢵꢡ꣄ꢬꢸ ꢩꢵꢰꣁ","माय भाषा॑, मात्रु भाषा॑",மாய் பா4ஷொ/ மாத்ரு பா4ஷொ,mother tongue,தாய்மொழி  
ꢫꣂꢙꢥꢵ ꢃꢫꣂꢔ꣄,योजना आयोग,யோஜனா ஆயோக்3,planning commission,திட்டக்குழு  
ꢫꣂꢙꢥꣁ,योजना॑,யோஜனொ,plan,திட்டம்  
"ꢡꢶꢠ꣄ꢗꢶꢥꢶ, ꢂꢤꢶꢬꣂꢦꢠꣁ","तिण्चिनि, अधिरोपणा॑",திண்சினி/ அதி4ரோபணொ,imposition,திணிப்பு  
ꢡꢶꢬꢶꢡꢪ꣄,तिरितम्,திரிதம்,,
ꢣꢶꢮꢵꢭ꣄,दिवाल,தி3வால்,insolvent,திவால்  
ꢤꢶꢮꢵꢥ꣄,धिवान्,தி4வான்,diwan,திவான்  
ꢆꢔ꣄ꢬꢮꢵꢡꢶ,उग्रवाति,உக்3ரவாதி,extremist,தீவிரவாதி  
"ꢡꢶꢬ꣄ꢪꢵꢥ꣄, ꢥꢶꢬ꣄ꢠꢫꣁ","तिर्मान्, निर्णया॑",திர்மான்/ நிர்ணயொ,resolution,தீர்மானம்  
ꢡꢷꢬ꣄ꢮꣁ,तीर्वा॑,தீர்வொ,duty,தீர்வை  
ꢆꢦꢬꢵꢰ꣄ꢜ꣄ꢬꢦꢡꢶ,उपराष्ट्रपति,உபராஷ்ட்ரபதி,vice-president (of a country),துணைராஷ்ட்ரபதி   
ꢆꢦꢮꢶꢢꢶ,उपविधि,உபவிதி4,by-law,துணைவிதி  
"ꢥꢶꢬ꣄ꢪꢭꢶꢒꢬꢠꣁ, ꢱꢸꢣ꣄ꢤꢶ ꢦꢵꢭꢥꣁ","निर्मलिकरणा॑, सुद्धिपालना॑", நிர்மலிகரணொ/ ஸுத்3தி4 பாலனொ,sanitation,துப்புரவு  
"ꢡꢵꢬꢸ ꢬꢾꢪ꣄, ꢥꢵꢮꢸꢬꢾꢪ꣄, ꢥꢮ꣄ꢒꢵ ꢬꢿꢪ꣄","तारु रेम, नावु रेम, नव्का रेम",தாரு ரேம்/ நாவுரேம்/ நவ்கா ரேம்,harbour,துறைமுகம்  
ꢣꢸꢡꢥꢶꢮꢵꢱ꣄,दुत निवास,தூ3த நிவாஸ்,embassy,தூதரகம்
ꢣꢹꢡꣁ,दूता॑,தூ3தொ,messenger,தூதுவன்  
ꢦꢬꢶꢱꢸꢣ꣄ꢤꢶ,परिसुद्धि,பரிஸுத்3தி4,cleanliness,தூய்மை  
ꢥꢶꢳ꣄꣄ꢗꢶꢥꢶ,निळ्चिनि,நிள்சினி,stagnation,தேக்கம்  
ꢣꢾꢱꢩꢒ꣄ꢡꣁ,देसभक्ता॑,தே3ஸப4க்தொ,patriot,தேசபக்தர்  
ꢣꢿꢱꢩꢒ꣄ꢡꢶ,देसभक्ति,தே3ஸப4க்தி,patriotism,தேசபக்தி  
"ꢬꢵꢰ꣄ꢜ꣄ꢬꢸ, ꢣꢾꢱꢸ","राष्टरु, देसु",ராஷ்ட்ரு/தே3ஸு,nation,தேசம்  
ꢬꢵꢰ꣄ꢜ꣄ꢬꢚꢠ꣄ꢞꢵꢮ꣄,राष्ट्रझण्डाव,ராஷ்ட்ரஜ2ண்டா3வ்,National Flag,தேசியக்கொடி  
"ꢬꢵꢰ꣄ꢜ꣄ꢬꢔꢵꢥꢪ꣄, ꢣꢾꢱꢸꢔꢷꢡ꣄","राष्ट्रगानम, देसुगीत",ராஷ்ட்ரகா3னம்/தே3ஸுகீ3த்,National Anthem,தேசியகீதம்  
ꢬꢵꢰ꣄ꢜ꣄ꢬꢩꢵꢰꣁ,राष्ट्रभाषा॑,ராஷ்ட்ரபா4ஷொ,National Language,தேசியமொழி  
"ꢗꢸꢥꢵꢮ꣄, ꢥꢶꢬ꣄ꢮꢵꢗꢥ꣄","चुनाव, निर्वाचन",சுனாவ்/ நிர்வாசன்,election,தேர்தல்  
ꢦꢙꢾꢥ꣄ꢡꣁ,पज॑न्ता॑,பஜெந்தொ,need,தேவை  
ꢥꢶꢬ꣄ꢮꢵꢗꢥꢸ ꢩꢵꢔ꣄,निर्वाचनु भाग,நிர்வாசனு பா4க்3,constituency,தொகுதி  
"ꢱꢖ꣄ꢒꢭꢥꢒꣁ, ꢮ꣄ꢫꢵꢱꢶꢒꢬ꣄ꢡꣁ","सङ्कलनका॑, व्यासिकर्ता॑",ஸங்கலனகொ/ வ்யாஸிகர்தொ,compiler,தொகுப்பாளர்  
"ꢱꢖ꣄ꢒꢭꢥꣁ, ꢮ꣄ꢫꢵꢱ꣄","सङ्कलना॑, व्यास",ஸங்கலனொ/ வ்யாஸ்,compilation,தொகுப்பு  
"ꢬꣁꢒ꣄ꢒꢪ꣄, ꢤꢥꢬꢵꢯꢶ","रोक्कम, धनराशि",ரொக்கம்/த4னராஶி,amount,தொகை  
ꢱꢾꢮ꣄ꢒꢥ꣄,सेव्कन,ஸெவ்கன்,volunteer,தொண்டர்  
ꢣꢹꢬ ꣄ꢭꢶꢓ꣄ꢥꢶ,दूर्लिख्नि,தூ3ர்லிக்2னி,telegram,தொலைவரி  
"ꢒꢵꢬ꣄ꢫꣁ, ꢒꢵꢪ꣄","कार्या॑, काम",கார்யொ/காம்,labour,தொழில்  
"ꢒꢵꢬ꣄ꢫꢮꢵꢥ꣄, ꢒꢵꢪ꣄ꢒꢾꢬ꣄ꢡꣁ, ꢒꢵꢬ꣄ꢫꢱ꣄ꢢꣁ","कार्यवान, काम्क॑र्ता॑, कर्यस्था॑",கார்யவான்/ காம் கெர்தொ/கார்யஸ்தொ2,labourer,தொழிலாளி  
"ꢒꢵꢪꢸ ꢦꣁꢜ꣄ꢜꢾꢜ꣄, ꢒꢵꢬ꣄ꢫꢕꢥꣁ","कामु पा॑ट्ट॑ट, कारयघना॑",காமு பொட்டெட்/ கார்யக4னொ,industrial estate,தொழிற்பேட்டை  
"ꢆꢣ꣄ꢣꢾꢱ꣄, ꢱꢵꢪꢷꢦ꣄ꢫꢡꣁ, ꢆꢥ꣄ꢥ ꢆꢦꢶꢬ꣄","उद्देस, सामीप्यता॑,   उन्न उपिर",உத்3தே3ஸ்/ ஸாமீப்யதொ/ உன்ன உபிர்,approximation,தோராயம்  
"ꢱꢶꢖ꣄ꢔꣀꢡ꣄, ꢱꢾꢖ꣄ꢔꢡꢶ, ꢱꢲꢮꢵꢱꢶ, ꢱꢾꢖ꣄ꢔꢮꢶ","सिङ्गैत, स॑ङ्गति, सहवासि, स॑ङ्गवि",ஸிங்கை3த்/ ஸெங்க3தி/ ஸஹவாஸி/ ஸெங்க3வி,comrade,தோழர்  
"ꢥꢔꢬꢱꢩꣁ, ꢔ꣄ꢬꢵꢪ ꢱꢖ꣄ꢕꣁ, ꢥꢔꢬ ꢦꢵꢭꢶꢒꣁ","नगरसभा॑, ग्राम सङ्घा॑, नगर पालिका॑",நக3ர ஸபொ4 / க்3ராம ஸங்கொ4 / நக3ர பாலிகொ,municipality,நகரசபை  
ꢗꢵꢭ꣄ꢗꢭꢥ꣄,चाल्चलन,சால்சலன்,movement,நடமாட்டம்  
ꢒ꣄ꢬꢶꢫꢵꢒ꣄ꢬꢪꣁ,क्रियाक्रमा॑,க்ரியாக்ரமொ,action,நடவடிக்கை  
ꢪꢤ꣄ꢫ ꢱꢬ꣄ꢒꢵꢬ꣄,मध्य सर्कार,மத்4யஸர்கார்,Central Government,நடுவணரசு  
"ꢆꢭꢵꢱꢸꢮꢵꢜ꣄, ꢗꢭꢥ꣄ꢮꢵꢜ꣄","उलासुवाट, चलन्वाट",உலாஸு வாட்/ சலன் வாட்,pavement,நடைபாதை  
ꢥꢾꢰ꣄ꢜꢶ ꢥꢶꢮꢵꢬꢠꣁ,न॑ष्टि निवारणा॑,நெஷ்டி நிவாரணொ,compensation,நஷ்ட ஈடு   
"ꢥꢵꢔ꣄ꢬꢷꢔ꣄, ꢱꢪ꣄ꢱ꣄ꢒ꣄ꢬꢸꢡꢶ","नाग्रीग, सम्स्क्रुति",நாக3ரீக்3/ ஸம்ஸ்க்ருதி,civilization,நாகரீகம்  
ꢣꢶꢥ꣄ꢥꢸ ꢱꣁꢪ꣄ꢨꢸꢳꣁ,दिन्नु सा॑म्बुळा॑,தி3ன்னு ஸொம்பு3ளொ,daily wage,நாட்கூலி  
"ꢔ꣄ꢬꢵꢪ꣄ꢫꢙꢵꢡ꣄, ꢱ꣄ꢢꢭꢷꢫꢙꢵꢡ꣄","ग्राम्यजात, स्थलीयजात",க்3ராம்யஜாத்/ ஸ்த2லீயஜாத்,local race (of a country),நாட்டினம்  
"ꢬꢵꢰ꣄ꢜ꣄ꢬ ꢚꢠ꣄ꢞꢮ꣄, ꢣꢾꢱꢸ ꢚꢠ꣄ꢞꢵꢮ꣄","राष्ट्र झण्डाव, देसु झण्डाव",ராஷ்ட்ர ஜ2ண்டா3வ்/ தே3ஸு  ஜ2ண்டா3வ்,National Flag,நாட்டுக்கொடி  
"ꢬꢵꢰ꣄ꢜ꣄ꢬꢔꢷꢜ꣄, ꢣꢾꢱꢸꢔꢷꢜ꣄","राष्ट्रगीत, देसुगीत",ராஷ்ட்ர கீ3த் /தே3ஸு கீ3த்,National Anthem,நாட்டுப்பண்  
"ꢬꢵꢰ꣄ꢜ꣄ꢬ ꢩꢒ꣄ꢡꢶ, ꢣꢾꢱꢸꢩꢒ꣄ꢡꢶ","राष्ट्र भक्ति, देसुभक्ति",ராஷ்ட்ர ப4க்தி/ தே3ஸுப3க்தி,patriotism,நாட்டுப்பற்று  
"ꢥꢵꢔꢬꢷꢒꢡꣁ, ꢣꢾꢱꢶꢫꢡꣁ","नागरीकता॑, देसुयता॑",நாக3ரீகதொ/ தே3ஸீயதொ,citizenship / nationality,நாட்டுரிமை  
ꢭꣂꢒ꣄ ꢱꢩꣁ,लोक्सभा॑,லோக்ஸபொ4,parliament,நாடாளுமன்றம்  
"ꢬꢵꢰ꣄ꢜ꣄ꢬꢸ, ꢣꢾꢱ꣄","राष्ट्रु, देस",ராஷ்ட்ரு/தே3ஸ்,country,நாடு  
"ꢒꢵꢬ꣄ꢫ ꢗꢵꢭꢥꣁ, ꢮꣀꢩꢮ꣄","कार्य चालना॑, वैभव",கார்ய சாலனொ/ வைப4வ்,event,நிகழ்ச்சி  
ꢒꢵꢬ꣄ꢫꢒ꣄ꢬꢪꣁ,कार्यक्रमा॑,கார்யக்ரமொ,"agenda, programme",நிகழ்ச்சிநிரல்  
"ꢲꢥ꣄ꢥꢮꢸ, ꢥꢶꢕꢶ","हन्नवु, निघि",ஹன்னவ்/நிதி4,fund,நிதி  
ꢥꢶꢡꢶ ꢮꢶꢩꢵꢔ,नितिविभाग,நிதி4விபா4க்3,finance department,நிதித்துறை  
ꢥꢶꢦꢥ꣄ꢣꢥꣁ,निपन्दना॑,நிபந்த3னொ,condition,நிபந்தனை  
ꢥꢶꢬ꣄ꢮꢵꢲ꣄,निर्वाह,நிர்வாஹ்,administration,நிர்வாகம்  
ꢒ꣄ꢬꢪꣁ,क्रमा॑,க்ரமொ,series/sequence,நிரல்  
ꢥꢶꢬ꣄ꢮꢵꢒ꣄,निर्वाक्,நிர்வாக்,,
"ꢥꢶꢬꢸꢦꢠꣁ, ꢦ꣄ꢬꢪꢵꢠ꣄, ꢬꢹꢙꢸ","निरुपणा॑, प्रमाण, रूजु",நிரூபணொ/ப்ரமாண்/ருஜு,proof,நிருபணம்  
ꢱ꣄ꢬꢿꢠꢶ,स्रेणि,ஸ்ரோணி,range,நிரை
ꢢꢵꢪꢸ ꢒꢬꣁ,थामु करा॑,தா2மு கரொ,land tax,நிலவரி  
ꢱ꣄ꢢꢵꢦꢥꣁ,स्थापना॑,ஸ்தா2பனொ,institute,நிறுவனம்  
ꢫꣂꢒ꣄ꢫꢡꣁ,योक्यता॑,யோக்யதொ,merit,நிறை
"ꢥꢷꢡꢶꢦꢡꢶ, ꢥꢶꢫꢵꢫꢵꢤꢶꢦꢡꢶ","नीतिपति, नियायाधिपति",நீதிபதி/ நியாயாதி4பதி,judge,நீதிபதி  
ꢥꢷꢡꢶꢱ꣄ꢢꢭ꣄,नीतिस्थल,நீதிஸ்த2ல்,court,நீதிமன்றம்  
"ꢆꢦꢫꣂꢔꢸ       ꢮꢱ꣄ꢡꢸꢥ꣄, ꢥꢸꢔꢥ꣄ ꢮꢱ꣄ꢡꢸꢥ꣄","उपयोगु वस्तुन, नुगन वस्तुन",உபயோகு3வஸ்துன்/ நுக3ன் வஸ்துன்,consumer`s goods,நுகர்பொருள்கள்
"ꢆꢦꢫꣂꢔ, ꢥꢸꢔꢶꢥꢶ","उपयोग, नुगिनि",உபயோக்3/ நுகி3னி,consumption,நுகர்வு  
"ꢡꢸꢬ꣄ꢥꢶ, ꢦ꣄ꢬꢾꢮ꣄ꢯ꣄","तुर्नि, प्रेवुश",துர்னி/ ப்ரவேஶ்,entry,நுழைவு  
"ꢄꢬ꣄ꢒꢜ꣄, ꢱꢖ꣄ꢔꢜ꣄","इर्कट, सङ्गट",இர்கட்/ஸங்க3ட்,crisis,நெருக்கடி  
ꢮꢔꣁ ꢦꢬꢶ ꢱꣂꢣꢥꣁ,वगा॑परिसोदना॑,வகொ3பரிஸோத3னொ,analysis,பகுப்பாய்வு  
ꢱꢲꢫꣁꢔ꣄,सहयोग,ஸஹயோக்3,contribution,பங்களிப்பு  
ꢮꢜꣁ,वटो,வடொ,share,பங்கு  
"ꢣꢸꢔꢵꢳꢸ ꢲꢥ꣄ꢥꢮ꣄, ꢣꢸꢔꢵꢳꢸ ꢩꢬ꣄ꢡꣁ","दुगाळु हन्नव, दुगाळु भर्ता॑",து3கா3ளு ஹன்னவ் /து3கா3ளு ப4ர்தொ,dearness allowance,பஞ்சப்படி  
ꢣꢸꢔꢵꢳ꣄꣄,दुगाळ,து3கா3ள்,famine,பஞ்சம்  
"ꢱꢿꢥꣁ, ꢦꢳꣁ","सेना॑, पळा॑",ஸேனொ/பளொ,army,பட்டாளம் / படை  
"ꢨꢶꢭ꣄, ꢬꢱꢷꢡꢸ","बिल्, रसीतु",பி3ல்/ரஸீத்,bill,பட்டி  
"ꢙꢵꢦꢶꢡꣁ, ꢙꢦ꣄ꢡꣁ","जापिता॑, जप्ता॑",ஜாபிதொ/ஜப்தொ,list,பட்டியல்  
ꢱꢪ꣄ꢩꢮꢥꣁ,सम्भावना॑,ஸம்பா4வனொ,allowance,படி  
ꢲꢥꢶ,हनि,ஹனி,"attack, aggression",படை எடுப்பு
"ꢚꢾꢞꢵ ꢂꢫ꣄ꢣꢸ, ꢱꢿꢥꢵ ꢣꢳꢮꢵꢞꢸꢥ꣄","झ॑डा अय्दु, सेना दळवाडुण",ஜெ2டா3 அய்து3/ ஸேனா த3ளவாடு3ண்,arms,படைக்கலம்  
"ꢱꢿꢥꢵꢦꢡꢶ, ꢣꢭꢒꢬ꣄ꢡꣁ","सेनापति, दलकर्ता॑",ஸேனாபதி/ த3ளகர்தொ,army chief,படைத்தளபதி  
ꢣꢿꢥꢵ ꢣꢳ꣄,सेनादळ,ஸேனா த3ள்,regiment,படைப்பிரிவு  
"ꢦꢣꢵꢬ꣄ꢢꢸꢥ꣄, ꢩꣁꢠ꣄ꢠꢪꢸꢥ꣄","पदार्थुन, भा॑ण्णमुन",பதா3ர்து2ன்/  பொ4ண்ணமுன்,commodity,பண்டங்கள்  
"ꢒꢭꢵꢗꢵꢬ꣄, ꢱꢪ꣄ꢱ꣄ꢒ꣄ꢬꢸꢡꢶ","कलाचार्, सम्स्क्रुति",கலாசார்/ஸம்ஸ்க்ருதி,culture,பண்பாடு  
ꢆꢣ꣄ꢫꣂꢔ꣄,उद्योग्,உத்3யோக்3,profession,பணி  
ꢒꢵꢪ꣄ ꢲꢾꢞ꣄ꢠꢶ,काम ह॑ड्णि,காம் ஹெட்3ணி,dismissal (from job),பணி நீக்கம்   
ꢒꢪ ꣄ꢪꢬ꣄ꢗꢶꢥꢶ,काम्मरिनि,காம் மர்சினி,transfer,பணி மாற்றம்   
ꢒꢵꢪꢸ ꢙꢿꢰ꣄ꢜꢦꢥ꣄,कामु जेष्टपन,காமு ஜேஷ்டபன்,seniority,பணி மூப்பு   
ꢒꢵꢬ꣄ꢫꢵꢮꢵꢥ꣄,कार्यावान्,கார்யவான்,employees,பணியாளர்  
ꢦꢣꢮꢶ,पदवि,பத3வி,"position, job",பதவி  
ꢦꢣꢮꢶ ꢲꢸꢡ꣄ꢬꢵꢮ꣄,पदवि हुत्राव,பத3வி ஹுத்ராவ்,demotion,பதவி இறக்கம்   
ꢦꢣꢮꢶ ꢲꢶꢖ꣄ꢔꢵꢮ꣄,पदवि हिङ्गाव,பத3வி ஹிங்கா3வ்,promotion,பதவி உயர்வு   
ꢦꢣꢮꢶꢓꢳ꣄ꢳꢶꢥꢶ,पदवि खळ्ळिनि,பத3வி க2ள்ளினி,sworn in,பதவி ஏற்பு   
ꢦꢣꢮꢶ ꢒꢵꢭ,पदविकाल,பத3விகால்,tenure,பதவிக்காலம்  
"ꢚꢜ꣄ꢢꢶ, ꢏꢣ꣄ꢣꢶ","झट्थि, ओद्दि",ஜ2ட்தி2/ஒத்3தி3,editor,பதிப்பாசிரியர்  
"ꢥꢶꢪ꣄ꢦꢶꢥꢶ, ꢱꢪ꣄ꢱ꣄ꢒꢬꢠꣁ","निम्पिनि, सम्स्करणा॑",நிம்பினி/ ஸம்ஸ்கரணொ,edition,பதிப்பு  
ꢥꢶꢪ꣄ꢦꢶꢥꢶ ꢨꢵꢤ꣄ꢫꢡꣁ,निम्पि निबाध्यता॑,நிம்பினிபா3த்4யதொ ,copy right,பதிப்புரிமை  
"ꢩꢬ꣄ꢡꢶ, ꢨꣁꢣꢸꢭ꣄","भर्ति, बा॑दुल",ப4ர்தி/பொ3து3ல்,substitute,பதிலாள்  
"ꢦꢛ꣄ꢗꢶꢒꣁ, ꢥꢶꢬ꣄ꢣꢿꢱꣁ","पञ्चिका॑, निर्देसा॑",பஞ்சிகொ / நிர்தே3ஸொ,registration,பதிவு  
ꢦꢛ꣄ꢗꢶꢒꣁ ꢦꢡ꣄ꢡꢬ꣄,पञ्चिका पत्तर,பஞ்சிகா பத்தர்,register,பதிவேடு  
ꢱꢾꢡ꣄ꢡꢬ꣄,स॑त्तर,ஸெத்தர்,travellers bungalow,பயணிகள் விடுதி   
ꢩꣁꢔꢸꢥꢵꢬ꣄,भा॑गुनार,பொ4கு3னார்,beneficiary,பயனாளி  
ꢱꢶꢒ꣄ꢰꢵ ꢪꢵꢣ꣄ꢫꣁ,सिक्षा माद्यो,ஸிக்ஷா மாத்3யொ,medium of education,பயிற்றுமொழி  
ꢦꢬꢶꢦꢵꢭꢥꣁ,परिपालना॑,பரிபாலனொ,maintenance,பராமரிப்பு  
ꢦꢬꢶꢱꢷꢭꢥꣁ,परिसीलना॑,பரிஸீலனொ,consideration,பரிசீலனை  
ꢱꢸꢦꢬ꣄ꢗꢶ,सुपर्चि,ஸுப3ர்சி,recommendation,பரிந்துரை  
ꢦꢬꢶꢮꢬ꣄ꢡꢥꣁ,परिवर्तना॑,பரிவர்தனொ,exchange,பரிமாற்றம்  
"ꢥꢶꢤꢶ ꢆꢥ꣄ꢥꣁ, ꢧꢸꢬꣁ ꢧꢸꢬ꣄ꢥꢵꢱ꣄ꢡꢾ","निधिउन्ना॑, फुरा॑ फुर्नास्ते",நிதி4உன்னொ/ பு2ரொ பு2ர்னாஸ்தே ,"shortage, deficit",பற்றாக்குறை  
"ꢦꢬ꣄ꢬꢸ, ꢙꢥꢶ","पर्रु, जनि",பற்று/ ஜனி,debit,பற்று  
ꢂꢦꢲꢬꢠꣁ,अपहरणा॑,அபஹரணொ,seize,பறிமுதல்  
ꢦꢥꢶ ꢱꢶꢛ꣄ꢗꢵꢮ꣄,पनि सिनन्चाव,பனி ஸிஞ்சாவ்,irrigation,நீர்பாசனம்
ꢬꢒ꣄ꢰꢥꣁ,रक्षना॑,ரக்ஷனொ,defence,பாதுகாப்பு  
ꢭꣂꢒ꣄ꢱꢩꣁ,लोक्सभा॑,லோக்ஸபொ4,parliament,பாராளுமன்றம்  
ꢣꢹꢡ꣄ ꢆꢡ꣄ꢦꢵꢣꢥꢱꢵꢭꣁ,दूत उत्पादनसाला॑,தூ3த் உத்பாத3னஸாலொ,dairy,பால்பண்ணை  
ꢗꢸꢥꢵꢮꢸ ꢦ꣄ꢬꢗꢵꢬ꣄,चुनावु प्रचार,சுனாவு ப்ரசார்,election campaign,தேர்தல் பிரசாரம்  
ꢙꢪꢷꢥ,जमीन,ஜமீன்,surety,பிணை  
ꢩꢬ꣄ꢡꢶ,भर्ति,ப4ர்தி,bail,பிணையம்  
ꢦ꣄ꢬꢤꢵꢥ꣄ ꢪꢥ꣄ꢡꢶꢬꢶ,प्रधान्मन्तिरि,ப்ரதா4ன்மந்திரி,prime minister,பிரதம அமைச்சர்   
ꢨꣁꢣꢸꢭ꣄ ꢮꢵꢡꢶ,बा॑दुल्वाति,பொ3து3ல்வாதி,representative,பிரதிநிதி  
ꢦ꣄ꢬꢡꢿꢱꢸ,प्रतेसु,ப்ரதே3ஸு,territory,பிரதேசம்  
ꢦ꣄ꢬꢩꢸ,प्रभु,ப்ரபு4,lord,பிரபு  
ꢦ꣄ꢬꢙꣁ,प्रजा॑,ப்ரஜொ,citizen,பிரஜை
ꢮꢶꢩꢵꢔ,विभाग,விபா4க3,cell (division),பிரிவு  
ꢂꢥꢸꢨꢥ꣄ꢤꢸ,अनुबन्धु,அநுப3ந்து4,appendix,பிற்சேர்க்கை  
"ꢦꢱ꣄ꢒꢜ꣄ꢮꢬ꣄ꢔꢸ ꢱꢪꢹꢲꢸ, ꢦꢱ꣄ꢒꢜ꣄ ꢦꣁꢞꢾ ꢱꢪꢹꢲꢸ","पस्कट्वरगु समूहू, पस्कट बा॑ड॑ समूहु",பஸ்கட்வர்கு3 ஸமூஹு / பஸ்கட் பொடெ3 ஸமூஹு,backward class people,பிற்பட்ட வகுப்பினர்   
ꢙꢥ꣄ꢪꢵꢥ꣄ꢣꢬꢪꢸ,जन्मान्दरमु,ஜன்மாந்த3ரமு,birth rate,பிறப்பு வீதம்   
ꢦꢱ꣄ꢒꢞꢸꢱꢪꢹꢲꢸ,पस्कडु समूहु,பஸ்கடு3 ஸமூஹு,back ward,பின்தங்கிய  
ꢂꢥꢸꢨꢥ꣄ꢤꢸ,अनुबन्धु,அநுப3ந்து4,appendix,பின்னிணைப்பு  
"ꢦꢸꢒꢵꢬ꣄, ꢂꢩꢶꢫꣂꢔ","पुकार्, अभियोग",புகா3ர்/ அபி4யோக3,complaint,புகார்  
"ꢥꣁꢮ꣄ꢮꢒꢬꢠꣁ, ꢥꣁꢮ꣄ꢮꢒꢾꢬ꣄ꢥꢶ","नोव्वकरणा॑, ना॑व्व क॑र्नि",நவீகரணொ/ நொவ்வ கெர்னி,renewal,புதுப்பித்தல்  
ꢒ꣄ꢬꢵꢥ꣄ꢡꢶ,क्रान्ति,க்ராந்தி,revolution,புரட்சி  
ꢮꢣꢥ꣄ꢡꢶ,वदन्ति,வத3ந்தி,rumour,புரளி  
"ꢮꢶꢗꢵꢬꢠꣁ, ꢂꢥ꣄ꢮꢿꢱꢥꣁ","विचारणा॑, अन्वेसना॑",விசாரணொ/அன்வேஸனொ,investigation,புலனாய்வு  
ꢱꢬ꣄ꢒꢵꢬꢸ ꢢꢵꢪ꣄,सर्कारु थाम,ஸர்காரு தா2ம்,government land,புறம்போக்கு  
"ꢮꢶꢱ꣄ꢡꢵꢬ꣄, ꢮꢶꢭꢵꢱ꣄","विस्तार्, विलास्",விஸ்தார்/விலாஸ்,amplifier,பெருக்கி
ꢨꢲꢸ ꢱꢖ꣄ꢓ꣄ꢫꢡꣁ,बहु सङ्ख्यता॑,ப3ஹு ஸங்க்2யதொ,majority,பெரும்பான்மை  
"ꢂꢤꢶꢒꢡꣁ, ꢆꢦꢶꢬ꣄","अधिकता॑, उपिर",அதி4கதொ/உபிர்,maximum,பெருமம்  
"ꢬꢵꢙꢵꢤꢶꢬꢙꣁ, ꢪꢴꢵꢬꢵꢜ꣄, ꢱꢵꢪ꣄ꢬꢵꢜ꣄, ꢗꢒ꣄ꢬꢮꢬ꣄ꢡꢶ","राजाधि रजा॑, म्हाराट, साम्राट, सक्रवर्ति",ராஜாதி4 ரஜொ/ மா:ராட் /ஸாம்ராட் / சக்ரவர்தி,emperor,பேரரசர்  
