ꢂꢠ꣄ꢗꢸ ꢮꢔꢡꢶ,अण्चुव गति,அண்சுவ க3தி,suppression,அடக்குமுறை  
ꢗꢾꢡ꣄ꢡꢬ꣄,च॑त्तर्,செத்தர்,order,கட்டளை
ꢥꢿꢪꣁ,नेमा॑,நேமொ,discipline,கட்டுப்பாடு  
ꢗꣁꢞ꣄ꢞꣁ,चा॑ड्डा॑,சொட்3டொ3,thief (M),கள்ளன்  
ꢱ꣄ꣁꢞ꣄ꢞꢶ,चा॑ड्डि,சொட்3டி3,thief (F),கள்ளி  
ꢢꢠꢵ ꢱ꣄ꢢꢭ ꢬꢒ꣄ꢰꢶꢥꢶ,थणा स्थल रक्षिनि,த2ணா ஸ்த2ல ரக்ஷினி,police custody,காவல் நிலைய கண்காணிப்பு
ꢢꢠꢵ ꢬꢒ꣄ꢰꢶꢥꢶ,थणारक्षिनि,த2ணா ரக்ஷினி,police custody,காவல் நிலைய கண்காணிப்பு
ꢢꢠꢵ ꢮꢶꢩꢵꢔ꣄,थणा विभाग,த2ணா விபா4க்3,police department,காவல் துறை   
ꢢꢠꢵ ꢱ꣄ꢢꢭ꣄,थणा स्थल्,த2ணா ஸ்த2ல்,police station,காவல் நிலையம் 
ꢢꢠꣀꢡ꣄,थणैत,த2ணைத்,policeman,காவலர்  
ꢒꢾꢭ꣄ꢭꢭ꣄,ख॑ल्लल्,கெ2ல்லல்,"mocking, teasing",கிண்டல்  
ꢬꣃꢞꢶ,रौडि,ரௌடி3,goonda,குண்டன்
ꢒꢸꢠ꣄ꢞꢸ,कुण्डु,கு3ண்டு3,bomb,குண்டு  
ꢕꣁꢞꢵ ꢱꣀꢥ꣄ꢫꢸ,घा॑डा सैन्यु,கொ4டா3ஸைன்யு,mounted police,குதிரைப்படை  
ꢒꢸꢪ꣄ꢦꢸ,कुम्पु,கு3ம்பு,crowd,கும்பல்  
ꢭꢸꢪ꣄ꢦ꣄ꢳꣁ,लुम्प्ळा॑,லும்ப்ளொ,confusion,குழப்பம்  
ꢂꢦꢬꢵꢤ꣄,अपराध,அபராத்4,crime,குற்றம்  
