Sourashtra Word,Hindi Pronunciation,Tamil Pronunciation,Roman Readable,Havard-Kyoto,IAST,IPA,Meaning English,Meaning Tamil
ꢤꢶꢭ꣄ꢭꣁꢦꣁꢜ꣄,धिल्ला॑ पोट,தி4ல்லொபோட்,dhillo'po't',dhillOpOT,dhillŏpŏṭ,d̪ʰɪllopoʈ,be loose,கழல் (ன்ற்)  
ꢲꢿꢜ꣄,हेट्,ஹேட்,het',heT,heṭ,ɦeːʈ,remove,கழற்று (இன்ற்)  
ꢲꢾꢞꢶ ꢡꢵꢫ꣄,ह॑डिताय्,ஹெடி3தாய்,he'd'i taay,hEDi tAy,hĕḍi tāy,ɦeɖɪ t̪ɑːj,remove,கழற்று (இன்ற்)  
ꢣꢶꢥ꣄ꢥꢸ ꢙꢮꢵꢜ꣄,दिन्नु जवाट्,தி3ன்னு ஜவாட்,dinnu javaat',dinnu javAT,dinnu javāṭ,d̪ɪn̪n̪u d͡ʒəʋɑːʈ,be spent,கழி (ந்த்)  
ꢩꢷꢜ꣄,भीट्,பீ4ட்,bheet',bhIT,bhīṭ,bʰiːʈ,subtract,கழி (த்த்)  
ꢤꢹꢮ꣄,धूव्,தூ4வ்,dhoov,dhUv,dhūv,d̪ʰuːʋ,wash,கழுவு (இன்)  
ꢱꣁꢮ꣄ꢞꢶ,सा॑व्डि,ஸொவ்டி3,so'vd'i,sOvDi,sŏvḍi,s̪oʋɖɪ,undress,களை (ந்த்)  
ꢱꢷꢥ꣄ꢦꣁꢥ꣄ꢣꢶ,सीन्पा॑न्दि,ஶீன்பொந்தி3,seenpo'ndi,sInpOndi,sīnpŏndi,s̪iːn̪pon̪d̪ɪ,be tired,களை (த்த்)  
ꢱꢶꢒ꣄ꢒꢵꢜ꣄,सिक्काट्,ஸிக்காட்,sikkaat',sikkAT,sikkāṭ,s̪ɪkkɑːʈ,teach,கற்பி (த்த்)  
ꢣꢹꢡ꣄ ꢦꢷꢳ꣄,दूत्पीळ्,தூ3த் பீள்,doot peel',dUt pIL,dūt pīl̤,d̪uːt̪ piːɭ,to milk,கற (ந்த்)  
ꢗꢸꢜ꣄ꢜꢸ ꢧꢷꢬ꣄ꢮꢶ,चुट्टु फीर्वि,சுட்டுபி2ர்வி,chut't'u pheervi,cuTTu phIrvi,cuṭṭu phīrvi,t͡ʃuʈʈu pʰiːɾʋɪ,rotate,கறக்கு (இன்)  
