ꢂꢒ꣄ꢒꢬꣁꢓꢳ꣄ꢳꢿ,अक्करा॑ खळ्ळे,அக்கரொ க2ள்ளே,get interested,அக்கறைகொள்  
ꢒꢸꢠ꣄ꢜꢸ ꢒꢿꢬ꣄,कुण्टु केर्,குண்டுகேர்,do mistake,தவறிழை  
ꢣꣁꢨ꣄ꢦꢶ ꢢꣂꢮ꣄,दोब्बि थोव,தொ3ப்3பி3தோ2வ்,postpone,தள்ளிவை  
ꢦꢾꢡ꣄ꢡꢾ ꢒꢿꢬ꣄,पेत्ते केर,பெத்தெ கேர்,alienate,தனிப்படுத்து  
ꢱ꣄ꢬꢪꣁ ꢱꢾꢒꢶꢭꢿ,स्रमा॑ स॑किले,ஸ்ரமொ ஸெகிலே,manage,தாக்குப்பிடி  
ꢓꢷꢳ꣄ ꢡꢵꢫ꣄,खीळय्,கீ2ள்தாய்,close,தாழிடு  
ꢲꢸꢨ꣄ꢨꢱ꣄ ꢦꣂꢜ꣄,हुब्बस पोट,ஹுப்3ப3ஸ் போட்,suffocate,திக்குமுக்காடு  
ꢨꢾꢣꢶꢬ꣄ꢦꣂꢜ꣄,बेदिर्पोट,பெ3தி3ர்போட்,Be astonished,திகிலடை  
ꢃꢯ꣄꣄ꢗꢬ꣄ꢫꢸ ꢦꣂꢜ꣄,आश्चर्यु पोट,ஆஶ்சர்யு போட்,stun,திகைப்புறு  
ꢫꣂꢙꢥꣁ ꢒꢿꢬ꣄,योजना॑ केर,யோஜனொ கேர்,plan,திட்டம்தீட்டு  
ꢱꢪꢬ꣄ꢡꢮꢵꢥ꣄ ꢲꣂ,समर्तवान हो,ஸமர்தவான் ஹோ,have skill,திறன்படை  
ꢅꢥ꣄ ꢒꢿꢬ꣄,हीन केर,ஹீன் கேர்,do harm,தீங்கிழை  
ꢥꢶꢬ꣄ꢠꢫꣁ ꢒꢿꢬ꣄,निर्णया॑ केर,நிர்ணயொகேர்,give judgement,தீர்ப்பளி  
"ꢪꢸꢞꢶꢮ꣄ ꢣꢾꢒ꣄ꢒꢶ, ꢱꢪꢵꢤꢵꢥ꣄ ꢒꢿꢬ꣄","मुडिव द॑क्कि, समाधान केर",முடி3வ் தெ3க்கி/ ஸமாதா4ன்  கேர்,find a solution,தீர்வுகாண்  
ꢏꢡ꣄ꢡꢵꢱ꣄ ꢒꢿꢬ꣄,आ॑त्तास्केर,ஒத்தாஸ்கேர்,help,துணைபுரி  
ꢨꢶꢱ꣄ꢱꣁ ꢲꣁꢮꢵꢜ꣄,बिस्सा॑ हा॑वाट,பி3ஸ்ஸொ ஹொவாட்,hasten,துரிதப்படுத்து  
ꢡꢸꢬꢸ ꢤꢿꢬ꣄,तुरु धेर्,துருதே4ர்,rust,துருப்பிடி  
ꢦꢸꢜ꣄ꢜꣁ ꢡꢵꢫ꣄ ,पुट्टा॑ताय्,புட்டொதாய்,perforate,துளையிடு  
ꢓꢾꢰ꣄ꢜꢪ꣄ ꢦꣂꢜ꣄,खेष्टम्पोट्,கெஷ்டம்போட்,suffer,துன்பப்படு  
ꢗꢾꢞ꣄ꢮꢶ ꢱꣂꢜ꣄,च॑ड्वि सोट,செட்3வி ஸோட்,"encourage, instigate",தூண்டிவிடு  
"ꢩꢸꢬ꣄ꢒꣁ ꢒꢿꢬ꣄, ꢗꢹꢬ꣄ꢠꢸ ꢒꢿꢬ꣄","भुर्का॑ केर, चूर्णु केर ",பு4ர்கொ கேர்/ சூர்ணு கேர்,make powder,தூளாக்கு  
ꢮꢾꢒ꣄ꢒꢶ ꢲꢿꢜ꣄,वेक्किहेट्,வெக்கிஹேட்,select the best,தெரிந்தெடு  
ꢱꢥ꣄ꢣꢾꢯ꣄ ꢭꢿ ꢙꢵ,सन्देश ले जा,(ஸந்தே3ஶ்) லே ஜா,convey,தெரியப்படுத்து  
ꢱꢾꢥ꣄ꢣꢿꢮ꣄ ꢥꢴꢷꢡ꣄ꢡꣁ ꢬꢴꢵ,स॑न्देव न्हीत्ता॑ र्हा,ஸெந்தே3வ் நீ:த்தொ ரா:,be clear,தெளிவடை  
ꢱꢾꢥ꣄ꢣꢿꢮ꣄ ꢙꢮꢵꢜ꣄,स॑न्देव जवाट,ஸெந்தே3வ் ஜவாட்,make clear,தெளிவுப்படுத்து  
ꢣꢾꢒ꣄ꢒꢶꢥꢶ ꢦꣂꢜ꣄,द॑क्किनि पोट,தெ3க்கினி போட்,appear,தென்படு  
ꢦꢙꢾ ꢲꣂ,पज॑ हो,பஜெஹோ,"require, need",தேவைப்படு  
ꢲꢬꢸꢪ꣄ꢨꢪ꣄ ꢒꢾꢬꢶ ꢢꣁꢮ꣄,हरुम्बम्क॑रि थोव,ஹரும்ப3ம்கெரிதோ2வ்,begin,தொடங்கிவை  
"ꢱꢪ꣄ꢦꢬ꣄ꢒꢸ ꢒꢿꢬ꣄, ꢱꢥ꣄ꢤꢶꢪ꣄ ꢢꣁꢮ꣄ꢭꢿ","सम्पर्कु केर, सन्धिम था॑व्ले",ஸம்பர்கு கேர்/ ஸந்தி4ம் தொ2வ்லே,correspond,தொடர்புகொள்  
ꢱꢿꢮꣁ ꢒꢿꢬ꣄,सेवा॑ केर्,ஸேவொகேர்,serve,தொண்டாற்று  
ꢲꢶꢪ꣄ꢱꣁꢒꢿꢬ꣄,हिम्सा॑ केर्,ஹிம்ஸொ கேர்,disturb,தொந்தாவு செய்   
ꢥꢵꢯꢥꣁ ꢒꢿꢬ꣄,नाशना॑ केर,நாஶனொ கேர்,destroy,தொலைத்துக்கட்டு  
ꢏꢞ ꢶꢙꢵ,आ॑डि जा,ஒடி3 ஜா,fail,தோல்வியடை  
ꢏꢞꢞꢶ ꢙꢮꢵꢜ꣄,आ॑डडि जवाट,ஒட3டி3 ஜவாட்,defeat,தோற்கடி  
ꢲꣂꢬꢸ ꢲꣂꢬ꣄ ꢲꢶꢪ꣄ꢗꣁ ꢒꢿꢬ꣄,होरु होर् हिम्सा॑ केर्,ஹோருஹோர்ஹிம்ஸொகேர்,annoy,நச்சரி  
ꢮꢶꢒ꣄ꢒꢸ ꢕꢵꢭ꣄,विक्कु घाल्,விக்கு கா4ல்,empoison,நஞ்சிடு  
ꢱꢶꢖ꣄ꢒꢡꢶ ꢒꢾꢬ꣄ꢭꢾ,सिङ्कति केर्ले,ஸிங்க3தி கெர்லே,Make friends,நட்புகொள்  
ꢲꢶꢠ꣄ꢞꢶ ꢧꢶꢬꢶꢭꢿꢡ꣄ ꢬꢴꢵ,हिण्टि फिरिलेत् र्हा,ஹிண்டி3 பி2ரிலேத் ரா:,wander,நடமாடு  
ꢗꢭ꣄ꢡ ꢲꣂ,चल्त हो,சல்த ஹோ,occur,நடைபெறு  
(ꢱꢶꢪ꣄ꢲꢸ ꢗꢵꢭ꣄) ꢗꢵꢭ꣄,(सिम्हुचाल) चाल,(ஸிம்ஹுசால்) சால்,Walk triumphantly,நடைபோடு  
ꢥꣁꢪ꣄ꢒꢾ ꢦꣁꢞꢵꢜ꣄,ना॑म्क॑ पा॑डाट्,நொம்கெபொடா3ட்,make believe,நம்பிக்கையூட்டு  
ꢥꣁꢪ꣄ꢒꢾ ꢣꢿ,ना॑म्क॑ दे,நொம்கெ தே3,Give hope,நம்பிக்கையளி  
ꢥꣁꢪ꣄ꢒꢾ ꢢꣂꢮ꣄,ना॑म्क॑ थोव,நொம்கெ தோ2வ்,Place trust,நம்பிக்கைவை  
ꢱ꣄ꢮꢵꢔꢡ꣄ ꢒꢿꢬ꣄,स्वागत केर,ஸ்வாக3த் கேர்,welcome,நல்வரவு கூறு   
ꢤꢥ꣄ꢥꢸ ꢱꢖ꣄ꢒꢶ,धन्नु सङ्कि,த4ன்னு ஸங்கி3,give thanks,நன்றிசொல்  
ꢔꢮꢸꢥ꣄ ꢣꢿ,गवुन दे,க3வுன் தே3,Give attention,நாட்டம்செலுத்து  
ꢥꢬ꣄ꢡꢥꣁ ꢒꢿꢬ꣄,नर्तना॑ केर,நர்தனொ கேர்,dance,நாட்டியமாடு  
ꢔꢵꢪ꣄ ꢱꣁꢜꢶꢤꢞ꣄ꢞꢾ,गाम् सा॑टि धड्डे,கா3ம்ஸொடி த4ட்3டெ3,exile,நாடுகடத்து  
ꢤ꣄ꢮꢪ꣄ꢱꢸ ꢒꢿꢬ꣄,ध्वम्सु केर,த்4வம்ஸு கேர்,annihilate,நிர்மூலமாக்கு  
ꢲꢜ꣄ꢮꢥ꣄ ꢒꢾꢬ꣄ꢭꢿ,हट्वन क॑र्ले,ஹட்வன்கெர்லே,recollect,நினைவுகூர் 
ꢲꢜ꣄ꢮꢥ꣄ ꢒꢿꢬ꣄,हट्वन्केर्,ஹட்வன் கேர்,remind,நினைவுபடுத்து  
ꢗꢭ꣄ꢡ ꢲꣂ,चल्त हो,சல்தஹோ,happen,நேரிடு  
ꢔꢪ꣄ꢗꢶ ꢱꢵ,गम्चि सा,க3ம்சி ஸா,look,நோட்டமிடு  
ꢬꣂꢔꢸꢪ꣄ ꢦꣂꢜ꣄,रोगुम पोट,ரோகு3ம் போட்,Fall sick,நோய்வாய்ப்படு  
ꢏꢔꢡ꣄ꢬꢵ,आ॑गत्रा:,ஒக3த்ரா:,fast,நோன்பிரு  
ꢮꢜꣁ ꢓꢳ꣄ꢳꢾ,वटा॑ खळ्ळे,வடொக2ள்ளே,participate,பங்குகொள்  
ꢩꢹꢒ꣄ ꢂꢠ꣄ꢗꢶꢭꢿ,भुक अण्चिले,பூ4க்அண்சிலே,eat,பசியாறு  
ꢙꢦ꣄ꢡꣁ ꢒꢿꢬ꣄,जप्ता॑ केर,ஜப்தொ கேர்,list,பட்டியலிடு  
ꢃꢒ꣄ꢬꢪꢠꣁ ꢒꢿꢬ꣄,आक्रमणा॑ केर,ஆக்ரமணொ கேர்,invade,படையெடு  
ꢒꢬ꣄ꢡꢮ꣄ ꢗꢭ꣄ꢡꣁ ꢒꢿꢬ꣄,कर्तव चल्ता॑ केर,கர்தவ் சல்தொ கேர்,Perform duty,பணியாற்று  
ꢦꢣꢮꢶꢡꣁꢒꢥ꣄ ꢲꢸꢡ꣄ꢬꢵꢜ꣄,पदविता॑कन हुत्राट,பத3விதொகன் ஹுத்ராட்,dismiss,பதவிநீக்கம் செய்   
ꢦꢣꢮꢶꢱꣁꢞꢶ ꢲꢸꢡ꣄ꢡꢶꢬ꣄,पदविसा॑डिहुत्तिर,பத3விஸொடி3ஹுத்திர்,resign,பதவி விலகு   
"ꢩꢬ꣄ꢡꢶ ꢒꢿꢬ꣄, ꢙꢾꢮꢵꢨ꣄ ꢣꢿ","भर्ति केर, ज॑वाप दे",ப4ர்தி கேர்/ ஜெவாப் தே3,reply,பதிலளி  
ꢩꢬ꣄ꢡꢶ ꢒꢿꢬ꣄,भर्ति केर,ப4ர்திகேர்,substitute,பதிலீடு செய்   
ꢗꣁꢞ꣄ꢞꢒꢥꢶ ꢱꢪ꣄ꢗꢫꣁ ꢒꢿꢬ꣄,चा॑ड्डकनि सम्चया॑ केर,சொட்3ட3கனி ஸம்சயொ கேர்,hoard,பதுக்கிவை  
ꢦꣁꢠꢾ ꢩꢥ꣄ꢣꢶ,पा॑ण॑ भन्दि,பொணெப4ந்தி3,bet,பந்தயம் கட்டு   
ꢦꢶꢬ꣄ꢙꢥꢪ ꣄ꢦꣂꢜ꣄,पिर्जनम्पोट,பிர்ஜனம்போட்,be of use,பயன்படு  
ꢦꢾꢫꢶꢬ꣄ ꢔꢵꢭ꣄,प॑यिर घाल,பெயிர் கா4ல்,cultivate,பயிர் செய்   
ꢤꢪꢵꢤꢵꢪ꣄ ꢦꣁꢥ꣄ꢣꢶ,धमाधाम पा॑न्दि,த4மாதா4ம் பொந்தி3,hurry,பரபரப்படை  
ꢦꢬꢶ ꢲꢵꢬ꣄ ꢮꢾꢒ꣄ꢒꢶ,परिहार व॑क्कि,பரிஹார்வெக்கி,redeem,பரிகாரம்தேடு  
"ꢙꢿꢪ꣄ ꢣꢿ, ꢦꢵꢬꢶꢡꣂꢱ꣄ ꢣꢿ, ꢩꣁꢔꢸꢪꢵꢥ꣄ ꢣꢾ","जेम दे, पारितोस दे, भा॑गुमान दे",ஜேம் தே3/ பாரிதோஸ் தே3/ பொ4கு3மான் தே3,give award,பரிசளி  
ꢦꢬꢶꢯꢷꢭꢥꣁ ꢒꢿꢬ꣄,परिशीलना॑ केर्,பரிஶீலனொகேர்,scrutinize,பரிசீலனை செய்   
ꢦꢬꢶꢡꢵꢦ꣄ ꢦꣂꢜ꣄,परिताप पोट,பரிதாப் போட்,show sympathy,பரிவுகாட்டு  
ꢨꣁꢭꢶ ꢣꢿ,बा॑लि दे,பொ3லிதே3,Kill as a sacrifice,பலிகொடு  
ꢓꢠ꣄ꢞꢠꣁ ꢒꢿꢬ꣄,खण्डणा॑ केर,க2ண்ட3ணொ கேர்,censure,பழித்துக்காட்டு  
"ꢨꣁꢭꢶ ꢓꢵꢜ꣄, ꢦ꣄ꢬꢡꢶ ꢲꢶꢪ꣄ꢱꣁ ꢒꢿꢬ꣄","बा॑लि खाट, प्रति हिम्सा॑ केर",பொ3லி கா2ட்/ ப்ரதி ஹிம்ஸொ கேர்,take revenge,பழிவாங்கு  
ꢒꣁꢳꢵꢬ꣄ ꢒꢿꢬ꣄,का॑ळार केर,கொளார் கேர்,impair,பழுதாக்கு  
ꢒꢪ꣄ꢞꢥ꣄ ꢣꢿ,कम्डन दे,கம்ட3ன் தே3,Give away/ go without,பறிகொடு  
ꢆꢒ꣄ꢒꢶꢭꢶ ꢙꢵ,उक्किलि जा,உக்கிலிஜா,snatch,பறிமுதல் செய்   
ꢮꢔꣁ ꢒꢿꢬ꣄,वĩĩगा॑ केर्,வகொ3கேர்,classify,பாகுபடுத்து  
ꢨꢵꢮꢭꣁ ꢒꢿꢬ꣄,बावला॑ केर,பா3வலொ கேர்,"feign, pretend",பாசாங்கு செய்   
"ꢒꢮꢶꢡꣁ ꢒꢿꢬ꣄, ꢔꢷꢡ꣄ ꢭꢶꢓꢶ, ꢱ꣄ꢮꢬꢵꢥ꣄ ꢡꢵꢫ꣄","कविता॑ केर, गीत्लखि, स्वरान ताय",கவிதொகேர்/ கீ3த் லிகி2/ஸ்வரான் தாய்,compose,பாட்டுக்கட்டு  
ꢦꢵꢝꣁ ꢱꢶꢒ꣄ꢒꢵꢜ꣄,पाठो सिक्काट,பாடொ2 ஸிக்காட்,teach lesson,பாடம்கற்பி  
ꢦ꣄ꢬꢗꢵꢬ꣄ ꢒꢿꢬ꣄,प्रचार केर,ப்ரசார் கேர்,propagate,பிரச்சாரம் செய்   
ꢂꢥꢸꢨꢥ꣄ꢤꢸ ꢗꢾꢬ꣄ꢗꢶ,अनुबन्धु च॑र्चि,அனுப3ந்து4 செர்சி,annex,பின்னிணை  
ꢨꢷꢞꢠꣁ ꢲꣂ,पीडणा॑ हो,பீட3ணொ ஹோ,be affected,பீடிக்கபடு  
ꢤꢵꢒ꣄ ꢭꢔꢞ꣄ꢳꢿ,धाक लगड्ळे,தா4க்  லக3ட்3ளே,Be desperate,பீதியுறு  
ꢒꢷꢬ꣄ꢡꢶ ꢦꣁꢥ꣄ꢣꢶ,कीर्ति पा॑न्दि,கீர்தி பொந்தி3,become famous,புகழடை  
ꢪꣁꢥ꣄ꢥꢸ ꢣꢸꢮ꣄ꢥꣁ ꢒꢿꢬ꣄,मा॑न्नु दुव्ना॑ केर,மொன்னு து3வ்னொ கேர்,wound (mind),புண்படுத்து  
ꢦꢱ꣄ꢒꢜꢸꢪ꣄ ꢮꢡ꣄ꢡ ꢒꢿꢬ꣄,पस्कटुम्वत्त केर्,பஸ்கடும் வத்தொ கேர்,backbite,புறங்கூறு  
ꢥꢴꢥ ꣄ꢲꢱꣁ ꢒꢿꢬ꣄,न्हन् हसा॑ केर,ந:ன் ஹஸொ கேர்,smile,புன்னகை செய்   
ꢕꢾꢥꢪ꣄ꢒꢥꢶ ꢲꢜ꣄ꢮꢶꢭꢿ,घेनम्कनि हट्विले,கெ4னம்கனி ஹட்விலே,be proud of,பெருமிதம்கொள்  
ꢪꢴꣁꢜ ꢲꢸꢨ꣄ꢨꢱ꣄ ꢣꢿ,म्हा॑ट हुब्बस्दे,மொ:ட  ஹுப்3ப3ஸ் தே3,sigh,பெரூமூச்சுவிடு  
ꢪꣂꢭ꣄ꢲꢥꢶ ꢮꢡ꣄ꢡꣁ ꢒꢿꢬ꣄,मोल्हनि वत्ता॑  केर,மோல்ஹனி வத்தொ கேர்,bargain,பேரம்பேசு  
ꢦꢶꢱꣁ ꢤꢾꢬꢵꢜ꣄,पिसा॑ धेराट,பிஸொ தெ4ராட்,madden,பைத்தியமாக்கு   
ꢗꣁꢞ꣄ꢞ ꢮꢡ꣄ꢡꣁ ꢒꢿꢬ꣄,चा॑ड्ड वत्ता॑ केर्,சொட்3ட3வத்தொகேர்,bluff,பொய்பேசு  
ꢏꢬꢤꢵꢥ꣄ꢒꢥꢶ ꢭꢔꢳ꣄ꢳꢿ,प्रधान्कनि लगळ्ळे,ப்ரதா4ன்கனி லக3ள்ளே,consider,பொருட்படுத்து  
ꢨꣂꢣꣂ ꢲꢶꢖ꣄ꢔꢵꢜ꣄,बोदा॑ हिङ्गाट,போ3தொ3 ஹிங்கா3ட்,intoxicate,போதையூட்டு  
ꢔꢸꢞ꣄ꢒ ꢡꣀꢭꢶ ꢨꢷꢱ꣄,गुड्क तैलि बीस्,கு3ட்3க தைலிபீ3ஸ்,kneel,மண்டியிடு  
ꢔꢸꢠ꣄ꢠꢸ ꢥꢶꢬ꣄ꢤꢵꢬꢠꣁ ꢒꢿꢬ꣄,गुण्णु निर्धारणा॑ केर,கு3ண்ணு நிர்தா4ரணொ கேர்,"assess, evaluate",மதிப்பிடு  
"ꢩꢬ꣄ꢡꢶꢒꢿꢬ꣄, ꢙꢾꢮꢵꢦ꣄ ꢒꢿꢬ꣄","भर्ति केर, ज॑वाप केर",ப4ர்திகேர்/ ஜெவாப் கேர்,respond,மறுமொழிகூறு  
ꢲꢵꢬ꣄ ꢕꢵꢭ꣄,हार्घाल,ஹார் கா4ல்,put garland,மாலைபோடு  
ꢪꢸꢞꢶꢮ꣄ ꢲꣂ,मुडिव्हो,முடி3வ் ஹோ,be over,முடிவடை  
ꢤꢥ꣄ꢢꣁꢮ꣄,दन्थोव,த4ன் தோ2வ்,invest,முதலிடு  
ꢣꣁꢮ꣄ꢬꣁ ꢦꣂꢜ꣄,दा॑व्रा॑ पोट,தொ3வ்ரொபோட்,become old,முதுமையடை  
ꢱꣁꢪ꣄ꢪꢬ꣄ ꢮꢵꢜ꣄ ꢣꢾꢒ꣄ꢒꢵꢜ꣄,सा॑ममर् वाट् द॑क्काट्,ஸொம்மர் வாட் தெ3க்காட்,lead,முன்செல்  
"ꢪꢶꢛ꣄ꢗꢸꢬ꣄ ꢲꢶꢖ꣄ꢔꢵꢜ꣄, ꢪꢶꢜ꣄ꢜꢬ꣄ ꢲꢶꢖ꣄ꢔꢵꢜ꣄","मञ्चुर हिङ्गाट, मिट्टर हिङ्गाट",மஞ்சுர் ஹிங்கா3ட்/ மிட்டர் ஹிங்கா3ட்,to perform first time on the stage,மேடையேற்று  
ꢮꢵꢜ꣄ ꢣꢾꢒ꣄ꢒꢵꢜ꣄,वाट्द॑क्काट्,வாட் தெ3க்காட்,guide,வழிகாட்டு  
ꢱꣁꢪ꣄ꢪꢬ꣄  ꢙꢵ,सा॑म्मर् जा,ஸொம்மர் ஜா,lead,வழிநடத்து  
ꢦꢸꢙꢾ ꢒꢿꢬ꣄,पुज॑ केर्,புஜெகேர்,worship,வழிபடு  
ꢮꢵꢜ꣄ ꢱꣂꢜ꣄,वाट्सोट्,வாட்ஸோட்,give way,வழிவிடு  
"ꢧꢭ꣄ꢭꣁ ꢃꢣꢸꢬ꣄ꢮꣁ ꢣꢿ, ꢂꢥꢸꢱꢬꢶ ꢱꢖ꣄ꢔꢶ","फल्ला॑ आदुरवा॑ दे, अनुसरि सङ्गि",ப2ல்லொஆது3ரவொ தே3 / அனுஸரி ஸங்கி3,second,வழிமொழி  
"ꢃ ꢒꢿꢬ꣄, ꢡꣂꢠ꣄ ꢦꢾꢱꢵꢮ꣄ꢒꢥꢶ ꢲꢹꢜ꣄","आ केर, ता॑ण प॑साव्कनि हूट",ஆ கேர்/ தோண் பெஸாவ்கனி ஹூட் ,gape,வாய்பிள  
ꢲꢵꢜ꣄ ꢱꣂꢜ꣄,हाट सा॑ट,ஹாத் ஸோட்,forsake,விட்டுவிடு  
ꢙꢾꢮꢵꢦ꣄ ꢣꢾ,ज॑वाप दे,ஜெவாப் தே3,give answer,விடையளி  
ꢮꢶꢱꢵꢭꣁ ꢒꢿꢬ꣄,विसाला॑ केर,விஸாலொகேர்,expand,விரிவுபடுத்து  
ꢙꢾꢪꢥ꣄ ꢩꢵꢭ꣄,ज॑मन्घाल्,ஜெமன்கா4ல்,Arrange feast,விருந்தளி  
ꢮꢾꢔ꣄ ꢒꢾꢬ꣄,वेग केर,வேக்3 கேர்,quicken,விரைவுபடுத்து  
ꢂꢭꢔ꣄ꢔ ꢢꣂꢮ꣄,अलग्ग थोव,அலக்3க3 தோ2வ்,exempt,விலக்களி  
ꢙꢵꢔ꣄ꢬꢡꣁꢦꣁꢞꢜ꣄,जाग्रता॑ पा॑डट,ஜாக்3ரதொ பொடா3ட்,awaken,விழிப்பூட்டு  
ꢦ꣄ꢬꢱꢸꢬ꣄ ꢲꣂ,प्रसुर्हो,ப்ரஸுர் ஹோ,be published,வெளியாகு  
ꢦ꣄ꢬꢱꢸꢬ꣄ ꢒꢿꢬ꣄,प्रसुर्केर,ப்ரஸுர் கேர்,"disclose, publish",வெளியிடு  
ꢩꢬꢵꢜ꣄ ꢣꣁꢨ꣄ꢨꢶ,भराट दा॑ब्बि,ப4ராட் தொ3ப்3பி3,expel,வெளியேற்று  
ꢲꢹꢡ꣄ꢡꢶꢬ꣄ ꢩꢬꢵꢜ꣄,हूत्तिर्भराट्,ஹுத்திர் ப4ராட்,go out,வெளியேறு  
ꢙꢷꢔ꣄ ꢦꣁꢥ꣄ꢣꢶ,जूग पा॑न्दि,ஜீக்3 பொந்தி3,overcome,வெற்றிகொள்  
ꢃꢮꢿꢯ꣄ ꢦꣁꢞꢵꢜ꣄,आवेश्पा॑डाट्,ஆவேஶ் பொடா3ட்,madden,வெறியூட்டு  
ꢣ꣄ꢮꢾꢯ꣄ꢕꢵꢭ꣄,द्वेश्घाल,த்3வேஶ் கா4ல்,displease,வெறுப்பூட்டு  
ꢮꢿꢜꢵ ꢓꢵꢳ꣄,वेटखाळ,வேடகா2ள்,hunt,வேட்டையாடு  
ꢩꢾꢡ꣄ ꢲꣂ,भेतहो,பே4த்ஹோ,differ,வேறுபடு  
ꢩꢾꢡ꣄ ꢲꣁꢮꢵꢜ꣄,भेत हा॑वाट,பே4த் ஹொவாட்,separate,வேறுபடுத்து  
