ꢂꢒ꣄ꢒꢬꣁꢓꢳ꣄ꢳꢿ,अक्करा॑ खळ्ळे,அக்கரொ க2ள்ளே,get interested,அக்கறைகொள்  
ꢪꢴꢮ꣄ꢭꢶ ꢡꢵꢫ꣄,म्हव्लि ताय,ம:வ்லி தாய்,"black out, hide",இருட்டடிப்பு செய்   
ꢲꢥ꣄ꢢꢵꢬ꣄ ꢒꢿꢬ꣄,हन्दार्केर्,ஹந்தா3ர்கேர்,darken,இருட்டாக்கு  
ꢩꢮꢵꢜ꣄ ꢡꢵꢫ꣄,भवाट्ताय्,ப4வாட்தாய்,shout,இரைச்சலிடு  
ꢱꢖ꣄ꢓ꣄ꢫꣁꢣꢿ,सङ्ख्या॑दे,ஸங்க்2யொதே3,to number,இலக்கமிடு  
ꢆꢥ꣄ꢥꣁ ꢒꢿꢬ꣄,उन्ना॑ केर्,உன்னொகேர்,degrade,இழிவுபடுத்து  
"ꢦꣁꢜ꣄ꢜꢳ ꢶꢩꢥ꣄ꢣꢶꢭꢿ,  ꢦꣁꢞꢭꢶ ꢩꢥ꣄ꢣꢶꢭꢿ","पा॑ट्टळि भन्दिले, पा॑डलि भन्दिले",பொட்டளி ப4ந்தி3லே /பொட3லி ப4ந்தி3லே,hug,இறுகத்தழுவு  
ꢣꢿꢮꢸ ꢦꢣꢪ꣄ ꢪꢷꢭ꣄,देवु पदम मील,தே3வு பத3ம் மீள்,Attain to the Lord’sfeet,இறைவனடி சேர் 
ꢔꢸꢬ꣄ꢡꢸ ꢒꢳꣀꢭꢿ,गुर्तु कळैले,கு3ர்து களைலே,identity,இனம் காண்   
"ꢱꢪꢪꣁ ꢲꣁꢫ꣄ꢭꢿ, ꢂꢩꢿꢡ꣄ ꢙꢮꢞ꣄ꢳꢿ","सममा॑ हा॑य्ले, अभेत जवड्ळे",ஸமமொ ஹொய்லே  அபே4த் ஜவட்3ளே,become equal,ஈடாகு  
"ꢦ꣄ꢬꢡꢶꢦꢹꢬ꣄ꢡꢶ ꢒꢿꢬ꣄, ꢆꢥ꣄ꢥꢦꢥ꣄ ꢱꢾꢬ꣄ꢒꣁ ꢒꢿꢬ꣄","प्रतिपूर्ति केर, उन्नपन स॑र्का॑ केर",ப்ரதிபூர்தி கேர்/ உன்னபன் ஸெர்கொ கேர்,compensate,ஈடுசெய்  
