ꢂꢣꢶꢪꢤꢸꢬꢪ꣄,अदिमधुरम,அதி3மது4ரம்,licorice,அதிமதுரம்  
"ꢬꢮꢾ, ꢱꣁꢙ꣄ꢙꢶ","रव॑,सा॑ज्जि",ரவெ/ஸொஜ்ஜி,suji,ரவை  
ꢦꢹꢱꢸ ꢪꢶꢬꢶ,पूसुमिरि,பூஸுமிரி,tail pepper,வால்மிளகு  
ꢗꢫ꣄ꢭꢶ,चय्लि,சய்லி,Sidedish,வெஞ்சனம்  
ꢪꢶꢡ꣄ꢡꢶ,मित्ति,மித்தி,fenugreek,வெந்தயம்  
"ꢔꢸꢳ꣄ꢳꢸ, ꢔꢸꢞ꣄ꢳꢸ","गुळ्ळु, गुड्ळु",கு3ள்ளு/கு3ட்3ளு,Jaggary,வெல்லம்  
ꢭꣁꢱꢥ꣄,ला॑सन्,லொஸன்,garlic,வெள்ளைப் பூண்டு   
ꢒꢞꢭꢾ,कडल॑,கட3லெ,groundnut,வேர்க்கடலை  
ꢙꢵꢡꢶ ꢒꢫ꣄ꢭꣁ,जाति कय्ला॑,ஜாதி கய்லொ,nutmeg,ஜாதிக்காய்  
ꢤꢸꢪ꣄ꢨꢸꢬꢵꢱ꣄ꢜꢸ,धुम्बुरास्टु,து4ம்பு3ராஸ்டு,galangal,சித்தரத்தை
"ꢓꢙꢸꢬ꣄, ꢓꢱ꣄ꢭꣁ","खजुर, खस्ला॑",க2ஜுர்/க2ஸ்லொ,dates,பேரிச்சம்பழம்
ꢒꢱ꣄ꢡꢥ꣄ꢡꢸ,कस्तन्त्तु,கஸ்தந்து3,,பச்சரிசி
